sequence,is_target,condition,stimuli,block,is_block_beginning,is_block_ending,fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_robot_intro_text.started,training_robot_intro_key.started,training_robot_intro_key.keys,training_robot_intro_key.rt,cross.started,cross.stopped,training_letter.started,training_robot_key.started,training_robot_question.started,training_robot_keys.started,training_letter.stopped,training_robot_key.keys,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_robot_intro_text.stopped,training_robot_intro_key.stopped,training_robot_key.rt,RSME_key.rt,training_robot_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,movie.started,key.started,key.keys,key.rt,block_intro_text.stopped,block_intro_key.stopped,letter.started,letter.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,23.1244729,23.1244729,f,1112.2618303000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
,,,,,,,,,,,,,,,,,,,,,,,,,1135.4511241,1135.4511241,space,83.37443900000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
P,False,1,letter,2,True,False,robot_stimuli\\filler.mp4,10,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1218.8633729,1218.8633729,space,29.962573600000013,1248.8462573,1250.3439933,1250.3439933,1250.3439933,1250.3439933,1250.3439933,1252.6555667,None,1252.6555667,1252.6555667,1252.6555667,1252.6555667,1252.6555667,1252.6555667,1252.6555667,1252.6555667,None,None,None,,,,,,,,,,,,,,,,,,,,,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
F,False,1,letter,2,False,False,robot_stimuli\\filler.mp4,10,0,0,0,0,0,1,1,1,,,,,,,,,,,,,1252.6555667,1252.6555667,None,,1252.6555667,,1253.7301514,1253.7301514,1253.7301514,1253.7301514,1255.758733,None,1255.758733,1255.758733,1255.758733,1255.758733,1255.758733,1255.758733,1255.758733,1255.758733,None,None,None,1252.6555667,1252.6555667,,,,,,,,,,,,,,,,,,,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
N,False,1,letter,2,False,False,robot_stimuli\\filler.mp4,10,0,0,0,0,0,2,2,2,,,,,,,,,,,,,1255.758733,1255.758733,None,,1255.758733,1256.8300421,1256.8300421,1256.8300421,1256.8300421,1256.8300421,1258.8587761,None,1258.8587761,1258.8587761,1258.8587761,1258.8587761,1258.8587761,1258.8587761,1258.8587761,1258.8587761,None,None,None,1255.758733,1255.758733,,,,,,,,,,,,,,,,,,,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
N,True,1,letter,2,False,False,robot_stimuli\\filler.mp4,10,0,0,0,0,0,3,3,3,,,,,,,,,,,,,1258.8587761,1258.8587761,None,,1258.8587761,1259.9296893,1259.9296893,1259.9296893,1259.9296893,1259.9296893,1261.964029,None,1261.964029,1261.964029,1261.964029,1261.964029,1261.964029,1261.964029,1261.964029,1261.964029,None,None,None,1258.8587761,1258.8587761,,,,,,,,,,,,,,,,,,,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
N,True,1,letter,2,False,False,robot_stimuli\\filler.mp4,10,0,0,0,0,0,4,4,4,,,,,,,,,,,,,1261.964029,1261.964029,None,,1261.964029,,1263.0459563,1263.0459563,1263.0459563,1263.0459563,1265.0825474,c,1265.0825474,1265.0825474,1265.0825474,1265.0825474,1265.0825474,1265.0825474,1265.0825474,1265.0825474,None,None,None,1261.964029,1261.964029,0.6916079000002071,,,,,,,,,,,,,,,,,,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
J,False,1,letter,2,False,True,robot_stimuli\\filler.mp4,10,0,0,0,0,0,5,5,5,,,,,,,,,,,,,1265.0825474,1265.0825474,None,,1265.0825474,,1266.1673034,1266.1673034,1266.1673034,1266.1673034,1268.4545616999999,n,1268.4545616999999,1287.8047116999999,1268.4545616999999,1287.8047116999999,1268.4545616999999,1287.8047116999999,1268.4545616999999,1287.8047116999999,37.25308641975308,17.17423819999999,space,1265.0825474,1265.0825474,0.5770632999997076,19.28992070000001,,,,,,,,,,,,,,,,,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
S,False,2,letter,2,True,False,robot_stimuli\\filler.mp4,10,0,0,0,0,0,6,6,6,,,,,,,,,,,,,1287.8047116999999,1287.8047116999999,space,9.509076899999826,1297.3462098,1298.4253707999999,1298.4253707999999,1298.4253707999999,1298.4253707999999,1298.4253707999999,1300.4504898,n,1300.4504898,1300.4504898,1300.4504898,1300.4504898,1300.4504898,1300.4504898,1300.4504898,1300.4504898,None,None,None,,,0.968129899999866,,,,,,,,,,,,,,,,,,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
S,False,2,letter,2,False,False,robot_stimuli\\filler.mp4,10,0,0,0,0,0,7,7,7,,,,,,,,,,,,,1300.4504898,1300.4504898,None,,1300.4504898,1301.5268722,1301.5268722,1301.5268722,1301.5268722,1301.5268722,1303.5618607,n,1303.5618607,1303.5618607,1303.5618607,1303.5618607,1303.5618607,1303.5618607,1303.5618607,1303.5618607,None,None,None,1300.4504898,1300.4504898,1.530277199999972,,,,,,,,,,,,,,,,,,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
S,True,2,letter,2,False,False,robot_stimuli\\filler.mp4,10,0,0,0,0,0,8,8,8,,,,,,,,,,,,,1303.5618607,1303.5618607,None,,1303.5618607,1304.6282289,1304.6282289,1304.6282289,1304.6282289,1304.6282289,1306.6620069,c,1306.6620069,1306.6620069,1306.6620069,1306.6620069,1306.6620069,1306.6620069,1306.6620069,1306.6620069,None,None,None,1303.5618607,1303.5618607,0.5901149000000885,,,,,,,,,,,,,,,,,,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
S,True,2,letter,2,False,False,robot_stimuli\\filler.mp4,10,0,0,0,0,0,9,9,9,,,,,,,,,,,,,1306.6620069,1306.6620069,None,,1306.6620069,1307.7263911,1307.7263911,1307.7263911,1307.7263911,1307.7263911,1309.7630321,c,1309.7630321,1309.7630321,1309.7630321,1309.7630321,1309.7630321,1309.7630321,1309.7630321,1309.7630321,None,None,None,1306.6620069,1306.6620069,0.4912082000000453,,,,,,,,,,,,,,,,,,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
C,False,2,letter,2,False,False,robot_stimuli\\filler.mp4,10,0,0,0,0,0,10,10,10,,,,,,,,,,,,,1309.7630321,1309.7630321,None,,1309.7630321,1310.8364758999999,1310.8364758999999,1310.8364758999999,1310.8364758999999,1310.8364758999999,1312.8699124,n,1312.8699124,1312.8699124,1312.8699124,1312.8699124,1312.8699124,1312.8699124,1312.8699124,1312.8699124,None,None,None,1309.7630321,1309.7630321,1.316636700000089,,,,,,,,,,,,,,,,,,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
V,False,2,letter,2,False,True,robot_stimuli\\filler.mp4,10,0,0,0,0,0,11,11,11,,,,,,,,,,,,,1312.8699124,1312.8699124,None,,1312.8699124,1313.9500446,1313.9500446,1313.9500446,1313.9500446,1313.9500446,1316.2117418999999,n,1316.2117418999999,1329.5832334,1316.2117418999999,1329.5832334,1316.2117418999999,1329.5832334,1316.2117418999999,1329.5832334,36.94444444444444,6.470270199999959,space,1312.8699124,1312.8699124,1.6663285999997868,13.324561200000034,,,,,,,,,,,,,,,,,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
T,False,3,letter,2,True,False,robot_stimuli\\filler.mp4,10,0,0,0,0,0,12,12,12,,,,,,,,,,,,,1329.5832334,1329.5832334,space,1.9218964999999741,1331.5296653,1332.6031246,1332.6031246,1332.6031246,1332.6031246,1332.6031246,1334.834032,None,1334.834032,1334.834032,1334.834032,1334.834032,1334.834032,1334.834032,1334.834032,1334.834032,None,None,None,,,,,,,,,,,,,,,,,,,,,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
G,False,3,letter,2,False,False,robot_stimuli\\filler.mp4,10,0,0,0,0,0,13,13,13,,,,,,,,,,,,,1334.834032,1334.834032,None,,1334.834032,1335.9159144,1335.9159144,1335.9159144,1335.9159144,1335.9159144,1338.1543092,None,1338.1543092,1338.1543092,1338.1543092,1338.1543092,1338.1543092,1338.1543092,1338.1543092,1338.1543092,None,None,None,1334.834032,1334.834032,,,,,,,,,,,,,,,,,,,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
J,False,3,letter,2,False,False,robot_stimuli\\filler.mp4,10,0,0,0,0,0,14,14,14,,,,,,,,,,,,,1338.1543092,1338.1543092,None,,1338.1543092,1339.228602,1339.228602,1339.228602,1339.228602,1339.228602,1341.2655041,None,1341.2655041,1341.2655041,1341.2655041,1341.2655041,1341.2655041,1341.2655041,1341.2655041,1341.2655041,None,None,None,1338.1543092,1338.1543092,,,,,,,,,,,,,,,,,,,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
