sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,cue_before_text.started,training_presentation_letter.started,training_presentation_letter.stopped,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,polygon.stopped,cue_before_text.stopped,RSME_key.rt,training_presentation_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_letter.started,presentation_letter.stopped,block_intro_text.stopped,block_intro_key.stopped,presentation_movie.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.92956650070846,10.92956650070846,f,7.544872499071062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,001,2024-09-25_16h37.28.159,robot_cogshifting_sign,2022.2.5,59.87317641086729,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.526697200722992,18.526697200722992,space,22.699894599616528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,001,2024-09-25_16h37.28.159,robot_cogshifting_sign,2022.2.5,59.87317641086729,
"['red_bottom_B_45', 'blue_bottom_J_0', 'blue_bottom_L_45', 'blue_left_B_45']","{'color': 'red_bottom_B_45', 'position': 'blue_left_B_45', 'orientation': 'blue_bottom_J_0'}",color,['color'],red_bottom_B_45,0,1,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,22,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,41.288147600367665,41.288147600367665,space,3.9636189993470907,45.27932500001043,46.281301400624216,55.78345700073987,58.02109550032765,58.02109550032765,58.02109550032765,58.02109550032765,1,3.2778834998607635,61.360986799933016,61.360986799933016,61.360986799933016,61.360986799933016,61.360986799933016,61.360986799933016,61.360986799933016,61.360986799933016,None,None,None,,,,,,,,,,,,,,,,,,,,,22,001,2024-09-25_16h37.28.159,robot_cogshifting_sign,2022.2.5,59.87317641086729,
"['red_left_H_0', 'red_left_T_45', 'blue_left_J_45', 'red_bottom_J_45']","{'color': 'blue_left_J_45', 'position': 'red_bottom_J_45', 'orientation': 'red_left_H_0'}",position,['position'],red_bottom_J_45,3,1,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,22,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,61.360986799933016,61.360986799933016,None,,61.360986799933016,62.362957400269806,71.14706009998918,73.36793870013207,73.36793870013207,73.36793870013207,73.36793870013207,4,1.1480967989191413,74.53692360036075,74.53692360036075,74.53692360036075,74.53692360036075,74.53692360036075,74.53692360036075,74.53692360036075,74.53692360036075,None,None,None,61.360986799933016,61.360986799933016,62.362957400269806,64.43375260010362,,,,,,,,,,,,,,,,,22,001,2024-09-25_16h37.28.159,robot_cogshifting_sign,2022.2.5,59.87317641086729,
"['blue_top_Z_0', 'red_top_M_45', 'red_top_V_0', 'red_bottom_T_0']","{'color': 'blue_top_Z_0', 'position': 'red_bottom_T_0', 'orientation': 'red_top_M_45'}",orientation,['orientation'],red_top_M_45,1,1,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,22,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,74.53692360036075,74.53692360036075,None,,74.53692360036075,75.53889890015125,83.922158700414,85.95937540009618,85.95937540009618,85.95937540009618,85.95937540009618,2,0.43567009922116995,86.47708640061319,103.36031750030816,86.47708640061319,103.36031750030816,86.47708640061319,103.36031750030816,86.47708640061319,103.36031750030816,6.111111111111112,15.573393699713051,space,74.53692360036075,74.53692360036075,75.53889890015125,77.60961170028895,16.815009699203074,,,,,,,,,,,,,,,,22,001,2024-09-25_16h37.28.159,robot_cogshifting_sign,2022.2.5,59.87317641086729,
"['blue_top_N_45', 'blue_bottom_M_0', 'red_top_T_0', 'blue_top_H_0']","{'color': 'red_top_T_0', 'position': 'blue_bottom_M_0', 'orientation': 'blue_top_N_45'}",position,"['color', 'position']",blue_bottom_M_0,1,2,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,22,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,103.36031750030816,103.36031750030816,space,2.218658799305558,105.59804160054773,106.60001590009779,115.16690080054104,117.20421250071377,117.20421250071377,117.20421250071377,117.20421250071377,2,3.1909041991457343,120.42721599992365,120.42721599992365,120.42721599992365,120.42721599992365,120.42721599992365,120.42721599992365,120.42721599992365,120.42721599992365,None,None,None,,,,,,,,,,,,,,,,,,,,,22,001,2024-09-25_16h37.28.159,robot_cogshifting_sign,2022.2.5,59.87317641086729,
"['red_top_Q_0', 'red_left_C_45', 'blue_top_X_45', 'red_top_M_45']","{'color': 'blue_top_X_45', 'position': 'red_left_C_45', 'orientation': 'red_top_Q_0'}",orientation,"['color', 'orientation']",red_top_Q_0,0,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,22,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,120.42721599992365,120.42721599992365,None,,120.42721599992365,121.42917000036687,130.01282639987767,132.03337260056287,132.03337260056287,132.03337260056287,132.03337260056287,3,10.057531499303877,142.11990460008383,142.11990460008383,142.11990460008383,142.11990460008383,142.11990460008383,142.11990460008383,142.11990460008383,142.11990460008383,None,None,None,120.42721599992365,120.42721599992365,121.42917000036687,123.4998858999461,,,,,,,,,,,,,,,,,22,001,2024-09-25_16h37.28.159,robot_cogshifting_sign,2022.2.5,59.87317641086729,
"['red_top_N_45', 'red_right_S_45', 'blue_right_T_45', 'red_right_D_0']","{'color': 'blue_right_T_45', 'position': 'red_top_N_45', 'orientation': 'red_right_D_0'}",color,"['color', 'orientation']",blue_right_T_45,2,2,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,22,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,142.11990460008383,142.11990460008383,None,,142.11990460008383,143.12188370060176,151.5051185004413,153.72607510071248,153.72607510071248,153.72607510071248,153.72607510071248,3,1.46113339997828,155.24573960062116,160.18880350049585,155.24573960062116,160.18880350049585,155.24573960062116,160.18880350049585,155.24573960062116,160.18880350049585,33.730158730158735,3.5666337003931403,space,142.11990460008383,142.11990460008383,143.12188370060176,145.19263700023293,4.877499799244106,,,,,,,,,,,,,,,,22,001,2024-09-25_16h37.28.159,robot_cogshifting_sign,2022.2.5,59.87317641086729,
"['red_right_T_45', 'red_right_T_0', 'red_top_K_0', 'blue_right_L_0']","{'color': 'blue_right_L_0', 'position': 'red_top_K_0', 'orientation': 'red_right_T_45'}",position,"['color', 'orientation', 'position']",red_top_K_0,2,3,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,22,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,160.18880350049585,160.18880350049585,space,1.6857647998258471,161.89213500078768,162.89411600027233,171.46104149986058,173.48163140006363,173.48163140006363,173.48163140006363,173.48163140006363,2,4.649891898967326,178.1575170001015,178.1575170001015,178.1575170001015,178.1575170001015,178.1575170001015,178.1575170001015,178.1575170001015,178.1575170001015,None,None,None,,,,,,,,,,,,,,,,,,,,,22,001,2024-09-25_16h37.28.159,robot_cogshifting_sign,2022.2.5,59.87317641086729,
"['blue_right_W_0', 'blue_top_M_0', 'blue_right_X_45', 'red_right_S_0']","{'color': 'red_right_S_0', 'position': 'blue_top_M_0', 'orientation': 'blue_right_X_45'}",orientation,"['color', 'orientation', 'position']",blue_right_X_45,2,3,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,22,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,178.1575170001015,178.1575170001015,None,,178.1575170001015,179.15943440049887,187.70962270069867,189.74702330026776,189.74702330026776,189.74702330026776,189.74702330026776,4,6.055258099921048,195.8255646005273,195.8255646005273,195.8255646005273,195.8255646005273,195.8255646005273,195.8255646005273,195.8255646005273,195.8255646005273,None,None,None,178.1575170001015,178.1575170001015,179.15943440049887,181.23019770067185,,,,,,,,,,,,,,,,,22,001,2024-09-25_16h37.28.159,robot_cogshifting_sign,2022.2.5,59.87317641086729,
