sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject
"['red_bottom_B_45', 'blue_bottom_J_0', 'blue_bottom_L_45', 'blue_left_B_45']","{'color': 'red_bottom_B_45', 'position': 'blue_left_B_45', 'orientation': 'blue_bottom_J_0'}",color,['color'],red_bottom_B_45,0,1,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,22
"['red_left_H_0', 'red_left_T_45', 'blue_left_J_45', 'red_bottom_J_45']","{'color': 'blue_left_J_45', 'position': 'red_bottom_J_45', 'orientation': 'red_left_H_0'}",position,['position'],red_bottom_J_45,3,1,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,22
"['blue_top_Z_0', 'red_top_M_45', 'red_top_V_0', 'red_bottom_T_0']","{'color': 'blue_top_Z_0', 'position': 'red_bottom_T_0', 'orientation': 'red_top_M_45'}",orientation,['orientation'],red_top_M_45,1,1,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,22
"['blue_top_N_45', 'blue_bottom_M_0', 'red_top_T_0', 'blue_top_H_0']","{'color': 'red_top_T_0', 'position': 'blue_bottom_M_0', 'orientation': 'blue_top_N_45'}",position,"['color', 'position']",blue_bottom_M_0,1,2,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,22
"['red_top_Q_0', 'red_left_C_45', 'blue_top_X_45', 'red_top_M_45']","{'color': 'blue_top_X_45', 'position': 'red_left_C_45', 'orientation': 'red_top_Q_0'}",orientation,"['color', 'orientation']",red_top_Q_0,0,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,22
"['red_top_N_45', 'red_right_S_45', 'blue_right_T_45', 'red_right_D_0']","{'color': 'blue_right_T_45', 'position': 'red_top_N_45', 'orientation': 'red_right_D_0'}",color,"['color', 'orientation']",blue_right_T_45,2,2,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,22
"['red_right_T_45', 'red_right_T_0', 'red_top_K_0', 'blue_right_L_0']","{'color': 'blue_right_L_0', 'position': 'red_top_K_0', 'orientation': 'red_right_T_45'}",position,"['color', 'orientation', 'position']",red_top_K_0,2,3,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,22
"['blue_right_W_0', 'blue_top_M_0', 'blue_right_X_45', 'red_right_S_0']","{'color': 'red_right_S_0', 'position': 'blue_top_M_0', 'orientation': 'blue_right_X_45'}",orientation,"['color', 'orientation', 'position']",blue_right_X_45,2,3,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,22
"['red_left_G_0', 'blue_left_L_45', 'blue_left_V_0', 'blue_bottom_Q_0']","{'color': 'red_left_G_0', 'position': 'blue_bottom_Q_0', 'orientation': 'blue_left_L_45'}",color,"['color', 'orientation', 'position']",red_left_G_0,0,3,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,22
"['R_Arm_Y_Back', 'R_Torso_Z_Back', 'R_Arm_Z_For', 'L_Arm_Z_Back']","{'laterality': 'L_Arm_Z_Back', 'localisation': 'R_Torso_Z_Back', 'movement': 'R_Arm_Y_Back'}",movement,['movement'],R_Arm_Y_Back,0,1,robot,2,True,False,"['robot_stimuli\\R_Arm_Y_Back.mp4', 'robot_stimuli\\R_Torso_Z_Back.mp4', 'robot_stimuli\\R_Arm_Z_For.mp4', 'robot_stimuli\\L_Arm_Z_Back.mp4']",robot_stimuli\R_Arm_Y_Back.mp4,22
