sequence,is_target,condition,stimuli,block,is_block_beginning,is_block_ending,fname,subject
V,False,1,letter,2,True,False,robot_stimuli\\filler.mp4,3
F,False,1,letter,2,False,False,robot_stimuli\\filler.mp4,3
Z,False,1,letter,2,False,False,robot_stimuli\\filler.mp4,3
Z,True,1,letter,2,False,False,robot_stimuli\\filler.mp4,3
Z,True,1,letter,2,False,False,robot_stimuli\\filler.mp4,3
B,False,1,letter,2,False,True,robot_stimuli\\filler.mp4,3
V,False,2,letter,2,True,False,robot_stimuli\\filler.mp4,3
W,False,2,letter,2,False,False,robot_stimuli\\filler.mp4,3
K,False,2,letter,2,False,False,robot_stimuli\\filler.mp4,3
W,True,2,letter,2,False,False,robot_stimuli\\filler.mp4,3
K,True,2,letter,2,False,False,robot_stimuli\\filler.mp4,3
N,False,2,letter,2,False,True,robot_stimuli\\filler.mp4,3
H,False,3,letter,2,True,False,robot_stimuli\\filler.mp4,3
C,False,3,letter,2,False,False,robot_stimuli\\filler.mp4,3
Z,False,3,letter,2,False,False,robot_stimuli\\filler.mp4,3
T,False,3,letter,2,False,False,robot_stimuli\\filler.mp4,3
C,True,3,letter,2,False,False,robot_stimuli\\filler.mp4,3
Z,True,3,letter,2,False,True,robot_stimuli\\filler.mp4,3
R_Torso_X_For,False,1,robot,1,True,False,robot_stimuli\R_Torso_X_For.mp4,3
R_Torso_X_For,True,1,robot,1,False,False,robot_stimuli\R_Torso_X_For.mp4,3
L_Base_Z_For,False,1,robot,1,False,False,robot_stimuli\L_Base_Z_For.mp4,3
L_Base_Z_For,True,1,robot,1,False,False,robot_stimuli\L_Base_Z_For.mp4,3
R_Torso_Y_For,False,1,robot,1,False,False,robot_stimuli\R_Torso_Y_For.mp4,3
R_Head_Z_For,False,1,robot,1,False,True,robot_stimuli\R_Head_Z_For.mp4,3
L_Arm_X_Back,False,2,robot,1,True,False,robot_stimuli\L_Arm_X_Back.mp4,3
L_Base_X_For,False,2,robot,1,False,False,robot_stimuli\L_Base_X_For.mp4,3
L_Torso_Z_Back,False,2,robot,1,False,False,robot_stimuli\L_Torso_Z_Back.mp4,3
R_Head_Y_For,False,2,robot,1,False,False,robot_stimuli\R_Head_Y_For.mp4,3
L_Torso_Z_Back,True,2,robot,1,False,False,robot_stimuli\L_Torso_Z_Back.mp4,3
R_Head_Y_For,True,2,robot,1,False,True,robot_stimuli\R_Head_Y_For.mp4,3
R_Base_Z_Back,False,3,robot,1,True,False,robot_stimuli\R_Base_Z_Back.mp4,3
L_Torso_X_For,False,3,robot,1,False,False,robot_stimuli\L_Torso_X_For.mp4,3
R_Arm_X_Back,False,3,robot,1,False,False,robot_stimuli\R_Arm_X_Back.mp4,3
R_Base_Z_Back,True,3,robot,1,False,False,robot_stimuli\R_Base_Z_Back.mp4,3
L_Torso_X_For,True,3,robot,1,False,False,robot_stimuli\L_Torso_X_For.mp4,3
R_Torso_X_For,False,3,robot,1,False,True,robot_stimuli\R_Torso_X_For.mp4,3
