sequence,is_true,target,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject
"['B', 'G']",True,G,2,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,14
"['F', 'W']",True,W,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,14
"['C', 'T']",False,F,2,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,14
"['F', 'M', 'J', 'Q']",True,F,4,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,14
"['B', 'C', 'S', 'Q']",True,C,4,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,14
"['L', 'T', 'C', 'H']",False,S,4,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,14
"['C', 'Q', 'H', 'W', 'D', 'P']",True,H,6,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,14
"['C', 'Z', 'L', 'P', 'B', 'N']",True,L,6,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,14
"['M', 'H', 'J', 'Z', 'N', 'T']",False,L,6,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,14
"['R_Arm_X_Back', 'L_Base_Z_Back']",True,R_Arm_X_Back,2,robot,2,True,False,"['robot_stimuli\\R_Arm_X_Back.mp4', 'robot_stimuli\\L_Base_Z_Back.mp4']",robot_stimuli\R_Arm_X_Back.mp4,14
"['L_Base_Y_Back', 'R_Arm_X_For']",False,L_Torso_Y_For,2,robot,2,False,False,"['robot_stimuli\\L_Base_Y_Back.mp4', 'robot_stimuli\\R_Arm_X_For.mp4']",robot_stimuli\L_Torso_Y_For.mp4,14
"['R_Base_Y_Back', 'L_Head_Z_Back']",True,L_Head_Z_Back,2,robot,2,False,True,"['robot_stimuli\\R_Base_Y_Back.mp4', 'robot_stimuli\\L_Head_Z_Back.mp4']",robot_stimuli\L_Head_Z_Back.mp4,14
"['L_Base_Y_For', 'R_Arm_Y_For', 'R_Head_Z_For', 'L_Arm_Z_Back']",True,R_Arm_Y_For,4,robot,2,True,False,"['robot_stimuli\\L_Base_Y_For.mp4', 'robot_stimuli\\R_Arm_Y_For.mp4', 'robot_stimuli\\R_Head_Z_For.mp4', 'robot_stimuli\\L_Arm_Z_Back.mp4']",robot_stimuli\R_Arm_Y_For.mp4,14
"['L_Head_Z_For', 'R_Head_Z_Back', 'R_Arm_Z_Back', 'L_Arm_X_For']",False,L_Torso_Y_Back,4,robot,2,False,False,"['robot_stimuli\\L_Head_Z_For.mp4', 'robot_stimuli\\R_Head_Z_Back.mp4', 'robot_stimuli\\R_Arm_Z_Back.mp4', 'robot_stimuli\\L_Arm_X_For.mp4']",robot_stimuli\L_Torso_Y_Back.mp4,14
"['R_Torso_Y_For', 'R_Base_X_For', 'L_Arm_Z_For', 'L_Arm_Z_Back']",True,L_Arm_Z_For,4,robot,2,False,True,"['robot_stimuli\\R_Torso_Y_For.mp4', 'robot_stimuli\\R_Base_X_For.mp4', 'robot_stimuli\\L_Arm_Z_For.mp4', 'robot_stimuli\\L_Arm_Z_Back.mp4']",robot_stimuli\L_Arm_Z_For.mp4,14
"['R_Head_X_Back', 'L_Arm_Z_For', 'R_Head_X_For', 'L_Torso_Y_Back', 'R_Head_Y_For', 'R_Torso_Y_For']",True,R_Head_Y_For,6,robot,2,True,False,"['robot_stimuli\\R_Head_X_Back.mp4', 'robot_stimuli\\L_Arm_Z_For.mp4', 'robot_stimuli\\R_Head_X_For.mp4', 'robot_stimuli\\L_Torso_Y_Back.mp4', 'robot_stimuli\\R_Head_Y_For.mp4', 'robot_stimuli\\R_Torso_Y_For.mp4']",robot_stimuli\R_Head_Y_For.mp4,14
"['L_Base_Y_Back', 'L_Arm_Z_For', 'R_Torso_X_For', 'R_Torso_Y_For', 'R_Arm_Y_Back', 'L_Head_Z_Back']",True,L_Base_Y_Back,6,robot,2,False,False,"['robot_stimuli\\L_Base_Y_Back.mp4', 'robot_stimuli\\L_Arm_Z_For.mp4', 'robot_stimuli\\R_Torso_X_For.mp4', 'robot_stimuli\\R_Torso_Y_For.mp4', 'robot_stimuli\\R_Arm_Y_Back.mp4', 'robot_stimuli\\L_Head_Z_Back.mp4']",robot_stimuli\L_Base_Y_Back.mp4,14
"['R_Torso_Z_Back', 'L_Base_X_For', 'R_Base_X_Back', 'L_Head_X_Back', 'R_Arm_X_Back', 'R_Base_Y_For']",False,L_Arm_Z_Back,6,robot,2,False,True,"['robot_stimuli\\R_Torso_Z_Back.mp4', 'robot_stimuli\\L_Base_X_For.mp4', 'robot_stimuli\\R_Base_X_Back.mp4', 'robot_stimuli\\L_Head_X_Back.mp4', 'robot_stimuli\\R_Arm_X_Back.mp4', 'robot_stimuli\\R_Base_Y_For.mp4']",robot_stimuli\L_Arm_Z_Back.mp4,14
