sequence,is_target,condition,stimuli,block,is_block_beginning,is_block_ending,fname,subject
H,False,1,letter,1,True,False,robot_stimuli\\filler.mp4,0
B,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,0
M,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,0
K,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,0
K,True,1,letter,1,False,False,robot_stimuli\\filler.mp4,0
K,True,1,letter,1,False,False,robot_stimuli\\filler.mp4,0
H,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,0
N,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,0
N,True,1,letter,1,False,True,robot_stimuli\\filler.mp4,0
K,False,2,letter,1,True,False,robot_stimuli\\filler.mp4,0
C,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,0
K,True,2,letter,1,False,False,robot_stimuli\\filler.mp4,0
F,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,0
B,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,0
F,True,2,letter,1,False,False,robot_stimuli\\filler.mp4,0
D,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,0
G,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,0
D,True,2,letter,1,False,True,robot_stimuli\\filler.mp4,0
Q,False,3,letter,1,True,False,robot_stimuli\\filler.mp4,0
B,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,0
K,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,0
K,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,0
B,True,3,letter,1,False,False,robot_stimuli\\filler.mp4,0
X,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,0
K,True,3,letter,1,False,False,robot_stimuli\\filler.mp4,0
L,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,0
X,True,3,letter,1,False,True,robot_stimuli\\filler.mp4,0
R_Arm_X_Back,False,1,robot,2,True,False,robot_stimuli\R_Arm_X_Back.mp4,0
L_Arm_X_For,False,1,robot,2,False,False,robot_stimuli\L_Arm_X_For.mp4,0
R_Torso_X_Back,False,1,robot,2,False,False,robot_stimuli\R_Torso_X_Back.mp4,0
R_Torso_X_Back,True,1,robot,2,False,False,robot_stimuli\R_Torso_X_Back.mp4,0
R_Torso_X_Back,True,1,robot,2,False,False,robot_stimuli\R_Torso_X_Back.mp4,0
L_Head_X_For,False,1,robot,2,False,False,robot_stimuli\L_Head_X_For.mp4,0
R_Arm_Z_Back,False,1,robot,2,False,False,robot_stimuli\R_Arm_Z_Back.mp4,0
L_Head_X_For,False,1,robot,2,False,False,robot_stimuli\L_Head_X_For.mp4,0
L_Head_X_For,True,1,robot,2,False,True,robot_stimuli\L_Head_X_For.mp4,0
L_Head_Z_For,False,2,robot,2,True,False,robot_stimuli\L_Head_Z_For.mp4,0
R_Head_Y_Back,False,2,robot,2,False,False,robot_stimuli\R_Head_Y_Back.mp4,0
L_Base_Y_Back,False,2,robot,2,False,False,robot_stimuli\L_Base_Y_Back.mp4,0
R_Head_Y_For,False,2,robot,2,False,False,robot_stimuli\R_Head_Y_For.mp4,0
L_Base_Y_Back,True,2,robot,2,False,False,robot_stimuli\L_Base_Y_Back.mp4,0
R_Head_Y_For,True,2,robot,2,False,False,robot_stimuli\R_Head_Y_For.mp4,0
R_Torso_Z_For,False,2,robot,2,False,False,robot_stimuli\R_Torso_Z_For.mp4,0
L_Head_Y_Back,False,2,robot,2,False,False,robot_stimuli\L_Head_Y_Back.mp4,0
R_Torso_Z_For,True,2,robot,2,False,True,robot_stimuli\R_Torso_Z_For.mp4,0
R_Torso_Y_Back,False,3,robot,2,True,False,robot_stimuli\R_Torso_Y_Back.mp4,0
R_Arm_Y_For,False,3,robot,2,False,False,robot_stimuli\R_Arm_Y_For.mp4,0
R_Arm_X_For,False,3,robot,2,False,False,robot_stimuli\R_Arm_X_For.mp4,0
R_Torso_Y_Back,True,3,robot,2,False,False,robot_stimuli\R_Torso_Y_Back.mp4,0
L_Head_Z_Back,False,3,robot,2,False,False,robot_stimuli\L_Head_Z_Back.mp4,0
R_Head_X_Back,False,3,robot,2,False,False,robot_stimuli\R_Head_X_Back.mp4,0
R_Head_Z_For,False,3,robot,2,False,False,robot_stimuli\R_Head_Z_For.mp4,0
L_Head_Z_Back,True,3,robot,2,False,False,robot_stimuli\L_Head_Z_Back.mp4,0
R_Head_X_Back,True,3,robot,2,False,True,robot_stimuli\R_Head_X_Back.mp4,0
