sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject
"['red_bottom_T_0', 'blue_left_R_0', 'blue_bottom_P_0', 'blue_bottom_L_45']","{'color': 'red_bottom_T_0', 'position': 'blue_left_R_0', 'orientation': 'blue_bottom_L_45'}",position,['position'],blue_left_R_0,1,1,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18
"['red_left_R_0', 'blue_left_L_0', 'blue_bottom_G_0', 'blue_left_T_45']","{'color': 'red_left_R_0', 'position': 'blue_bottom_G_0', 'orientation': 'blue_left_T_45'}",orientation,['orientation'],blue_left_T_45,3,1,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18
"['blue_bottom_S_0', 'red_bottom_M_0', 'blue_left_V_0', 'blue_bottom_B_45']","{'color': 'red_bottom_M_0', 'position': 'blue_left_V_0', 'orientation': 'blue_bottom_B_45'}",color,['color'],red_bottom_M_0,1,1,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18
"['red_right_P_0', 'red_right_H_45', 'blue_right_K_0', 'red_bottom_J_0']","{'color': 'blue_right_K_0', 'position': 'red_bottom_J_0', 'orientation': 'red_right_H_45'}",color,"['color', 'orientation']",blue_right_K_0,2,2,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18
"['blue_top_Z_45', 'red_left_X_45', 'red_top_W_0', 'red_top_M_45']","{'color': 'blue_top_Z_45', 'position': 'red_left_X_45', 'orientation': 'red_top_W_0'}",orientation,"['orientation', 'position']",red_top_W_0,2,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18
"['red_top_T_0', 'blue_top_F_0', 'red_bottom_V_0', 'red_top_F_45']","{'color': 'blue_top_F_0', 'position': 'red_bottom_V_0', 'orientation': 'red_top_F_45'}",position,"['color', 'position']",red_bottom_V_0,2,2,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18
"['red_right_P_45', 'blue_right_S_0', 'blue_right_G_45', 'blue_bottom_N_45']","{'color': 'red_right_P_45', 'position': 'blue_bottom_N_45', 'orientation': 'blue_right_S_0'}",position,"['color', 'orientation', 'position']",blue_bottom_N_45,3,3,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18
"['blue_left_V_45', 'blue_bottom_K_0', 'red_left_C_0', 'blue_left_G_0']","{'color': 'red_left_C_0', 'position': 'blue_bottom_K_0', 'orientation': 'blue_left_V_45'}",color,"['color', 'orientation', 'position']",red_left_C_0,2,3,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18
"['red_left_R_45', 'red_right_T_45', 'blue_right_J_45', 'red_right_G_0']","{'color': 'blue_right_J_45', 'position': 'red_left_R_45', 'orientation': 'red_right_G_0'}",orientation,"['color', 'orientation', 'position']",red_right_G_0,3,3,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18
"['R_Arm_Z_For', 'L_Arm_X_For', 'R_Arm_X_For', 'R_Base_X_For']","{'laterality': 'L_Arm_X_For', 'localisation': 'R_Base_X_For', 'movement': 'R_Arm_Z_For'}",movement,['movement'],R_Arm_Z_For,0,1,robot,2,True,False,"['robot_stimuli\\R_Arm_Z_For.mp4', 'robot_stimuli\\L_Arm_X_For.mp4', 'robot_stimuli\\R_Arm_X_For.mp4', 'robot_stimuli\\R_Base_X_For.mp4']",robot_stimuli\R_Arm_Z_For.mp4,18
"['L_Arm_X_Back', 'R_Torso_X_For', 'R_Arm_X_Back', 'R_Arm_Y_Back']","{'laterality': 'L_Arm_X_Back', 'localisation': 'R_Torso_X_For', 'movement': 'R_Arm_Y_Back'}",localisation,['localisation'],R_Torso_X_For,1,1,robot,2,False,False,"['robot_stimuli\\L_Arm_X_Back.mp4', 'robot_stimuli\\R_Torso_X_For.mp4', 'robot_stimuli\\R_Arm_X_Back.mp4', 'robot_stimuli\\R_Arm_Y_Back.mp4']",robot_stimuli\R_Torso_X_For.mp4,18
