sequence,is_target,condition,stimuli,block,is_block_beginning,is_block_ending,fname,subject
W,False,3,letter,1,True,False,robot_stimuli\\filler.mp4,14
D,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,14
P,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,14
S,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,14
Z,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,14
P,True,3,letter,1,False,False,robot_stimuli\\filler.mp4,14
N,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,14
M,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,14
K,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,14
V,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,14
S,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,14
G,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,14
Z,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,14
M,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,14
G,True,3,letter,1,False,False,robot_stimuli\\filler.mp4,14
G,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,14
Q,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,14
R,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,14
L,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,14
Q,True,3,letter,1,False,False,robot_stimuli\\filler.mp4,14
D,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,14
L,True,3,letter,1,False,False,robot_stimuli\\filler.mp4,14
Q,True,3,letter,1,False,False,robot_stimuli\\filler.mp4,14
P,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,14
L,True,3,letter,1,False,False,robot_stimuli\\filler.mp4,14
K,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,14
P,True,3,letter,1,False,False,robot_stimuli\\filler.mp4,14
M,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,14
K,True,3,letter,1,False,False,robot_stimuli\\filler.mp4,14
V,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,14
G,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,14
N,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,14
