sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,polygon.stopped,cue_before_text.started,cue_before_text.stopped,training_presentation_letter.started,training_presentation_letter.stopped,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,RSME_key.rt,training_presentation_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_movie.started,block_intro_text.stopped,block_intro_key.stopped,presentation_letter.started,presentation_letter.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.086239599999999,12.086239599999999,f,0.2938517000000047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,2024-07-30_10h10.48.733,robot_cogshifting_sign,2022.2.5,60.08911215331698,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.440261600000042,12.440261600000042,space,98.3953588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,2024-07-30_10h10.48.733,robot_cogshifting_sign,2022.2.5,60.08911215331698,
"['red_top_X_45', 'red_bottom_M_0', 'red_top_V_0', 'blue_top_J_0']","{'color': 'blue_top_J_0', 'position': 'red_bottom_M_0', 'orientation': 'red_top_X_45'}",color,['color'],blue_top_J_0,3,1,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,11,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,110.88292419999999,110.88292419999999,space,5.048710900000003,115.95318680000003,116.953033,116.953033,119.24142790000002,126.1431652,128.3794755,128.3794755,128.3794755,128.3794755,4,14.495754599999998,143.01469990000004,143.01469990000004,143.01469990000004,143.01469990000004,143.01469990000004,143.01469990000004,143.01469990000004,143.01469990000004,None,None,None,,,,,,,,,,,,,,,,,,,11,001,2024-07-30_10h10.48.733,robot_cogshifting_sign,2022.2.5,60.08911215331698,
"['blue_top_P_0', 'red_top_G_45', 'blue_bottom_Q_45', 'blue_top_V_45']","{'color': 'red_top_G_45', 'position': 'blue_bottom_Q_45', 'orientation': 'blue_top_P_0'}",orientation,['orientation'],blue_top_P_0,0,1,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,11,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,143.01469990000004,143.01469990000004,None,,143.01469990000004,,144.0196957,,152.80306430000002,154.82868790000003,154.82868790000003,154.82868790000003,154.82868790000003,1,2.1100726999999893,156.96980860000002,156.96980860000002,156.96980860000002,156.96980860000002,156.96980860000002,156.96980860000002,156.96980860000002,156.96980860000002,None,None,None,143.01469990000004,143.01469990000004,,,,,,,,,,,,,,,,,11,001,2024-07-30_10h10.48.733,robot_cogshifting_sign,2022.2.5,60.08911215331698,
"['blue_right_N_0', 'blue_left_B_45', 'red_left_T_0', 'blue_left_T_0']","{'color': 'red_left_T_0', 'position': 'blue_right_N_0', 'orientation': 'blue_left_B_45'}",position,['position'],blue_right_N_0,0,1,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,11,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,156.96980860000002,156.96980860000002,None,,156.96980860000002,157.96985190000004,157.96985190000004,160.0499324,166.7539008,168.783204,168.783204,168.783204,168.783204,1,0.6752142999999933,169.55431880000003,173.46127710000002,169.55431880000003,173.46127710000002,169.55431880000003,173.46127710000002,169.55431880000003,173.46127710000002,8.086419753086412,3.395168100000035,space,156.96980860000002,156.96980860000002,3.8318658000000028,,,,,,,,,,,,,,,,11,001,2024-07-30_10h10.48.733,robot_cogshifting_sign,2022.2.5,60.08911215331698,
"['blue_bottom_N_45', 'blue_bottom_F_0', 'red_bottom_D_45', 'blue_left_F_45']","{'color': 'red_bottom_D_45', 'position': 'blue_left_F_45', 'orientation': 'blue_bottom_F_0'}",orientation,"['orientation', 'position']",blue_bottom_F_0,1,2,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,11,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,173.46127710000002,173.46127710000002,space,3.181767700000023,176.6696645,177.669763,177.669763,179.7373306,186.2528249,188.28042120000003,188.28042120000003,188.28042120000003,188.28042120000003,2,18.06555309999999,206.36974500000002,206.36974500000002,206.36974500000002,206.36974500000002,206.36974500000002,206.36974500000002,206.36974500000002,206.36974500000002,None,None,None,,,,,,,,,,,,,,,,,,,11,001,2024-07-30_10h10.48.733,robot_cogshifting_sign,2022.2.5,60.08911215331698,
"['red_right_F_0', 'red_right_M_45', 'blue_right_K_45', 'red_top_B_45']","{'color': 'blue_right_K_45', 'position': 'red_top_B_45', 'orientation': 'red_right_F_0'}",position,"['orientation', 'position']",red_top_B_45,3,2,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,11,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,206.36974500000002,206.36974500000002,None,,206.36974500000002,207.36981430000003,207.36981430000003,209.4347891,215.9338745,217.95611050000002,217.95611050000002,217.95611050000002,217.95611050000002,4,0.966499199999987,218.9531621,218.9531621,218.9531621,218.9531621,218.9531621,218.9531621,218.9531621,218.9531621,None,None,None,206.36974500000002,206.36974500000002,,,,,,,,,,,,,,,,,11,001,2024-07-30_10h10.48.733,robot_cogshifting_sign,2022.2.5,60.08911215331698,
"['red_left_P_45', 'blue_left_P_45', 'blue_top_F_45', 'blue_left_D_0']","{'color': 'red_left_P_45', 'position': 'blue_top_F_45', 'orientation': 'blue_left_D_0'}",color,"['color', 'orientation']",red_left_P_45,0,2,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,11,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,218.9531621,218.9531621,None,,218.9531621,219.9530893,219.9530893,222.0201262,228.339467,230.56195910000002,230.56195910000002,230.56195910000002,230.56195910000002,1,1.2978688000000034,231.9104828,234.89736249999999,231.9104828,234.89736249999999,231.9104828,234.89736249999999,231.9104828,234.89736249999999,12.561728395061722,2.5657059999999774,space,218.9531621,218.9531621,2.931845599999974,,,,,,,,,,,,,,,,11,001,2024-07-30_10h10.48.733,robot_cogshifting_sign,2022.2.5,60.08911215331698,
"['blue_left_G_0', 'red_left_H_0', 'red_top_F_0', 'red_left_L_45']","{'color': 'blue_left_G_0', 'position': 'red_top_F_0', 'orientation': 'red_left_L_45'}",orientation,"['color', 'orientation', 'position']",red_left_L_45,3,3,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,11,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,234.89736249999999,234.89736249999999,space,1.7380943999999658,236.65327360000003,237.65348370000004,237.65348370000004,239.72356110000004,246.43256200000002,248.44944800000002,248.44944800000002,248.44944800000002,248.44944800000002,4,1.378479499999969,249.85332290000002,249.85332290000002,249.85332290000002,249.85332290000002,249.85332290000002,249.85332290000002,249.85332290000002,249.85332290000002,None,None,None,,,,,,,,,,,,,,,,,,,11,001,2024-07-30_10h10.48.733,robot_cogshifting_sign,2022.2.5,60.08911215331698,
"['blue_bottom_K_0', 'red_bottom_F_0', 'red_top_N_0', 'red_bottom_B_45']","{'color': 'blue_bottom_K_0', 'position': 'red_top_N_0', 'orientation': 'red_bottom_B_45'}",position,"['color', 'orientation', 'position']",red_top_N_0,2,3,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,11,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,249.85332290000002,249.85332290000002,None,,249.85332290000002,250.85326960000003,250.85326960000003,252.91455200000001,259.41560380000004,261.43032980000004,261.43032980000004,261.43032980000004,261.43032980000004,3,1.388684899999987,262.8364809,262.8364809,262.8364809,262.8364809,262.8364809,262.8364809,262.8364809,262.8364809,None,None,None,249.85332290000002,249.85332290000002,,,,,,,,,,,,,,,,,11,001,2024-07-30_10h10.48.733,robot_cogshifting_sign,2022.2.5,60.08911215331698,
