sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject
"['red_top_X_45', 'red_bottom_M_0', 'red_top_V_0', 'blue_top_J_0']","{'color': 'blue_top_J_0', 'position': 'red_bottom_M_0', 'orientation': 'red_top_X_45'}",color,['color'],blue_top_J_0,3,1,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,11
"['blue_top_P_0', 'red_top_G_45', 'blue_bottom_Q_45', 'blue_top_V_45']","{'color': 'red_top_G_45', 'position': 'blue_bottom_Q_45', 'orientation': 'blue_top_P_0'}",orientation,['orientation'],blue_top_P_0,0,1,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,11
"['blue_right_N_0', 'blue_left_B_45', 'red_left_T_0', 'blue_left_T_0']","{'color': 'red_left_T_0', 'position': 'blue_right_N_0', 'orientation': 'blue_left_B_45'}",position,['position'],blue_right_N_0,0,1,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,11
"['blue_bottom_N_45', 'blue_bottom_F_0', 'red_bottom_D_45', 'blue_left_F_45']","{'color': 'red_bottom_D_45', 'position': 'blue_left_F_45', 'orientation': 'blue_bottom_F_0'}",orientation,"['orientation', 'position']",blue_bottom_F_0,1,2,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,11
"['red_right_F_0', 'red_right_M_45', 'blue_right_K_45', 'red_top_B_45']","{'color': 'blue_right_K_45', 'position': 'red_top_B_45', 'orientation': 'red_right_F_0'}",position,"['orientation', 'position']",red_top_B_45,3,2,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,11
"['red_left_P_45', 'blue_left_P_45', 'blue_top_F_45', 'blue_left_D_0']","{'color': 'red_left_P_45', 'position': 'blue_top_F_45', 'orientation': 'blue_left_D_0'}",color,"['color', 'orientation']",red_left_P_45,0,2,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,11
"['blue_left_G_0', 'red_left_H_0', 'red_top_F_0', 'red_left_L_45']","{'color': 'blue_left_G_0', 'position': 'red_top_F_0', 'orientation': 'red_left_L_45'}",orientation,"['color', 'orientation', 'position']",red_left_L_45,3,3,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,11
"['blue_bottom_K_0', 'red_bottom_F_0', 'red_top_N_0', 'red_bottom_B_45']","{'color': 'blue_bottom_K_0', 'position': 'red_top_N_0', 'orientation': 'red_bottom_B_45'}",position,"['color', 'orientation', 'position']",red_top_N_0,2,3,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,11
"['blue_right_G_0', 'red_bottom_Z_0', 'blue_bottom_J_45', 'blue_bottom_W_0']","{'color': 'red_bottom_Z_0', 'position': 'blue_right_G_0', 'orientation': 'blue_bottom_J_45'}",color,"['color', 'orientation', 'position']",red_bottom_Z_0,1,3,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,11
"['R_Arm_Z_For', 'R_Arm_Y_For', 'R_Base_Z_For', 'L_Arm_Z_For']","{'laterality': 'L_Arm_Z_For', 'localisation': 'R_Base_Z_For', 'movement': 'R_Arm_Y_For'}",localisation,['localisation'],R_Base_Z_For,2,1,robot,1,True,False,"['robot_stimuli\\R_Arm_Z_For.mp4', 'robot_stimuli\\R_Arm_Y_For.mp4', 'robot_stimuli\\R_Base_Z_For.mp4', 'robot_stimuli\\L_Arm_Z_For.mp4']",robot_stimuli\R_Base_Z_For.mp4,11
