sequence,is_target,condition,stimuli,block,is_block_beginning,is_block_ending,fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_robot_intro_text.started,training_robot_intro_key.started,training_robot_intro_key.keys,training_robot_intro_key.rt,cross.started,cross.stopped,training_letter.started,training_robot_key.started,training_robot_question.started,training_robot_keys.started,training_letter.stopped,training_robot_key.keys,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_robot_intro_text.stopped,training_robot_intro_key.stopped,training_robot_key.rt,RSME_key.rt,training_robot_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,letter.started,key.started,letter.stopped,key.keys,block_intro_text.stopped,block_intro_key.stopped,key.rt,movie.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,14.007684099997277,14.007684099997277,f,1360.3950239999976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2024-06-04_13h44.20.028,robot_nback_sign,2022.2.5,60.02581109790168,
,,,,,,,,,,,,,,,,,,,,,,,,,1374.4667628999887,1374.4667628999887,space,98.7844741000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2024-06-04_13h44.20.028,robot_nback_sign,2022.2.5,60.02581109790168,
R,False,1,letter,1,True,False,robot_stimuli\\filler.mp4,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1473.2839265999937,1473.2839265999937,space,5.416169799995259,1478.7199092999945,1480.0857023999997,1480.0857023999997,1480.0857023999997,1480.0857023999997,1480.0857023999997,1482.3907285999885,None,1482.3907285999885,1482.3907285999885,1482.3907285999885,1482.3907285999885,1482.3907285999885,1482.3907285999885,1482.3907285999885,1482.3907285999885,None,None,None,,,,,,,,,,,,,,,,,,,,,,,2,001,2024-06-04_13h44.20.028,robot_nback_sign,2022.2.5,60.02581109790168,
B,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,2,0,0,0,0,0,1,1,1,,,,,,,,,,,,,1482.3907285999885,1482.3907285999885,None,,1482.3907285999885,,1483.46999089999,1483.46999089999,1483.46999089999,1483.46999089999,1485.5027983999898,None,1485.5027983999898,1485.5027983999898,1485.5027983999898,1485.5027983999898,1485.5027983999898,1485.5027983999898,1485.5027983999898,1485.5027983999898,None,None,None,1482.3907285999885,1482.3907285999885,,,,,,,,,,,,,,,,,,,,,2,001,2024-06-04_13h44.20.028,robot_nback_sign,2022.2.5,60.02581109790168,
M,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,2,0,0,0,0,0,2,2,2,,,,,,,,,,,,,1485.5027983999898,1485.5027983999898,None,,1485.5027983999898,1486.5718605999864,1486.5718605999864,1486.5718605999864,1486.5718605999864,1486.5718605999864,1488.801105199993,n,1488.801105199993,1488.801105199993,1488.801105199993,1488.801105199993,1488.801105199993,1488.801105199993,1488.801105199993,1488.801105199993,None,None,None,1485.5027983999898,1485.5027983999898,1.8146658000041498,,,,,,,,,,,,,,,,,,,,2,001,2024-06-04_13h44.20.028,robot_nback_sign,2022.2.5,60.02581109790168,
M,True,1,letter,1,False,False,robot_stimuli\\filler.mp4,2,0,0,0,0,0,3,3,3,,,,,,,,,,,,,1488.801105199993,1488.801105199993,None,,1488.801105199993,1489.8673347000004,1489.8673347000004,1489.8673347000004,1489.8673347000004,1489.8673347000004,1491.8963162999862,c,1491.8963162999862,1491.8963162999862,1491.8963162999862,1491.8963162999862,1491.8963162999862,1491.8963162999862,1491.8963162999862,1491.8963162999862,None,None,None,1488.801105199993,1488.801105199993,1.4707656000100542,,,,,,,,,,,,,,,,,,,,2,001,2024-06-04_13h44.20.028,robot_nback_sign,2022.2.5,60.02581109790168,
T,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,2,0,0,0,0,0,4,4,4,,,,,,,,,,,,,1491.8963162999862,1491.8963162999862,None,,1491.8963162999862,1492.973840199993,1492.973840199993,1492.973840199993,1492.973840199993,1492.973840199993,1495.2082523999998,n,1495.2082523999998,1495.2082523999998,1495.2082523999998,1495.2082523999998,1495.2082523999998,1495.2082523999998,1495.2082523999998,1495.2082523999998,None,None,None,1491.8963162999862,1491.8963162999862,1.197948400003952,,,,,,,,,,,,,,,,,,,,2,001,2024-06-04_13h44.20.028,robot_nback_sign,2022.2.5,60.02581109790168,
T,True,1,letter,1,False,True,robot_stimuli\\filler.mp4,2,0,0,0,0,0,5,5,5,,,,,,,,,,,,,1495.2082523999998,1495.2082523999998,None,,1495.2082523999998,1496.2830044000002,1496.2830044000002,1496.2830044000002,1496.2830044000002,1496.2830044000002,1498.3777134999982,c,1498.3777134999982,1505.7609116999956,1498.3777134999982,1505.7609116999956,1498.3777134999982,1505.7609116999956,1498.3777134999982,1505.7609116999956,26.913580246913572,6.727024100007839,space,1495.2082523999998,1495.2082523999998,0.7128145000024233,7.329323199999635,,,,,,,,,,,,,,,,,,,2,001,2024-06-04_13h44.20.028,robot_nback_sign,2022.2.5,60.02581109790168,
K,False,2,letter,1,True,False,robot_stimuli\\filler.mp4,2,0,0,0,0,0,6,6,6,,,,,,,,,,,,,1505.7609116999956,1505.7609116999956,space,9.977229199997964,1515.7700490999996,1516.8436242999887,1516.8436242999887,1516.8436242999887,1516.8436242999887,1516.8436242999887,1519.0715534999908,n,1519.0715534999908,1519.0715534999908,1519.0715534999908,1519.0715534999908,1519.0715534999908,1519.0715534999908,1519.0715534999908,1519.0715534999908,None,None,None,,,1.1916128000011668,,,,,,,,,,,,,,,,,,,,2,001,2024-06-04_13h44.20.028,robot_nback_sign,2022.2.5,60.02581109790168,
H,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,2,0,0,0,0,0,7,7,7,,,,,,,,,,,,,1519.0715534999908,1519.0715534999908,None,,1519.0715534999908,,1520.1570634999953,1520.1570634999953,1520.1570634999953,1520.1570634999953,1522.3930674000003,n,1522.3930674000003,1522.3930674000003,1522.3930674000003,1522.3930674000003,1522.3930674000003,1522.3930674000003,1522.3930674000003,1522.3930674000003,None,None,None,1519.0715534999908,1519.0715534999908,1.3811082000029273,,,,,,,,,,,,,,,,,,,,2,001,2024-06-04_13h44.20.028,robot_nback_sign,2022.2.5,60.02581109790168,
