sequence,odd_ones,choices,choice_n,parameter,target,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject
"['red_top_B_0', 'red_left_B_45', 'red_top_P_45', 'blue_top_C_45']","{'color': 'blue_top_C_45', 'position': 'red_left_B_45', 'orientation': 'red_top_B_0'}",['color'],0,color,blue_top_C_45,1,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,1
"['red_left_Q_45', 'blue_left_P_0', 'blue_left_S_45', 'blue_right_K_45']","{'color': 'red_left_Q_45', 'position': 'blue_right_K_45', 'orientation': 'blue_left_P_0'}",['orientation'],0,orientation,blue_left_P_0,1,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,1
"['red_right_J_45', 'red_left_F_45', 'red_right_L_0', 'blue_right_K_45']","{'color': 'blue_right_K_45', 'position': 'red_left_F_45', 'orientation': 'red_right_L_0'}",['position'],0,position,red_left_F_45,1,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,1
"['blue_top_H_45', 'red_top_K_45', 'blue_right_J_45', 'blue_top_N_0']","{'color': 'red_top_K_45', 'position': 'blue_right_J_45', 'orientation': 'blue_top_N_0'}","['position', 'orientation']",0,position,blue_right_J_45,2,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,1
"['blue_right_C_45', 'red_right_H_0', 'red_left_C_45', 'red_right_P_45']","{'color': 'blue_right_C_45', 'position': 'red_left_C_45', 'orientation': 'red_right_H_0'}","['color', 'orientation']",0,color,blue_right_C_45,2,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,1
"['red_right_D_45', 'red_top_X_0', 'red_top_S_45', 'blue_top_C_45']","{'color': 'blue_top_C_45', 'position': 'red_right_D_45', 'orientation': 'red_top_X_0'}","['color', 'position']",0,color,blue_top_C_45,2,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,1
"['red_top_D_45', 'blue_top_W_45', 'blue_bottom_Q_45', 'blue_top_B_0']","{'color': 'red_top_D_45', 'position': 'blue_bottom_Q_45', 'orientation': 'blue_top_B_0'}","['color', 'position', 'orientation']",2,orientation,blue_top_B_0,3,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,1
"['blue_bottom_D_45', 'red_top_K_45', 'red_bottom_R_0', 'red_bottom_J_45']","{'color': 'blue_bottom_D_45', 'position': 'red_top_K_45', 'orientation': 'red_bottom_R_0'}","['color', 'position', 'orientation']",1,position,red_top_K_45,3,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,1
"['blue_left_R_45', 'blue_top_L_0', 'blue_top_T_45', 'red_top_N_45']","{'color': 'red_top_N_45', 'position': 'blue_left_R_45', 'orientation': 'blue_top_L_0'}","['color', 'position', 'orientation']",0,color,red_top_N_45,3,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,1
"['R_Base_Z_Back', 'R_Head_Y_For', 'R_Base_Y_Back', 'L_Base_Y_For']","{'laterality': 'L_Base_Y_For', 'localisation': 'R_Head_Y_For', 'movement': 'R_Base_Z_Back'}",['localisation'],0,localisation,R_Head_Y_For,1,robot,1,True,False,"['robot_stimuli\\R_Base_Z_Back.mp4', 'robot_stimuli\\R_Head_Y_For.mp4', 'robot_stimuli\\R_Base_Y_Back.mp4', 'robot_stimuli\\L_Base_Y_For.mp4']",robot_stimuli\R_Head_Y_For.mp4,1
"['L_Arm_Y_For', 'R_Torso_Y_For', 'L_Torso_X_Back', 'L_Torso_Y_Back']","{'laterality': 'R_Torso_Y_For', 'localisation': 'L_Arm_Y_For', 'movement': 'L_Torso_X_Back'}",['movement'],0,movement,L_Torso_X_Back,1,robot,1,False,False,"['robot_stimuli\\L_Arm_Y_For.mp4', 'robot_stimuli\\R_Torso_Y_For.mp4', 'robot_stimuli\\L_Torso_X_Back.mp4', 'robot_stimuli\\L_Torso_Y_Back.mp4']",robot_stimuli\L_Torso_X_Back.mp4,1
"['R_Torso_X_For', 'L_Torso_X_For', 'L_Arm_X_Back', 'L_Torso_Z_For']","{'laterality': 'R_Torso_X_For', 'localisation': 'L_Arm_X_Back', 'movement': 'L_Torso_Z_For'}",['laterality'],0,laterality,R_Torso_X_For,1,robot,1,False,True,"['robot_stimuli\\R_Torso_X_For.mp4', 'robot_stimuli\\L_Torso_X_For.mp4', 'robot_stimuli\\L_Arm_X_Back.mp4', 'robot_stimuli\\L_Torso_Z_For.mp4']",robot_stimuli\R_Torso_X_For.mp4,1
"['R_Torso_Z_Back', 'L_Torso_Z_Back', 'L_Torso_X_Back', 'L_Head_Z_Back']","{'laterality': 'R_Torso_Z_Back', 'localisation': 'L_Head_Z_Back', 'movement': 'L_Torso_X_Back'}","['localisation', 'movement']",0,localisation,L_Head_Z_Back,2,robot,1,True,False,"['robot_stimuli\\R_Torso_Z_Back.mp4', 'robot_stimuli\\L_Torso_Z_Back.mp4', 'robot_stimuli\\L_Torso_X_Back.mp4', 'robot_stimuli\\L_Head_Z_Back.mp4']",robot_stimuli\L_Head_Z_Back.mp4,1
"['R_Base_Z_For', 'L_Base_Z_Back', 'L_Head_Z_Back', 'L_Base_Y_For']","{'laterality': 'R_Base_Z_For', 'localisation': 'L_Head_Z_Back', 'movement': 'L_Base_Y_For'}","['laterality', 'localisation']",0,laterality,R_Base_Z_For,2,robot,1,False,False,"['robot_stimuli\\R_Base_Z_For.mp4', 'robot_stimuli\\L_Base_Z_Back.mp4', 'robot_stimuli\\L_Head_Z_Back.mp4', 'robot_stimuli\\L_Base_Y_For.mp4']",robot_stimuli\R_Base_Z_For.mp4,1
"['L_Base_X_Back', 'R_Base_Y_Back', 'R_Base_X_For', 'R_Torso_X_Back']","{'laterality': 'L_Base_X_Back', 'localisation': 'R_Torso_X_Back', 'movement': 'R_Base_Y_Back'}","['laterality', 'movement']",0,laterality,L_Base_X_Back,2,robot,1,False,True,"['robot_stimuli\\L_Base_X_Back.mp4', 'robot_stimuli\\R_Base_Y_Back.mp4', 'robot_stimuli\\R_Base_X_For.mp4', 'robot_stimuli\\R_Torso_X_Back.mp4']",robot_stimuli\L_Base_X_Back.mp4,1
"['R_Arm_X_Back', 'R_Torso_X_Back', 'L_Arm_X_For', 'R_Arm_Z_Back']","{'laterality': 'L_Arm_X_For', 'localisation': 'R_Torso_X_Back', 'movement': 'R_Arm_Z_Back'}","['laterality', 'localisation', 'movement']",1,localisation,R_Torso_X_Back,3,robot,1,True,False,"['robot_stimuli\\R_Arm_X_Back.mp4', 'robot_stimuli\\R_Torso_X_Back.mp4', 'robot_stimuli\\L_Arm_X_For.mp4', 'robot_stimuli\\R_Arm_Z_Back.mp4']",robot_stimuli\R_Torso_X_Back.mp4,1
