sequence,is_true,target,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject
"['L', 'K']",False,V,2,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,20
"['X', 'L']",True,L,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,20
"['H', 'X']",True,X,2,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,20
"['V', 'M', 'K', 'G']",True,K,4,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,20
"['S', 'B', 'N', 'Q']",False,V,4,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,20
"['M', 'P', 'Z', 'W']",True,Z,4,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,20
"['Z', 'C', 'D', 'G', 'X', 'M']",True,G,6,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,20
"['M', 'L', 'F', 'Q', 'V', 'W']",False,H,6,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,20
"['D', 'X', 'P', 'Z', 'W', 'H']",True,P,6,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,20
"['R_Base_X_Back', 'R_Head_X_Back']",False,L_Head_Z_Back,2,robot,2,True,False,"['robot_stimuli\\R_Base_X_Back.mp4', 'robot_stimuli\\R_Head_X_Back.mp4']",robot_stimuli\L_Head_Z_Back.mp4,20
"['L_Arm_Y_For', 'L_Base_X_For']",True,L_Arm_Y_For,2,robot,2,False,False,"['robot_stimuli\\L_Arm_Y_For.mp4', 'robot_stimuli\\L_Base_X_For.mp4']",robot_stimuli\L_Arm_Y_For.mp4,20
"['L_Base_Z_Back', 'L_Torso_Z_Back']",True,L_Base_Z_Back,2,robot,2,False,True,"['robot_stimuli\\L_Base_Z_Back.mp4', 'robot_stimuli\\L_Torso_Z_Back.mp4']",robot_stimuli\L_Base_Z_Back.mp4,20
"['L_Arm_Y_Back', 'R_Arm_X_Back', 'L_Base_Z_For', 'R_Head_Y_For']",False,L_Base_X_Back,4,robot,2,True,False,"['robot_stimuli\\L_Arm_Y_Back.mp4', 'robot_stimuli\\R_Arm_X_Back.mp4', 'robot_stimuli\\L_Base_Z_For.mp4', 'robot_stimuli\\R_Head_Y_For.mp4']",robot_stimuli\L_Base_X_Back.mp4,20
"['R_Head_Y_For', 'R_Arm_Z_Back', 'L_Torso_X_Back', 'L_Torso_Z_For']",True,R_Head_Y_For,4,robot,2,False,False,"['robot_stimuli\\R_Head_Y_For.mp4', 'robot_stimuli\\R_Arm_Z_Back.mp4', 'robot_stimuli\\L_Torso_X_Back.mp4', 'robot_stimuli\\L_Torso_Z_For.mp4']",robot_stimuli\R_Head_Y_For.mp4,20
"['R_Base_Y_Back', 'L_Arm_X_Back', 'R_Head_Y_For', 'L_Head_Z_For']",True,R_Head_Y_For,4,robot,2,False,True,"['robot_stimuli\\R_Base_Y_Back.mp4', 'robot_stimuli\\L_Arm_X_Back.mp4', 'robot_stimuli\\R_Head_Y_For.mp4', 'robot_stimuli\\L_Head_Z_For.mp4']",robot_stimuli\R_Head_Y_For.mp4,20
"['L_Head_Z_For', 'R_Base_Z_Back', 'R_Torso_Y_For', 'R_Arm_X_Back', 'L_Base_X_For', 'R_Torso_Z_Back']",False,R_Base_Y_Back,6,robot,2,True,False,"['robot_stimuli\\L_Head_Z_For.mp4', 'robot_stimuli\\R_Base_Z_Back.mp4', 'robot_stimuli\\R_Torso_Y_For.mp4', 'robot_stimuli\\R_Arm_X_Back.mp4', 'robot_stimuli\\L_Base_X_For.mp4', 'robot_stimuli\\R_Torso_Z_Back.mp4']",robot_stimuli\R_Base_Y_Back.mp4,20
"['R_Torso_Y_Back', 'R_Base_Y_Back', 'L_Base_X_Back', 'R_Base_X_Back', 'R_Head_Y_For', 'R_Arm_Z_For']",True,R_Torso_Y_Back,6,robot,2,False,False,"['robot_stimuli\\R_Torso_Y_Back.mp4', 'robot_stimuli\\R_Base_Y_Back.mp4', 'robot_stimuli\\L_Base_X_Back.mp4', 'robot_stimuli\\R_Base_X_Back.mp4', 'robot_stimuli\\R_Head_Y_For.mp4', 'robot_stimuli\\R_Arm_Z_For.mp4']",robot_stimuli\R_Torso_Y_Back.mp4,20
"['L_Arm_X_For', 'R_Head_X_Back', 'L_Arm_X_Back', 'R_Base_Y_Back', 'R_Base_Z_Back', 'L_Head_X_Back']",True,L_Head_X_Back,6,robot,2,False,True,"['robot_stimuli\\L_Arm_X_For.mp4', 'robot_stimuli\\R_Head_X_Back.mp4', 'robot_stimuli\\L_Arm_X_Back.mp4', 'robot_stimuli\\R_Base_Y_Back.mp4', 'robot_stimuli\\R_Base_Z_Back.mp4', 'robot_stimuli\\L_Head_X_Back.mp4']",robot_stimuli\L_Head_X_Back.mp4,20
