sequence,is_true,target,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,polygon.stopped,training_presentation_letter.started,training_presentation_letter.stopped,training_recall_letter.started,training_recall_key.started,training_recall_question.started,training_recall_answer.started,training_recall_key.keys,training_recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,RSME_key.rt,training_presentation_movie.started,training_recall_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_letter.started,presentation_letter.stopped,recall_letter.started,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,block_intro_text.stopped,block_intro_key.stopped,presentation_movie.started,recall_movie.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.05936339999971,18.05936339999971,e,2.516244500000539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,2024-07-31_12h57.47.637,robot_sternberg_sign,2022.2.5,60.04830285474082,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.629730700000437,20.629730700000437,space,21.5858457000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,2024-07-31_12h57.47.637,robot_sternberg_sign,2022.2.5,60.04830285474082,
"['L', 'K']",False,V,2,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,20,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,42.24514110000018,42.24514110000018,space,49.793549100000746,97.94343189999927,99.03814599999896,95.72842169999967,97.94343189999927,99.03814599999896,99.03814599999896,99.03814599999896,99.03814599999896,c,6.417734900000141,105.66933710000012,105.66933710000012,105.66933710000012,105.66933710000012,105.66933710000012,105.66933710000012,105.66933710000012,105.66933710000012,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,2024-07-31_12h57.47.637,robot_sternberg_sign,2022.2.5,60.04830285474082,
"['X', 'L']",True,L,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,20,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,105.66933710000012,105.66933710000012,None,,111.06567859999996,112.13823880000018,108.85393719999956,111.06567859999996,112.13823880000018,112.13823880000018,112.13823880000018,112.13823880000018,c,4.540782000000036,116.77939349999906,116.77939349999906,116.77939349999906,116.77939349999906,116.77939349999906,116.77939349999906,116.77939349999906,116.77939349999906,None,None,None,105.66933710000012,105.66933710000012,,,,,,,,,,,,,,,,,,,,,,,,,20,001,2024-07-31_12h57.47.637,robot_sternberg_sign,2022.2.5,60.04830285474082,
"['H', 'X']",True,X,2,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,20,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,116.77939349999906,116.77939349999906,None,,122.37569299999996,123.45113029999993,120.15625539999928,122.37569299999996,123.45113029999993,123.45113029999993,123.45113029999993,123.45113029999993,c,0.90754890000062,124.53099610000027,134.82807329999923,124.53099610000027,134.82807329999923,124.53099610000027,134.82807329999923,124.53099610000027,134.82807329999923,80.0,8.523456999999325,space,116.77939349999906,116.77939349999906,10.235278899999685,,,,,,,,,,,,,,,,,,,,,,,,20,001,2024-07-31_12h57.47.637,robot_sternberg_sign,2022.2.5,60.04830285474082,
"['V', 'M', 'K', 'G']",True,K,4,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,20,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,134.82807329999923,134.82807329999923,space,6.482705100001112,151.31944750000002,142.40108949999922,149.1032353999999,151.31944750000002,152.39720839999973,152.39720839999973,152.39720839999973,152.39720839999973,c,2.225578100000348,154.82864080000036,154.82864080000036,154.82864080000036,154.82864080000036,154.82864080000036,154.82864080000036,154.82864080000036,154.82864080000036,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,2024-07-31_12h57.47.637,robot_sternberg_sign,2022.2.5,60.04830285474082,
"['S', 'B', 'N', 'Q']",False,V,4,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,20,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,154.82864080000036,154.82864080000036,None,,164.41660589999992,165.4821953999999,162.39236829999936,164.41660589999992,165.4821953999999,165.4821953999999,165.4821953999999,165.4821953999999,n,2.0775105000011536,167.7174630999998,167.7174630999998,167.7174630999998,167.7174630999998,167.7174630999998,167.7174630999998,167.7174630999998,167.7174630999998,None,None,None,154.82864080000036,154.82864080000036,,,,,,,,,,,,,,,,,,,,,,,,,20,001,2024-07-31_12h57.47.637,robot_sternberg_sign,2022.2.5,60.04830285474082,
"['M', 'P', 'Z', 'W']",True,Z,4,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,20,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,167.7174630999998,167.7174630999998,None,,177.32541839999976,178.3985102000006,175.30086669999946,177.32541839999976,178.3985102000006,178.3985102000006,178.3985102000006,178.3985102000006,c,1.3773646999998164,179.86246199999914,183.78677959999914,179.86246199999914,183.78677959999914,179.86246199999914,183.78677959999914,179.86246199999914,183.78677959999914,69.35185185185185,2.852382699998998,space,167.7174630999998,167.7174630999998,3.849291300000914,,,,,,,,,,,,,,,,,,,,,,,,20,001,2024-07-31_12h57.47.637,robot_sternberg_sign,2022.2.5,60.04830285474082,
"['Z', 'C', 'D', 'G', 'X', 'M']",True,G,6,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,20,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,183.78677959999914,183.78677959999914,space,2.973176899999089,201.16179779999948,202.2227681000004,199.15153859999918,201.16179779999948,202.2227681000004,202.2227681000004,202.2227681000004,202.2227681000004,c,1.5851708999998664,203.85185330000058,203.85185330000058,203.85185330000058,203.85185330000058,203.85185330000058,203.85185330000058,203.85185330000058,203.85185330000058,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,2024-07-31_12h57.47.637,robot_sternberg_sign,2022.2.5,60.04830285474082,
"['M', 'L', 'F', 'Q', 'V', 'W']",False,H,6,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,20,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,203.85185330000058,203.85185330000058,None,,217.81741479999982,218.87787770000068,215.79442980000022,217.81741479999982,218.87787770000068,218.87787770000068,218.87787770000068,218.87787770000068,n,1.6820435999998153,220.70949830000063,220.70949830000063,220.70949830000063,220.70949830000063,220.70949830000063,220.70949830000063,220.70949830000063,220.70949830000063,None,None,None,203.85185330000058,203.85185330000058,,,,,,,,,,,,,,,,,,,,,,,,,20,001,2024-07-31_12h57.47.637,robot_sternberg_sign,2022.2.5,60.04830285474082,
"['D', 'X', 'P', 'Z', 'W', 'H']",True,P,6,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,20,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,220.70949830000063,220.70949830000063,None,,234.4490593999999,235.50443629999972,232.43389220000063,234.4490593999999,235.50443629999972,235.50443629999972,235.50443629999972,235.50443629999972,n,2.7435041000007914,238.36222129999987,241.68406010000035,238.36222129999987,241.68406010000035,238.36222129999987,241.68406010000035,238.36222129999987,241.68406010000035,69.81481481481482,2.3655115000001388,space,220.70949830000063,220.70949830000063,3.269136700000672,,,,,,,,,,,,,,,,,,,,,,,,20,001,2024-07-31_12h57.47.637,robot_sternberg_sign,2022.2.5,60.04830285474082,
"['R_Base_X_Back', 'R_Head_X_Back']",False,L_Head_Z_Back,2,robot,2,True,False,"['robot_stimuli\\R_Base_X_Back.mp4', 'robot_stimuli\\R_Head_X_Back.mp4']",robot_stimuli\L_Head_Z_Back.mp4,20,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,241.68406010000035,241.68406010000035,space,3.451487800000905,253.6262026000004,254.7179441999997,,,,254.7179441999997,254.7179441999997,254.7179441999997,n,6.545294600000489,261.29807040000014,261.29807040000014,261.29807040000014,261.29807040000014,261.29807040000014,261.29807040000014,261.29807040000014,261.29807040000014,None,None,None,,,,249.9963284000005,254.7179441999997,,,,,,,,,,,,,,,,,,,,,,20,001,2024-07-31_12h57.47.637,robot_sternberg_sign,2022.2.5,60.04830285474082,
"['L_Arm_Y_For', 'L_Base_X_For']",True,L_Arm_Y_For,2,robot,2,False,False,"['robot_stimuli\\L_Arm_Y_For.mp4', 'robot_stimuli\\L_Base_X_For.mp4']",robot_stimuli\L_Arm_Y_For.mp4,20,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,261.29807040000014,261.29807040000014,None,,269.69174139999996,270.782293799999,,,,270.782293799999,270.782293799999,270.782293799999,n,6.0557700999997905,276.8774512,276.8774512,276.8774512,276.8774512,276.8774512,276.8774512,276.8774512,276.8774512,None,None,None,261.29807040000014,261.29807040000014,,266.1182826000004,270.782293799999,,,,,,,,,,,,,,,,,,,,,,20,001,2024-07-31_12h57.47.637,robot_sternberg_sign,2022.2.5,60.04830285474082,
"['L_Base_Z_Back', 'L_Torso_Z_Back']",True,L_Base_Z_Back,2,robot,2,False,True,"['robot_stimuli\\L_Base_Z_Back.mp4', 'robot_stimuli\\L_Torso_Z_Back.mp4']",robot_stimuli\L_Base_Z_Back.mp4,20,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,276.8774512,276.8774512,None,,285.2102089,286.3119554999994,,,,286.3119554999994,286.3119554999994,286.3119554999994,c,4.757960800001456,291.14739700000064,299.42088370000056,291.14739700000064,299.42088370000056,291.14739700000064,299.42088370000056,291.14739700000064,299.42088370000056,77.37654320987654,5.022278599999481,space,276.8774512,276.8774512,8.227664000000004,281.701133999999,286.3119554999994,,,,,,,,,,,,,,,,,,,,,,20,001,2024-07-31_12h57.47.637,robot_sternberg_sign,2022.2.5,60.04830285474082,
"['L_Arm_Y_Back', 'R_Arm_X_Back', 'L_Base_Z_For', 'R_Head_Y_For']",False,L_Base_X_Back,4,robot,2,True,False,"['robot_stimuli\\L_Arm_Y_Back.mp4', 'robot_stimuli\\R_Arm_X_Back.mp4', 'robot_stimuli\\L_Base_Z_For.mp4', 'robot_stimuli\\R_Head_Y_For.mp4']",robot_stimuli\L_Base_X_Back.mp4,20,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,299.42088370000056,299.42088370000056,space,2.234725799999069,317.59275779999916,318.67829449999954,,,,318.67829449999954,318.67829449999954,318.67829449999954,c,7.3047427000001335,326.0154127000005,326.0154127000005,326.0154127000005,326.0154127000005,326.0154127000005,326.0154127000005,326.0154127000005,326.0154127000005,None,None,None,,,,313.96064099999967,318.67829449999954,,,,,,,,,,,,,,,,,,,,,,20,001,2024-07-31_12h57.47.637,robot_sternberg_sign,2022.2.5,60.04830285474082,
"['R_Head_Y_For', 'R_Arm_Z_Back', 'L_Torso_X_Back', 'L_Torso_Z_For']",True,R_Head_Y_For,4,robot,2,False,False,"['robot_stimuli\\R_Head_Y_For.mp4', 'robot_stimuli\\R_Arm_Z_Back.mp4', 'robot_stimuli\\L_Torso_X_Back.mp4', 'robot_stimuli\\L_Torso_Z_For.mp4']",robot_stimuli\R_Head_Y_For.mp4,20,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,326.0154127000005,326.0154127000005,None,,341.92134500000066,343.0139374999999,,,,343.0139374999999,343.0139374999999,343.0139374999999,c,4.265241400000377,347.31750309999916,347.31750309999916,347.31750309999916,347.31750309999916,347.31750309999916,347.31750309999916,347.31750309999916,347.31750309999916,None,None,None,326.0154127000005,326.0154127000005,,338.2789045999998,343.0139374999999,,,,,,,,,,,,,,,,,,,,,,20,001,2024-07-31_12h57.47.637,robot_sternberg_sign,2022.2.5,60.04830285474082,
