sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,cue_before_text.started,training_presentation_letter.started,training_presentation_letter.stopped,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,polygon.stopped,cue_before_text.stopped,RSME_key.rt,training_presentation_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_letter.started,presentation_letter.stopped,block_intro_text.stopped,block_intro_key.stopped,presentation_movie.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.638704600278288,10.638704600278288,e,2.9109328002668917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,001,2024-09-10_10h33.36.515,robot_cogshifting_sign,2022.2.5,59.86324838550586,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.610077599994838,13.610077599994838,space,14.85955459997058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,001,2024-09-10_10h33.36.515,robot_cogshifting_sign,2022.2.5,59.86324838550586,
"['red_right_D_45', 'red_bottom_N_0', 'blue_bottom_M_45', 'red_bottom_F_45']","{'color': 'blue_bottom_M_45', 'position': 'red_right_D_45', 'orientation': 'red_bottom_N_0'}",color,['color'],blue_bottom_M_45,2,1,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,16,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,28.5060070999898,28.5060070999898,space,14.427971300203353,42.95109870005399,43.95310090016574,54.340223900042474,56.56124350009486,56.56124350009486,56.56124350009486,56.56124350009486,2,1.421026200056076,58.03075679996982,58.03075679996982,58.03075679996982,58.03075679996982,58.03075679996982,58.03075679996982,58.03075679996982,58.03075679996982,None,None,None,,,,,,,,,,,,,,,,,,,,,16,001,2024-09-10_10h33.36.515,robot_cogshifting_sign,2022.2.5,59.86324838550586,
"['red_right_L_45', 'red_bottom_Q_45', 'red_right_W_0', 'blue_right_J_45']","{'color': 'blue_right_J_45', 'position': 'red_bottom_Q_45', 'orientation': 'red_right_W_0'}",position,['position'],red_bottom_Q_45,1,1,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,16,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,58.03075679996982,58.03075679996982,None,,58.03075679996982,59.03275590017438,67.61637570010498,69.8373171002604,69.8373171002604,69.8373171002604,69.8373171002604,2,0.6485713999718428,70.50540059991181,70.50540059991181,70.50540059991181,70.50540059991181,70.50540059991181,70.50540059991181,70.50540059991181,70.50540059991181,None,None,None,58.03075679996982,58.03075679996982,59.03275590017438,,,,,,,,,,,,,,,,,,16,001,2024-09-10_10h33.36.515,robot_cogshifting_sign,2022.2.5,59.86324838550586,
"['red_left_P_0', 'red_top_N_0', 'red_top_Q_45', 'blue_top_M_0']","{'color': 'blue_top_M_0', 'position': 'red_left_P_0', 'orientation': 'red_top_Q_45'}",orientation,['orientation'],red_top_Q_45,2,1,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,16,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,70.50540059991181,70.50540059991181,None,,70.50540059991181,71.50730449985713,80.27458980027586,82.31191019993275,82.31191019993275,82.31191019993275,82.31191019993275,3,0.3415151000954211,82.72940240008757,94.93671530019492,82.72940240008757,94.93671530019492,82.72940240008757,94.93671530019492,82.72940240008757,94.93671530019492,15.317460317460316,11.031729400157928,space,70.50540059991181,70.50540059991181,71.50730449985713,73.57807710021734,12.132385999895632,,,,,,,,,,,,,,,,16,001,2024-09-10_10h33.36.515,robot_cogshifting_sign,2022.2.5,59.86324838550586,
"['red_top_J_0', 'red_right_K_45', 'red_right_Q_0', 'blue_right_F_0']","{'color': 'blue_right_F_0', 'position': 'red_top_J_0', 'orientation': 'red_right_K_45'}",orientation,"['color', 'orientation']",red_right_K_45,1,2,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,16,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,94.93671530019492,94.93671530019492,space,2.0772863999009132,97.04090829985216,98.0428749001585,106.61018970003352,108.63033040007576,108.63033040007576,108.63033040007576,108.63033040007576,2,1.799369900021702,110.45054810028523,110.45054810028523,110.45054810028523,110.45054810028523,110.45054810028523,110.45054810028523,110.45054810028523,110.45054810028523,None,None,None,,,,,,,,,,,,,,,,,,,,,16,001,2024-09-10_10h33.36.515,robot_cogshifting_sign,2022.2.5,59.86324838550586,
"['red_bottom_N_0', 'red_right_T_45', 'red_right_V_0', 'blue_right_J_0']","{'color': 'blue_right_J_0', 'position': 'red_bottom_N_0', 'orientation': 'red_right_T_45'}",color,"['color', 'orientation']",blue_right_J_0,3,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,16,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,110.45054810028523,110.45054810028523,None,,110.45054810028523,111.45257700001821,120.03618740011007,122.2738890000619,122.2738890000619,122.2738890000619,122.2738890000619,4,2.220200499985367,124.51160710025579,124.51160710025579,124.51160710025579,124.51160710025579,124.51160710025579,124.51160710025579,124.51160710025579,124.51160710025579,None,None,None,110.45054810028523,110.45054810028523,111.45257700001821,113.52335719997063,,,,,,,,,,,,,,,,,16,001,2024-09-10_10h33.36.515,robot_cogshifting_sign,2022.2.5,59.86324838550586,
"['blue_bottom_V_0', 'red_bottom_T_45', 'blue_left_N_45', 'blue_bottom_B_45']","{'color': 'red_bottom_T_45', 'position': 'blue_left_N_45', 'orientation': 'blue_bottom_V_0'}",position,"['color', 'position']",blue_left_N_45,2,2,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,16,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,124.51160710025579,124.51160710025579,None,,124.51160710025579,125.51358840009198,134.2809851001948,136.3181926002726,136.3181926002726,136.3181926002726,136.3181926002726,3,3.6885513002052903,140.0589216002263,146.90572779998183,140.0589216002263,146.90572779998183,140.0589216002263,146.90572779998183,140.0589216002263,146.90572779998183,37.22222222222223,6.255264100152999,space,124.51160710025579,124.51160710025579,125.51358840009198,127.58429720019922,6.794933500234038,,,,,,,,,,,,,,,,16,001,2024-09-10_10h33.36.515,robot_cogshifting_sign,2022.2.5,59.86324838550586,
"['blue_right_L_0', 'blue_right_G_45', 'red_right_J_45', 'blue_top_P_45']","{'color': 'red_right_J_45', 'position': 'blue_top_P_45', 'orientation': 'blue_right_L_0'}",orientation,"['color', 'orientation', 'position']",blue_right_L_0,0,3,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,16,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,146.90572779998183,146.90572779998183,space,0.9404631997458637,147.87427069991827,148.87623280007392,157.44335030019283,159.66409250022843,159.66409250022843,159.66409250022843,159.66409250022843,1,4.9981656996533275,164.69067759998143,164.69067759998143,164.69067759998143,164.69067759998143,164.69067759998143,164.69067759998143,164.69067759998143,164.69067759998143,None,None,None,,,,,,,,,,,,,,,,,,,,,16,001,2024-09-10_10h33.36.515,robot_cogshifting_sign,2022.2.5,59.86324838550586,
"['blue_right_K_0', 'blue_top_C_45', 'blue_top_F_0', 'red_top_W_0']","{'color': 'red_top_W_0', 'position': 'blue_right_K_0', 'orientation': 'blue_top_C_45'}",position,"['color', 'orientation', 'position']",blue_right_K_0,0,3,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,16,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,164.69067759998143,164.69067759998143,None,,164.69067759998143,165.6927122999914,174.44402100006118,176.4638721998781,176.4638721998781,176.4638721998781,176.4638721998781,1,2.5580951999872923,179.05227790027857,179.05227790027857,179.05227790027857,179.05227790027857,179.05227790027857,179.05227790027857,179.05227790027857,179.05227790027857,None,None,None,164.69067759998143,164.69067759998143,165.6927122999914,167.76341899996623,,,,,,,,,,,,,,,,,16,001,2024-09-10_10h33.36.515,robot_cogshifting_sign,2022.2.5,59.86324838550586,
