sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject
"['red_right_D_45', 'red_bottom_N_0', 'blue_bottom_M_45', 'red_bottom_F_45']","{'color': 'blue_bottom_M_45', 'position': 'red_right_D_45', 'orientation': 'red_bottom_N_0'}",color,['color'],blue_bottom_M_45,2,1,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,16
"['red_right_L_45', 'red_bottom_Q_45', 'red_right_W_0', 'blue_right_J_45']","{'color': 'blue_right_J_45', 'position': 'red_bottom_Q_45', 'orientation': 'red_right_W_0'}",position,['position'],red_bottom_Q_45,1,1,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,16
"['red_left_P_0', 'red_top_N_0', 'red_top_Q_45', 'blue_top_M_0']","{'color': 'blue_top_M_0', 'position': 'red_left_P_0', 'orientation': 'red_top_Q_45'}",orientation,['orientation'],red_top_Q_45,2,1,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,16
"['red_top_J_0', 'red_right_K_45', 'red_right_Q_0', 'blue_right_F_0']","{'color': 'blue_right_F_0', 'position': 'red_top_J_0', 'orientation': 'red_right_K_45'}",orientation,"['color', 'orientation']",red_right_K_45,1,2,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,16
"['red_bottom_N_0', 'red_right_T_45', 'red_right_V_0', 'blue_right_J_0']","{'color': 'blue_right_J_0', 'position': 'red_bottom_N_0', 'orientation': 'red_right_T_45'}",color,"['color', 'orientation']",blue_right_J_0,3,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,16
"['blue_bottom_V_0', 'red_bottom_T_45', 'blue_left_N_45', 'blue_bottom_B_45']","{'color': 'red_bottom_T_45', 'position': 'blue_left_N_45', 'orientation': 'blue_bottom_V_0'}",position,"['color', 'position']",blue_left_N_45,2,2,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,16
"['blue_right_L_0', 'blue_right_G_45', 'red_right_J_45', 'blue_top_P_45']","{'color': 'red_right_J_45', 'position': 'blue_top_P_45', 'orientation': 'blue_right_L_0'}",orientation,"['color', 'orientation', 'position']",blue_right_L_0,0,3,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,16
"['blue_right_K_0', 'blue_top_C_45', 'blue_top_F_0', 'red_top_W_0']","{'color': 'red_top_W_0', 'position': 'blue_right_K_0', 'orientation': 'blue_top_C_45'}",position,"['color', 'orientation', 'position']",blue_right_K_0,0,3,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,16
"['red_bottom_H_45', 'blue_bottom_V_0', 'blue_top_T_45', 'blue_bottom_J_45']","{'color': 'red_bottom_H_45', 'position': 'blue_top_T_45', 'orientation': 'blue_bottom_V_0'}",color,"['color', 'orientation', 'position']",red_bottom_H_45,0,3,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,16
"['L_Arm_Y_Back', 'L_Arm_X_Back', 'L_Head_X_Back', 'R_Arm_X_For']","{'laterality': 'R_Arm_X_For', 'localisation': 'L_Head_X_Back', 'movement': 'L_Arm_Y_Back'}",movement,['movement'],L_Arm_Y_Back,0,1,robot,2,True,False,"['robot_stimuli\\L_Arm_Y_Back.mp4', 'robot_stimuli\\L_Arm_X_Back.mp4', 'robot_stimuli\\L_Head_X_Back.mp4', 'robot_stimuli\\R_Arm_X_For.mp4']",robot_stimuli\L_Arm_Y_Back.mp4,16
"['R_Head_Y_Back', 'R_Head_X_Back', 'R_Torso_Y_For', 'L_Head_Y_For']","{'laterality': 'L_Head_Y_For', 'localisation': 'R_Torso_Y_For', 'movement': 'R_Head_X_Back'}",localisation,['localisation'],R_Torso_Y_For,2,1,robot,2,False,False,"['robot_stimuli\\R_Head_Y_Back.mp4', 'robot_stimuli\\R_Head_X_Back.mp4', 'robot_stimuli\\R_Torso_Y_For.mp4', 'robot_stimuli\\L_Head_Y_For.mp4']",robot_stimuli\R_Torso_Y_For.mp4,16
"['L_Torso_Z_For', 'L_Head_Z_For', 'L_Head_Y_Back', 'R_Head_Z_For']","{'laterality': 'R_Head_Z_For', 'localisation': 'L_Torso_Z_For', 'movement': 'L_Head_Y_Back'}",laterality,['laterality'],R_Head_Z_For,3,1,robot,2,False,True,"['robot_stimuli\\L_Torso_Z_For.mp4', 'robot_stimuli\\L_Head_Z_For.mp4', 'robot_stimuli\\L_Head_Y_Back.mp4', 'robot_stimuli\\R_Head_Z_For.mp4']",robot_stimuli\R_Head_Z_For.mp4,16
"['L_Base_Z_For', 'R_Head_Z_Back', 'R_Base_X_For', 'R_Base_Z_Back']","{'laterality': 'L_Base_Z_For', 'localisation': 'R_Head_Z_Back', 'movement': 'R_Base_X_For'}",movement,"['localisation', 'movement']",R_Base_X_For,2,2,robot,2,True,False,"['robot_stimuli\\L_Base_Z_For.mp4', 'robot_stimuli\\R_Head_Z_Back.mp4', 'robot_stimuli\\R_Base_X_For.mp4', 'robot_stimuli\\R_Base_Z_Back.mp4']",robot_stimuli\R_Base_X_For.mp4,16
"['L_Torso_Y_Back', 'L_Arm_Y_Back', 'R_Arm_Y_For', 'L_Arm_X_Back']","{'laterality': 'R_Arm_Y_For', 'localisation': 'L_Torso_Y_Back', 'movement': 'L_Arm_X_Back'}",laterality,"['laterality', 'movement']",R_Arm_Y_For,2,2,robot,2,False,False,"['robot_stimuli\\L_Torso_Y_Back.mp4', 'robot_stimuli\\L_Arm_Y_Back.mp4', 'robot_stimuli\\R_Arm_Y_For.mp4', 'robot_stimuli\\L_Arm_X_Back.mp4']",robot_stimuli\R_Arm_Y_For.mp4,16
"['R_Base_Z_For', 'R_Head_Y_Back', 'L_Base_Y_For', 'R_Base_Y_Back']","{'laterality': 'L_Base_Y_For', 'localisation': 'R_Head_Y_Back', 'movement': 'R_Base_Z_For'}",localisation,"['localisation', 'movement']",R_Head_Y_Back,1,2,robot,2,False,True,"['robot_stimuli\\R_Base_Z_For.mp4', 'robot_stimuli\\R_Head_Y_Back.mp4', 'robot_stimuli\\L_Base_Y_For.mp4', 'robot_stimuli\\R_Base_Y_Back.mp4']",robot_stimuli\R_Head_Y_Back.mp4,16
