sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,polygon.stopped,cue_before_text.started,cue_before_text.stopped,training_presentation_letter.started,training_presentation_letter.stopped,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,RSME_key.rt,training_presentation_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_movie.started,block_intro_text.stopped,block_intro_key.stopped,presentation_letter.started,presentation_letter.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.926420500000006,11.926420500000006,f,1.4212359999999933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2024-07-17_09h56.25.979,robot_cogshifting_sign,2022.2.5,59.97339580162343,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.404502999999991,13.404502999999991,space,180.2298368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2024-07-17_09h56.25.979,robot_cogshifting_sign,2022.2.5,59.97339580162343,
"['red_right_W_45', 'red_left_M_0', 'red_left_N_45', 'blue_left_W_45']","{'color': 'blue_left_W_45', 'position': 'red_right_W_45', 'orientation': 'red_left_M_0'}",position,['position'],red_right_W_45,0,1,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,5,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,193.69398290000004,193.69398290000004,space,11.381255599999989,205.09945200000004,206.09894460000004,206.09894460000004,208.4285339,215.13079390000001,217.1674003,217.1674003,217.1674003,217.1674003,1,0.0672225999999938,217.38325360000005,217.38325360000005,217.38325360000005,217.38325360000005,217.38325360000005,217.38325360000005,217.38325360000005,217.38325360000005,None,None,None,,,,,,,,,,,,,,,,,,,5,001,2024-07-17_09h56.25.979,robot_cogshifting_sign,2022.2.5,59.97339580162343,
"['blue_bottom_S_45', 'red_bottom_F_0', 'blue_top_G_0', 'blue_bottom_V_0']","{'color': 'red_bottom_F_0', 'position': 'blue_top_G_0', 'orientation': 'blue_bottom_S_45'}",color,['color'],red_bottom_F_0,1,1,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,5,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,217.38325360000005,217.38325360000005,None,,217.38325360000005,218.3821962,218.3821962,220.4538753,227.17986340000004,229.2022973,229.2022973,229.2022973,229.2022973,2,5.721556999999976,234.94911960000002,234.94911960000002,234.94911960000002,234.94911960000002,234.94911960000002,234.94911960000002,234.94911960000002,234.94911960000002,None,None,None,217.38325360000005,217.38325360000005,,,,,,,,,,,,,,,,,5,001,2024-07-17_09h56.25.979,robot_cogshifting_sign,2022.2.5,59.97339580162343,
"['blue_right_B_0', 'blue_right_D_45', 'blue_top_D_45', 'red_right_C_45']","{'color': 'red_right_C_45', 'position': 'blue_top_D_45', 'orientation': 'blue_right_B_0'}",orientation,['orientation'],blue_right_B_0,0,1,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,5,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,234.94911960000002,234.94911960000002,None,,234.94911960000002,235.9490637,235.9490637,238.02049720000002,244.94380010000003,246.95967790000003,246.95967790000003,246.95967790000003,246.95967790000003,1,0.27432480000000226,247.3228198,256.0457354,247.3228198,256.0457354,247.3228198,256.0457354,247.3228198,256.0457354,26.60493827160494,7.364796200000001,space,234.94911960000002,234.94911960000002,8.655025599999945,,,,,,,,,,,,,,,,5,001,2024-07-17_09h56.25.979,robot_cogshifting_sign,2022.2.5,59.97339580162343,
"['blue_right_H_0', 'blue_bottom_R_45', 'blue_bottom_K_0', 'red_bottom_R_0']","{'color': 'red_bottom_R_0', 'position': 'blue_right_H_0', 'orientation': 'blue_bottom_R_45'}",position,"['color', 'position']",blue_right_H_0,0,2,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,5,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,256.0457354,256.0457354,space,9.037776499999964,265.11539020000004,266.11529970000004,266.11529970000004,268.1951229,274.93354600000004,277.1750662,277.1750662,277.1750662,277.1750662,1,2.155778300000023,279.34861370000004,279.34861370000004,279.34861370000004,279.34861370000004,279.34861370000004,279.34861370000004,279.34861370000004,279.34861370000004,None,None,None,,,,,,,,,,,,,,,,,,,5,001,2024-07-17_09h56.25.979,robot_cogshifting_sign,2022.2.5,59.97339580162343,
"['blue_top_Q_0', 'blue_top_M_45', 'blue_left_R_45', 'red_top_B_45']","{'color': 'red_top_B_45', 'position': 'blue_left_R_45', 'orientation': 'blue_top_Q_0'}",orientation,"['color', 'orientation']",blue_top_Q_0,0,2,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,5,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,279.34861370000004,279.34861370000004,None,,279.34861370000004,280.3489473,280.3489473,282.4225526,289.3203294,291.542555,291.542555,291.542555,291.542555,1,2.5080132000000077,294.0822787,294.0822787,294.0822787,294.0822787,294.0822787,294.0822787,294.0822787,294.0822787,None,None,None,279.34861370000004,279.34861370000004,,,,,,,,,,,,,,,,,5,001,2024-07-17_09h56.25.979,robot_cogshifting_sign,2022.2.5,59.97339580162343,
"['red_left_J_45', 'red_bottom_D_0', 'red_left_S_0', 'blue_left_F_0']","{'color': 'blue_left_F_0', 'position': 'red_bottom_D_0', 'orientation': 'red_left_J_45'}",color,"['color', 'position']",blue_left_F_0,3,2,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,5,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,294.0822787,294.0822787,None,,294.0822787,295.08254370000003,295.08254370000003,297.14947540000003,303.8536948,306.0702273,306.0702273,306.0702273,306.0702273,4,1.9009065999999422,308.0251518,313.84793990000003,308.0251518,313.84793990000003,308.0251518,313.84793990000003,308.0251518,313.84793990000003,50.67901234567901,4.848025000000007,space,294.0822787,294.0822787,5.752783900000011,,,,,,,,,,,,,,,,5,001,2024-07-17_09h56.25.979,robot_cogshifting_sign,2022.2.5,59.97339580162343,
"['blue_left_K_0', 'blue_left_L_45', 'red_left_R_45', 'blue_right_H_45']","{'color': 'red_left_R_45', 'position': 'blue_right_H_45', 'orientation': 'blue_left_K_0'}",color,"['color', 'orientation', 'position']",red_left_R_45,2,3,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,5,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,313.84793990000003,313.84793990000003,space,2.0028983999999497,315.882309,316.88239580000004,316.88239580000004,318.951732,325.4687845,327.6878004,327.6878004,327.6878004,327.6878004,3,4.186751700000016,331.8988534,331.8988534,331.8988534,331.8988534,331.8988534,331.8988534,331.8988534,331.8988534,None,None,None,,,,,,,,,,,,,,,,,,,5,001,2024-07-17_09h56.25.979,robot_cogshifting_sign,2022.2.5,59.97339580162343,
"['red_bottom_S_0', 'blue_bottom_Q_45', 'blue_bottom_W_0', 'blue_top_N_0']","{'color': 'red_bottom_S_0', 'position': 'blue_top_N_0', 'orientation': 'blue_bottom_Q_45'}",position,"['color', 'orientation', 'position']",blue_top_N_0,3,3,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,5,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,331.8988534,331.8988534,None,,331.8988534,332.8990483,332.8990483,334.96833760000004,341.46061230000004,343.6724305,343.6724305,343.6724305,343.6724305,4,4.354909899999953,348.04877680000004,348.04877680000004,348.04877680000004,348.04877680000004,348.04877680000004,348.04877680000004,348.04877680000004,348.04877680000004,None,None,None,331.8988534,331.8988534,,,,,,,,,,,,,,,,,5,001,2024-07-17_09h56.25.979,robot_cogshifting_sign,2022.2.5,59.97339580162343,
