sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject
"['red_bottom_T_45', 'blue_left_F_45', 'red_left_X_45', 'red_left_X_0']","{'color': 'blue_left_F_45', 'position': 'red_bottom_T_45', 'orientation': 'red_left_X_0'}",color,['color'],blue_left_F_45,1,1,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,1
"['blue_bottom_X_45', 'red_bottom_R_45', 'blue_bottom_P_0', 'blue_top_D_45']","{'color': 'red_bottom_R_45', 'position': 'blue_top_D_45', 'orientation': 'blue_bottom_P_0'}",position,['position'],blue_top_D_45,3,1,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,1
"['red_right_C_45', 'blue_right_R_0', 'red_top_Q_0', 'red_right_D_0']","{'color': 'blue_right_R_0', 'position': 'red_top_Q_0', 'orientation': 'red_right_C_45'}",orientation,['orientation'],red_right_C_45,0,1,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,1
"['blue_right_V_0', 'red_right_B_45', 'blue_right_T_45', 'blue_top_L_45']","{'color': 'red_right_B_45', 'position': 'blue_top_L_45', 'orientation': 'blue_right_V_0'}",color,"['color', 'position']",red_right_B_45,1,2,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,1
"['red_top_F_0', 'blue_top_Z_0', 'blue_top_Z_45', 'blue_left_Q_0']","{'color': 'red_top_F_0', 'position': 'blue_left_Q_0', 'orientation': 'blue_top_Z_45'}",position,"['color', 'position']",blue_left_Q_0,3,2,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,1
"['blue_top_L_45', 'red_left_T_45', 'blue_left_Z_45', 'blue_left_N_0']","{'color': 'red_left_T_45', 'position': 'blue_top_L_45', 'orientation': 'blue_left_N_0'}",orientation,"['color', 'orientation']",blue_left_N_0,3,2,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,1
"['red_bottom_X_0', 'blue_bottom_G_45', 'red_left_L_45', 'red_bottom_X_45']","{'color': 'blue_bottom_G_45', 'position': 'red_left_L_45', 'orientation': 'red_bottom_X_0'}",color,"['color', 'orientation', 'position']",blue_bottom_G_45,1,3,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,1
"['red_left_Q_45', 'blue_left_W_0', 'red_top_X_0', 'red_left_R_0']","{'color': 'blue_left_W_0', 'position': 'red_top_X_0', 'orientation': 'red_left_Q_45'}",position,"['color', 'orientation', 'position']",red_top_X_0,2,3,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,1
"['red_bottom_W_45', 'blue_top_T_45', 'blue_bottom_Z_0', 'blue_bottom_C_45']","{'color': 'red_bottom_W_45', 'position': 'blue_top_T_45', 'orientation': 'blue_bottom_Z_0'}",orientation,"['color', 'orientation', 'position']",blue_bottom_Z_0,2,3,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,1
"['R_Head_X_For', 'L_Head_X_For', 'L_Base_X_For', 'L_Head_Y_Back']","{'laterality': 'R_Head_X_For', 'localisation': 'L_Base_X_For', 'movement': 'L_Head_Y_Back'}",localisation,['localisation'],L_Base_X_For,2,1,robot,1,True,False,"['robot_stimuli\\R_Head_X_For.mp4', 'robot_stimuli\\L_Head_X_For.mp4', 'robot_stimuli\\L_Base_X_For.mp4', 'robot_stimuli\\L_Head_Y_Back.mp4']",robot_stimuli\L_Base_X_For.mp4,1
