sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,polygon.stopped,cue_before_text.started,cue_before_text.stopped,training_presentation_letter.started,training_presentation_letter.stopped,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,RSME_key.rt,training_presentation_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_movie.started,block_intro_text.stopped,block_intro_key.stopped,presentation_letter.started,presentation_letter.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.737197500000008,19.737197500000008,f,23.347105200000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-02_10h05.01.207,robot_cogshifting_sign,2022.2.5,59.963218561736426,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.1468572,43.1468572,space,45.344504900000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-02_10h05.01.207,robot_cogshifting_sign,2022.2.5,59.963218561736426,
"['red_bottom_T_45', 'blue_left_F_45', 'red_left_X_45', 'red_left_X_0']","{'color': 'blue_left_F_45', 'position': 'red_bottom_T_45', 'orientation': 'red_left_X_0'}",color,['color'],blue_left_F_45,1,1,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,88.52423920000001,88.52423920000001,space,2.295350100000036,90.84103859999999,91.8407785,91.8407785,94.30873730000002,100.8209483,102.85875909999999,102.85875909999999,102.85875909999999,102.85875909999999,2,7.7202408000000275,110.66662059999999,110.66662059999999,110.66662059999999,110.66662059999999,110.66662059999999,110.66662059999999,110.66662059999999,110.66662059999999,None,None,None,,,,,,,,,,,,,,,,,,,1,001,2024-07-02_10h05.01.207,robot_cogshifting_sign,2022.2.5,59.963218561736426,
"['blue_bottom_X_45', 'red_bottom_R_45', 'blue_bottom_P_0', 'blue_top_D_45']","{'color': 'red_bottom_R_45', 'position': 'blue_top_D_45', 'orientation': 'blue_bottom_P_0'}",position,['position'],blue_top_D_45,3,1,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,1,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,110.66662059999999,110.66662059999999,None,,110.66662059999999,,111.674871,,120.25278370000001,122.27292440000002,122.27292440000002,122.27292440000002,122.27292440000002,4,1.5631597000000568,123.85789360000001,123.85789360000001,123.85789360000001,123.85789360000001,123.85789360000001,123.85789360000001,123.85789360000001,123.85789360000001,None,None,None,110.66662059999999,110.66662059999999,,,,,,,,,,,,,,,,,1,001,2024-07-02_10h05.01.207,robot_cogshifting_sign,2022.2.5,59.963218561736426,
"['red_right_C_45', 'blue_right_R_0', 'red_top_Q_0', 'red_right_D_0']","{'color': 'blue_right_R_0', 'position': 'red_top_Q_0', 'orientation': 'red_right_C_45'}",orientation,['orientation'],red_right_C_45,0,1,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,1,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,123.85789360000001,123.85789360000001,None,,123.85789360000001,124.85789490000002,124.85789490000002,126.93479289999999,133.84493750000001,136.0701502,136.0701502,136.0701502,136.0701502,1,2.9182871999999804,139.06298979999997,161.8593793,139.06298979999997,161.8593793,139.06298979999997,161.8593793,139.06298979999997,161.8593793,14.722222222222223,20.375140499999986,space,123.85789360000001,123.85789360000001,22.723730200000006,,,,,,,,,,,,,,,,1,001,2024-07-02_10h05.01.207,robot_cogshifting_sign,2022.2.5,59.963218561736426,
"['blue_right_V_0', 'red_right_B_45', 'blue_right_T_45', 'blue_top_L_45']","{'color': 'red_right_B_45', 'position': 'blue_top_L_45', 'orientation': 'blue_right_V_0'}",color,"['color', 'position']",red_right_B_45,1,2,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,1,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,161.8593793,161.8593793,space,4.361024500000013,166.24135990000002,167.24133589999997,167.24133589999997,169.31538039999998,175.8279743,178.06484740000002,178.06484740000002,178.06484740000002,178.06484740000002,2,5.467257200000034,183.5580825,183.5580825,183.5580825,183.5580825,183.5580825,183.5580825,183.5580825,183.5580825,None,None,None,,,,,,,,,,,,,,,,,,,1,001,2024-07-02_10h05.01.207,robot_cogshifting_sign,2022.2.5,59.963218561736426,
"['red_top_F_0', 'blue_top_Z_0', 'blue_top_Z_45', 'blue_left_Q_0']","{'color': 'red_top_F_0', 'position': 'blue_left_Q_0', 'orientation': 'blue_top_Z_45'}",position,"['color', 'position']",blue_left_Q_0,3,2,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,1,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,183.5580825,183.5580825,None,,183.5580825,184.55816090000002,184.55816090000002,186.6307192,193.13196139999997,195.3523005,195.3523005,195.3523005,195.3523005,4,3.8518373999999937,199.22466880000002,199.22466880000002,199.22466880000002,199.22466880000002,199.22466880000002,199.22466880000002,199.22466880000002,199.22466880000002,None,None,None,183.5580825,183.5580825,,,,,,,,,,,,,,,,,1,001,2024-07-02_10h05.01.207,robot_cogshifting_sign,2022.2.5,59.963218561736426,
"['blue_top_L_45', 'red_left_T_45', 'blue_left_Z_45', 'blue_left_N_0']","{'color': 'red_left_T_45', 'position': 'blue_top_L_45', 'orientation': 'blue_left_N_0'}",orientation,"['color', 'orientation']",blue_left_N_0,3,2,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,1,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,199.22466880000002,199.22466880000002,None,,199.22466880000002,200.22456119999998,200.22456119999998,202.2956304,209.0081722,211.02927139999997,211.02927139999997,211.02927139999997,211.02927139999997,4,4.183166100000022,215.2667257,222.74130889999998,215.2667257,222.74130889999998,215.2667257,222.74130889999998,215.2667257,222.74130889999998,24.598765432098762,5.890298099999995,space,199.22466880000002,199.22466880000002,7.401799900000043,,,,,,,,,,,,,,,,1,001,2024-07-02_10h05.01.207,robot_cogshifting_sign,2022.2.5,59.963218561736426,
"['red_bottom_X_0', 'blue_bottom_G_45', 'red_left_L_45', 'red_bottom_X_45']","{'color': 'blue_bottom_G_45', 'position': 'red_left_L_45', 'orientation': 'red_bottom_X_0'}",color,"['color', 'orientation', 'position']",blue_bottom_G_45,1,3,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,1,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,222.74130889999998,222.74130889999998,space,2.8136061999999527,225.5746663,226.5749406,226.5749406,228.64454919999997,235.35196259999998,237.56458650000002,237.56458650000002,237.56458650000002,237.56458650000002,2,2.82400080000005,240.40818760000002,240.40818760000002,240.40818760000002,240.40818760000002,240.40818760000002,240.40818760000002,240.40818760000002,240.40818760000002,None,None,None,,,,,,,,,,,,,,,,,,,1,001,2024-07-02_10h05.01.207,robot_cogshifting_sign,2022.2.5,59.963218561736426,
"['red_left_Q_45', 'blue_left_W_0', 'red_top_X_0', 'red_left_R_0']","{'color': 'blue_left_W_0', 'position': 'red_top_X_0', 'orientation': 'red_left_Q_45'}",position,"['color', 'orientation', 'position']",red_top_X_0,2,3,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,1,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,240.40818760000002,240.40818760000002,None,,240.40818760000002,241.40818430000002,241.40818430000002,243.4739535,249.96975779999997,251.9914126,251.9914126,251.9914126,251.9914126,3,3.636695900000035,255.6579167,255.6579167,255.6579167,255.6579167,255.6579167,255.6579167,255.6579167,255.6579167,None,None,None,240.40818760000002,240.40818760000002,,,,,,,,,,,,,,,,,1,001,2024-07-02_10h05.01.207,robot_cogshifting_sign,2022.2.5,59.963218561736426,
