sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject
"['blue_left_R_45', 'blue_top_D_45', 'blue_top_Q_0', 'red_top_G_45']","{'color': 'red_top_G_45', 'position': 'blue_left_R_45', 'orientation': 'blue_top_Q_0'}",color,['color'],red_top_G_45,3,1,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,6
"['blue_right_L_45', 'blue_top_H_45', 'red_top_R_45', 'blue_top_X_0']","{'color': 'red_top_R_45', 'position': 'blue_right_L_45', 'orientation': 'blue_top_X_0'}",orientation,['orientation'],blue_top_X_0,3,1,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,6
"['blue_right_D_0', 'red_left_C_0', 'blue_left_P_45', 'blue_left_C_0']","{'color': 'red_left_C_0', 'position': 'blue_right_D_0', 'orientation': 'blue_left_P_45'}",position,['position'],blue_right_D_0,0,1,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,6
"['red_bottom_J_45', 'blue_right_V_45', 'red_right_M_45', 'red_right_Q_0']","{'color': 'blue_right_V_45', 'position': 'red_bottom_J_45', 'orientation': 'red_right_Q_0'}",position,"['color', 'position']",red_bottom_J_45,0,2,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,6
"['blue_bottom_X_0', 'red_bottom_S_45', 'red_bottom_X_0', 'red_left_X_0']","{'color': 'blue_bottom_X_0', 'position': 'red_left_X_0', 'orientation': 'red_bottom_S_45'}",color,"['color', 'orientation']",blue_bottom_X_0,0,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,6
"['blue_top_G_45', 'blue_left_P_45', 'blue_left_X_0', 'red_left_X_45']","{'color': 'red_left_X_45', 'position': 'blue_top_G_45', 'orientation': 'blue_left_X_0'}",orientation,"['orientation', 'position']",blue_left_X_0,2,2,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,6
"['blue_bottom_P_0', 'blue_left_V_0', 'blue_bottom_S_45', 'red_bottom_P_0']","{'color': 'red_bottom_P_0', 'position': 'blue_left_V_0', 'orientation': 'blue_bottom_S_45'}",position,"['color', 'orientation', 'position']",blue_left_V_0,1,3,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,6
"['red_right_D_45', 'blue_right_D_0', 'red_bottom_G_0', 'red_right_Z_0']","{'color': 'blue_right_D_0', 'position': 'red_bottom_G_0', 'orientation': 'red_right_D_45'}",color,"['color', 'orientation', 'position']",blue_right_D_0,1,3,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,6
"['blue_right_P_45', 'red_right_C_45', 'red_right_T_0', 'red_bottom_S_45']","{'color': 'blue_right_P_45', 'position': 'red_bottom_S_45', 'orientation': 'red_right_T_0'}",orientation,"['color', 'orientation', 'position']",red_right_T_0,2,3,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,6
"['R_Head_Z_For', 'L_Head_X_For', 'L_Torso_Z_For', 'L_Head_Z_For']","{'laterality': 'R_Head_Z_For', 'localisation': 'L_Torso_Z_For', 'movement': 'L_Head_X_For'}",localisation,['localisation'],L_Torso_Z_For,2,1,robot,2,True,False,"['robot_stimuli\\R_Head_Z_For.mp4', 'robot_stimuli\\L_Head_X_For.mp4', 'robot_stimuli\\L_Torso_Z_For.mp4', 'robot_stimuli\\L_Head_Z_For.mp4']",robot_stimuli\L_Torso_Z_For.mp4,6
