sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,polygon.stopped,cue_before_text.started,cue_before_text.stopped,training_presentation_letter.started,training_presentation_letter.stopped,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,RSME_key.rt,training_presentation_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_letter.started,presentation_letter.stopped,block_intro_text.stopped,block_intro_key.stopped,presentation_movie.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.69006909999996,12.69006909999996,f,0.7996025999999574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2024-07-23_09h02.49.305,robot_cogshifting_sign,2022.2.5,59.94186837604167,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.55053190000001,13.55053190000001,space,97.86777210000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2024-07-23_09h02.49.305,robot_cogshifting_sign,2022.2.5,59.94186837604167,
"['blue_left_R_45', 'blue_top_D_45', 'blue_top_Q_0', 'red_top_G_45']","{'color': 'red_top_G_45', 'position': 'blue_left_R_45', 'orientation': 'blue_top_Q_0'}",color,['color'],red_top_G_45,3,1,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,6,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,111.46526930000005,111.46526930000005,space,4.887217400000054,116.37935200000004,117.37929480000003,117.37929480000003,119.85554920000004,126.36094249999996,128.3967715,128.3967715,128.3967715,128.3967715,4,23.54817890000004,152.0741494,152.0741494,152.0741494,152.0741494,152.0741494,152.0741494,152.0741494,152.0741494,None,None,None,,,,,,,,,,,,,,,,,,,6,001,2024-07-23_09h02.49.305,robot_cogshifting_sign,2022.2.5,59.94186837604167,
"['blue_right_L_45', 'blue_top_H_45', 'red_top_R_45', 'blue_top_X_0']","{'color': 'red_top_R_45', 'position': 'blue_right_L_45', 'orientation': 'blue_top_X_0'}",orientation,['orientation'],blue_top_X_0,3,1,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,6,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,152.0741494,152.0741494,None,,152.0741494,,153.0791196,,161.48351209999998,163.70324330000005,163.70324330000005,163.70324330000005,163.70324330000005,4,2.713954199999989,166.4460967,166.4460967,166.4460967,166.4460967,166.4460967,166.4460967,166.4460967,166.4460967,None,None,None,152.0741494,152.0741494,,,,,,,,,,,,,,,,,6,001,2024-07-23_09h02.49.305,robot_cogshifting_sign,2022.2.5,59.94186837604167,
"['blue_right_D_0', 'red_left_C_0', 'blue_left_P_45', 'blue_left_C_0']","{'color': 'red_left_C_0', 'position': 'blue_right_D_0', 'orientation': 'blue_left_P_45'}",position,['position'],blue_right_D_0,0,1,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,6,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,166.4460967,166.4460967,None,,166.4460967,167.44590619999997,167.44590619999997,169.52747969999996,176.20982760000004,178.2376544,178.2376544,178.2376544,178.2376544,1,1.4040858999999273,179.7191305,185.85178110000004,179.7191305,185.85178110000004,179.7191305,185.85178110000004,179.7191305,185.85178110000004,4.537037037037034,4.1172632999999905,space,166.4460967,166.4460967,6.073338300000046,,,,,,,,,,,,,,,,6,001,2024-07-23_09h02.49.305,robot_cogshifting_sign,2022.2.5,59.94186837604167,
"['red_bottom_J_45', 'blue_right_V_45', 'red_right_M_45', 'red_right_Q_0']","{'color': 'blue_right_V_45', 'position': 'red_bottom_J_45', 'orientation': 'red_right_Q_0'}",position,"['color', 'position']",red_bottom_J_45,0,2,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,6,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,185.85178110000004,185.85178110000004,space,2.2687067000000525,188.14617520000002,189.14627140000005,189.14627140000005,191.21514639999998,197.90362649999997,200.1217428,200.1217428,200.1217428,200.1217428,1,4.8400857000000315,204.97938020000004,204.97938020000004,204.97938020000004,204.97938020000004,204.97938020000004,204.97938020000004,204.97938020000004,204.97938020000004,None,None,None,,,,,,,,,,,,,,,,,,,6,001,2024-07-23_09h02.49.305,robot_cogshifting_sign,2022.2.5,59.94186837604167,
"['blue_bottom_X_0', 'red_bottom_S_45', 'red_bottom_X_0', 'red_left_X_0']","{'color': 'blue_bottom_X_0', 'position': 'red_left_X_0', 'orientation': 'red_bottom_S_45'}",color,"['color', 'orientation']",blue_bottom_X_0,0,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,6,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,204.97938020000004,204.97938020000004,None,,204.97938020000004,205.98108590000004,205.98108590000004,,214.76070700000002,216.79287,216.79287,216.79287,216.79287,2,3.8488333999999895,220.66291890000002,220.66291890000002,220.66291890000002,220.66291890000002,220.66291890000002,220.66291890000002,220.66291890000002,220.66291890000002,None,None,None,204.97938020000004,204.97938020000004,,,,,,,,,,,,,,,,,6,001,2024-07-23_09h02.49.305,robot_cogshifting_sign,2022.2.5,59.94186837604167,
"['blue_top_G_45', 'blue_left_P_45', 'blue_left_X_0', 'red_left_X_45']","{'color': 'red_left_X_45', 'position': 'blue_top_G_45', 'orientation': 'blue_left_X_0'}",orientation,"['orientation', 'position']",blue_left_X_0,2,2,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,6,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,220.66291890000002,220.66291890000002,None,,220.66291890000002,221.6629679,221.6629679,223.73378690000004,230.62978780000003,232.65407900000002,232.65407900000002,232.65407900000002,232.65407900000002,1,5.394853699999999,238.11523190000003,244.12723589999996,238.11523190000003,244.12723589999996,238.11523190000003,244.12723589999996,238.11523190000003,244.12723589999996,17.03703703703703,4.683338899999967,space,220.66291890000002,220.66291890000002,5.965418,,,,,,,,,,,,,,,,6,001,2024-07-23_09h02.49.305,robot_cogshifting_sign,2022.2.5,59.94186837604167,
"['blue_bottom_P_0', 'blue_left_V_0', 'blue_bottom_S_45', 'red_bottom_P_0']","{'color': 'red_bottom_P_0', 'position': 'blue_left_V_0', 'orientation': 'blue_bottom_S_45'}",position,"['color', 'orientation', 'position']",blue_left_V_0,1,3,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,6,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,244.12723589999996,244.12723589999996,space,3.4422680000000128,247.59622920000004,248.59631119999995,248.59631119999995,250.661429,256.95788689999995,258.9830322,258.9830322,258.9830322,258.9830322,2,3.538656099999912,262.54629049999994,262.54629049999994,262.54629049999994,262.54629049999994,262.54629049999994,262.54629049999994,262.54629049999994,262.54629049999994,None,None,None,,,,,,,,,,,,,,,,,,,6,001,2024-07-23_09h02.49.305,robot_cogshifting_sign,2022.2.5,59.94186837604167,
"['red_right_D_45', 'blue_right_D_0', 'red_bottom_G_0', 'red_right_Z_0']","{'color': 'blue_right_D_0', 'position': 'red_bottom_G_0', 'orientation': 'red_right_D_45'}",color,"['color', 'orientation', 'position']",blue_right_D_0,1,3,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,6,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,262.54629049999994,262.54629049999994,None,,262.54629049999994,263.54660119999994,263.54660119999994,265.617705,272.31165480000004,274.33032349999996,274.33032349999996,274.33032349999996,274.33032349999996,2,4.431462399999987,278.77943619999996,278.77943619999996,278.77943619999996,278.77943619999996,278.77943619999996,278.77943619999996,278.77943619999996,278.77943619999996,None,None,None,262.54629049999994,262.54629049999994,,,,,,,,,,,,,,,,,6,001,2024-07-23_09h02.49.305,robot_cogshifting_sign,2022.2.5,59.94186837604167,
