sequence,is_target,condition,stimuli,block,is_block_beginning,is_block_ending,fname,subject
G,False,3,letter,1,True,False,robot_stimuli\\filler.mp4,9
N,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
X,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
T,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
N,True,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
X,True,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
Z,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
N,True,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
C,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
V,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
Q,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
G,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
X,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
Q,True,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
M,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
V,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
S,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
S,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
J,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
H,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
D,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
F,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
V,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
Q,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
Z,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
T,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
Q,True,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
L,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
R,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
T,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
C,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
R,True,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
T,True,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
X,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
J,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
L,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
P,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
J,True,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
G,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
P,True,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
Q,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
T,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
N,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
H,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
T,True,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
V,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
P,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
D,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
R,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,9
G,False,3,letter,1,False,True,robot_stimuli\\filler.mp4,9
Q,False,2,letter,1,True,False,robot_stimuli\\filler.mp4,9
P,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
W,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
P,True,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
W,True,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
T,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
G,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
K,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
R,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
N,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
R,True,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
Z,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
C,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
J,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
C,True,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
H,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
C,True,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
H,True,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
W,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
W,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
R,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
Q,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
D,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
Q,True,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
R,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
S,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
R,True,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
V,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
T,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
N,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
M,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
Z,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
F,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
T,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
P,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
G,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
M,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
V,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
D,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
Q,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
M,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
S,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
Q,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
C,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
B,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
C,True,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
C,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
C,True,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
Q,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,9
Q,False,2,letter,1,False,True,robot_stimuli\\filler.mp4,9
C,False,1,letter,1,True,False,robot_stimuli\\filler.mp4,9
S,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
W,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
Z,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
K,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
X,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
X,True,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
S,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
S,True,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
T,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
Q,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
P,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
L,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
H,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
C,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
C,True,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
N,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
G,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
P,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
S,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
J,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
D,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
S,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
D,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
F,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
N,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
N,True,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
N,True,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
N,True,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
Z,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
F,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
F,True,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
Z,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
X,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
S,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
K,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
Q,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
Q,True,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
B,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
P,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
T,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
T,True,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
K,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
V,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
F,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
Q,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
H,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
Q,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
B,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,9
B,True,1,letter,1,False,True,robot_stimuli\\filler.mp4,9
R_Arm_Z_Back,False,1,robot,2,True,False,robot_stimuli\R_Arm_Z_Back.mp4,9
R_Arm_Z_Back,True,1,robot,2,False,False,robot_stimuli\R_Arm_Z_Back.mp4,9
