sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject
"['blue_top_H_45', 'blue_top_L_0', 'blue_left_R_0', 'red_top_R_0']","{'color': 'red_top_R_0', 'position': 'blue_left_R_0', 'orientation': 'blue_top_H_45'}",orientation,['orientation'],blue_top_H_45,0,1,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,21
"['red_left_N_45', 'blue_left_H_45', 'red_right_W_45', 'red_left_J_0']","{'color': 'blue_left_H_45', 'position': 'red_right_W_45', 'orientation': 'red_left_J_0'}",position,['position'],red_right_W_45,2,1,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,21
"['red_right_H_0', 'red_right_N_45', 'blue_right_T_0', 'red_left_V_0']","{'color': 'blue_right_T_0', 'position': 'red_left_V_0', 'orientation': 'red_right_N_45'}",color,['color'],blue_right_T_0,2,1,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,21
"['red_left_P_0', 'red_top_G_0', 'blue_left_Q_0', 'red_left_V_45']","{'color': 'blue_left_Q_0', 'position': 'red_top_G_0', 'orientation': 'red_left_V_45'}",orientation,"['orientation', 'position']",red_left_V_45,3,2,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,21
"['blue_left_X_0', 'blue_left_L_45', 'red_left_L_45', 'blue_top_B_45']","{'color': 'red_left_L_45', 'position': 'blue_top_B_45', 'orientation': 'blue_left_X_0'}",color,"['color', 'position']",red_left_L_45,2,2,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,21
"['blue_left_B_45', 'blue_bottom_X_0', 'red_left_L_0', 'blue_left_H_0']","{'color': 'red_left_L_0', 'position': 'blue_bottom_X_0', 'orientation': 'blue_left_B_45'}",position,"['orientation', 'position']",blue_bottom_X_0,1,2,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,21
"['red_top_W_0', 'red_left_H_0', 'red_left_J_45', 'blue_left_P_0']","{'color': 'blue_left_P_0', 'position': 'red_top_W_0', 'orientation': 'red_left_J_45'}",position,"['color', 'orientation', 'position']",red_top_W_0,0,3,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,21
"['blue_top_S_0', 'blue_left_L_45', 'blue_left_R_0', 'red_left_V_0']","{'color': 'red_left_V_0', 'position': 'blue_top_S_0', 'orientation': 'blue_left_L_45'}",color,"['color', 'orientation', 'position']",red_left_V_0,3,3,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,21
"['red_top_W_0', 'red_right_K_0', 'blue_right_T_0', 'red_right_K_45']","{'color': 'blue_right_T_0', 'position': 'red_top_W_0', 'orientation': 'red_right_K_45'}",orientation,"['color', 'orientation', 'position']",red_right_K_45,3,3,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,21
"['R_Head_Y_For', 'R_Head_Z_For', 'R_Base_Y_For', 'L_Head_Y_For']","{'laterality': 'L_Head_Y_For', 'localisation': 'R_Base_Y_For', 'movement': 'R_Head_Z_For'}",movement,['movement'],R_Head_Z_For,1,1,robot,1,True,False,"['robot_stimuli\\R_Head_Y_For.mp4', 'robot_stimuli\\R_Head_Z_For.mp4', 'robot_stimuli\\R_Base_Y_For.mp4', 'robot_stimuli\\L_Head_Y_For.mp4']",robot_stimuli\R_Head_Z_For.mp4,21
"['R_Head_Y_Back', 'R_Head_Z_For', 'R_Base_Y_Back', 'L_Head_Y_Back']","{'laterality': 'L_Head_Y_Back', 'localisation': 'R_Base_Y_Back', 'movement': 'R_Head_Z_For'}",localisation,['localisation'],R_Base_Y_Back,2,1,robot,1,False,False,"['robot_stimuli\\R_Head_Y_Back.mp4', 'robot_stimuli\\R_Head_Z_For.mp4', 'robot_stimuli\\R_Base_Y_Back.mp4', 'robot_stimuli\\L_Head_Y_Back.mp4']",robot_stimuli\R_Base_Y_Back.mp4,21
"['L_Head_Y_For', 'R_Arm_Y_Back', 'L_Arm_Z_For', 'L_Arm_Y_For']","{'laterality': 'R_Arm_Y_Back', 'localisation': 'L_Head_Y_For', 'movement': 'L_Arm_Z_For'}",laterality,['laterality'],R_Arm_Y_Back,1,1,robot,1,False,True,"['robot_stimuli\\L_Head_Y_For.mp4', 'robot_stimuli\\R_Arm_Y_Back.mp4', 'robot_stimuli\\L_Arm_Z_For.mp4', 'robot_stimuli\\L_Arm_Y_For.mp4']",robot_stimuli\R_Arm_Y_Back.mp4,21
"['L_Arm_Y_Back', 'R_Arm_Y_Back', 'R_Head_Y_For', 'R_Arm_X_For']","{'laterality': 'L_Arm_Y_Back', 'localisation': 'R_Head_Y_For', 'movement': 'R_Arm_X_For'}",movement,"['laterality', 'movement']",R_Arm_X_For,3,2,robot,1,True,False,"['robot_stimuli\\L_Arm_Y_Back.mp4', 'robot_stimuli\\R_Arm_Y_Back.mp4', 'robot_stimuli\\R_Head_Y_For.mp4', 'robot_stimuli\\R_Arm_X_For.mp4']",robot_stimuli\R_Arm_X_For.mp4,21
