sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,cue_before_text.started,training_presentation_letter.started,training_presentation_letter.stopped,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,polygon.stopped,cue_before_text.stopped,RSME_key.rt,training_presentation_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_movie.started,block_intro_text.stopped,block_intro_key.stopped,presentation_letter.started,presentation_letter.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.305435799993575,12.305435799993575,f,42.32260499987751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,2024-09-24_17h43.06.174,robot_cogshifting_sign,2022.2.5,59.85773034537992,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.687915300019085,54.687915300019085,space,75.97304269950837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,2024-09-24_17h43.06.174,robot_cogshifting_sign,2022.2.5,59.85773034537992,
"['blue_top_H_45', 'blue_top_L_0', 'blue_left_R_0', 'red_top_R_0']","{'color': 'red_top_R_0', 'position': 'blue_left_R_0', 'orientation': 'blue_top_H_45'}",orientation,['orientation'],blue_top_H_45,0,1,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,21,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,130.72086490038782,130.72086490038782,space,3.1312394998967648,133.87705610040575,134.87902939971536,144.64892400056124,146.70232050027698,146.70232050027698,146.70232050027698,146.70232050027698,1,0.5821223994717002,147.33688220009208,147.33688220009208,147.33688220009208,147.33688220009208,147.33688220009208,147.33688220009208,147.33688220009208,147.33688220009208,None,None,None,,,,,,,,,,,,,,,,,,,,,21,001,2024-09-24_17h43.06.174,robot_cogshifting_sign,2022.2.5,59.85773034537992,
"['red_left_N_45', 'blue_left_H_45', 'red_right_W_45', 'red_left_J_0']","{'color': 'blue_left_H_45', 'position': 'red_right_W_45', 'orientation': 'red_left_J_0'}",position,['position'],red_right_W_45,2,1,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,21,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,147.33688220009208,147.33688220009208,None,,147.33688220009208,148.3388371001929,157.12281460035592,159.3438662001863,159.3438662001863,159.3438662001863,159.3438662001863,3,0.20427979994565248,159.57761000003666,159.57761000003666,159.57761000003666,159.57761000003666,159.57761000003666,159.57761000003666,159.57761000003666,159.57761000003666,None,None,None,147.33688220009208,147.33688220009208,148.3388371001929,150.40956060029566,,,,,,,,,,,,,,,,,21,001,2024-09-24_17h43.06.174,robot_cogshifting_sign,2022.2.5,59.85773034537992,
"['red_right_H_0', 'red_right_N_45', 'blue_right_T_0', 'red_left_V_0']","{'color': 'blue_right_T_0', 'position': 'red_left_V_0', 'orientation': 'red_right_N_45'}",color,['color'],blue_right_T_0,2,1,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,21,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,159.57761000003666,159.57761000003666,None,,159.57761000003666,160.57962459977716,169.14645239990205,171.16715119965374,171.16715119965374,171.16715119965374,171.16715119965374,3,0.32490389980375767,171.5679352004081,191.0061590000987,171.5679352004081,191.0061590000987,171.5679352004081,191.0061590000987,171.5679352004081,191.0061590000987,4.68253968253968,16.75933870021254,space,159.57761000003666,159.57761000003666,160.57962459977716,162.65041009988636,19.380388700403273,,,,,,,,,,,,,,,,21,001,2024-09-24_17h43.06.174,robot_cogshifting_sign,2022.2.5,59.85773034537992,
"['red_left_P_0', 'red_top_G_0', 'blue_left_Q_0', 'red_left_V_45']","{'color': 'blue_left_Q_0', 'position': 'red_top_G_0', 'orientation': 'red_left_V_45'}",orientation,"['orientation', 'position']",red_left_V_45,3,2,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,21,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,191.0061590000987,191.0061590000987,space,8.381552600301802,199.4060046998784,200.40799160022289,208.99159760028124,211.21260670013726,211.21260670013726,211.21260670013726,211.21260670013726,4,4.743953499943018,215.98860060051084,215.98860060051084,215.98860060051084,215.98860060051084,215.98860060051084,215.98860060051084,215.98860060051084,215.98860060051084,None,None,None,,,,,,,,,,,,,,,,,,,,,21,001,2024-09-24_17h43.06.174,robot_cogshifting_sign,2022.2.5,59.85773034537992,
"['blue_left_X_0', 'blue_left_L_45', 'red_left_L_45', 'blue_top_B_45']","{'color': 'red_left_L_45', 'position': 'blue_top_B_45', 'orientation': 'blue_left_X_0'}",color,"['color', 'position']",red_left_L_45,2,2,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,21,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,215.98860060051084,215.98860060051084,None,,215.98860060051084,216.99063870031387,225.37392510008067,227.39444280043244,227.39444280043244,227.39444280043244,227.39444280043244,3,1.505392700433731,228.93083219975233,228.93083219975233,228.93083219975233,228.93083219975233,228.93083219975233,228.93083219975233,228.93083219975233,228.93083219975233,None,None,None,215.98860060051084,215.98860060051084,216.99063870031387,219.06136849988252,,,,,,,,,,,,,,,,,21,001,2024-09-24_17h43.06.174,robot_cogshifting_sign,2022.2.5,59.85773034537992,
"['blue_left_B_45', 'blue_bottom_X_0', 'red_left_L_0', 'blue_left_H_0']","{'color': 'red_left_L_0', 'position': 'blue_bottom_X_0', 'orientation': 'blue_left_B_45'}",position,"['orientation', 'position']",blue_bottom_X_0,1,2,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,21,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,228.93083219975233,228.93083219975233,None,,228.93083219975233,229.93277239985764,238.71678160037845,240.93777840025723,240.93777840025723,240.93777840025723,240.93777840025723,2,1.1461081998422742,242.14011280052364,251.89266770053655,242.14011280052364,251.89266770053655,242.14011280052364,251.89266770053655,242.14011280052364,251.89266770053655,29.444444444444446,3.8169168001040816,space,228.93083219975233,228.93083219975233,229.93277239985764,232.00358160026371,9.679737799800932,,,,,,,,,,,,,,,,21,001,2024-09-24_17h43.06.174,robot_cogshifting_sign,2022.2.5,59.85773034537992,
"['red_top_W_0', 'red_left_H_0', 'red_left_J_45', 'blue_left_P_0']","{'color': 'blue_left_P_0', 'position': 'red_top_W_0', 'orientation': 'red_left_J_45'}",position,"['color', 'orientation', 'position']",red_top_W_0,0,3,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,21,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,251.89266770053655,251.89266770053655,space,14.230906399898231,266.1540590003133,267.1560543999076,275.53926070034504,277.5598269002512,277.5598269002512,277.5598269002512,277.5598269002512,1,2.4847222995013,280.0647790003568,280.0647790003568,280.0647790003568,280.0647790003568,280.0647790003568,280.0647790003568,280.0647790003568,280.0647790003568,None,None,None,,,,,,,,,,,,,,,,,,,,,21,001,2024-09-24_17h43.06.174,robot_cogshifting_sign,2022.2.5,59.85773034537992,
"['blue_top_S_0', 'blue_left_L_45', 'blue_left_R_0', 'red_left_V_0']","{'color': 'red_left_V_0', 'position': 'blue_top_S_0', 'orientation': 'blue_left_L_45'}",color,"['color', 'orientation', 'position']",red_left_V_0,3,3,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,21,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,280.0647790003568,280.0647790003568,None,,280.0647790003568,281.066744199954,289.8340624999255,292.055020400323,292.055020400323,292.055020400323,292.055020400323,4,4.260942899622023,296.3468243004754,296.3468243004754,296.3468243004754,296.3468243004754,296.3468243004754,296.3468243004754,296.3468243004754,296.3468243004754,None,None,None,280.0647790003568,280.0647790003568,281.066744199954,283.13761860039085,,,,,,,,,,,,,,,,,21,001,2024-09-24_17h43.06.174,robot_cogshifting_sign,2022.2.5,59.85773034537992,
