sequence,is_target,condition,stimuli,block,is_block_beginning,is_block_ending,fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_robot_intro_text.started,training_robot_intro_key.started,training_robot_intro_key.keys,training_robot_intro_key.rt,cross.started,cross.stopped,training_letter.started,training_robot_key.started,training_robot_question.started,training_robot_keys.started,training_letter.stopped,training_robot_key.keys,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_robot_intro_text.stopped,training_robot_intro_key.stopped,training_robot_key.rt,RSME_key.rt,training_robot_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,letter.started,key.started,letter.stopped,key.keys,block_intro_text.stopped,block_intro_key.stopped,key.rt,movie.started,participant,session,date,expName,psychopyVersion,frameRate,Unnamed: 80
,,,,,,,,,,,,,,,,,,,,,11.844909300001746,11.844909300001746,e,28.573041899999225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,2024-06-18_17h02.34.500,robot_nback_sign,2022.2.5,60.20647207619808,
,,,,,,,,,,,,,,,,,,,,,,,,,40.47138310000082,40.47138310000082,space,86.66616580000118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,2024-06-18_17h02.34.500,robot_nback_sign,2022.2.5,60.20647207619808,
B,False,1.0,letter,1.0,True,False,robot_stimuli\\filler.mp4,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,127.18454610000116,127.18454610000116,space,14.825556199997663,142.0359924000004,143.15320390000124,143.15320390000124,143.15320390000124,143.15320390000124,143.15320390000124,145.36882669999977,None,145.36882669999977,145.36882669999977,145.36882669999977,145.36882669999977,145.36882669999977,145.36882669999977,145.36882669999977,145.36882669999977,None,None,None,,,,,,,,,,,,,,,,,,,,,,,12,1,2024-06-18_17h02.34.500,robot_nback_sign,2022.2.5,60.20647207619808,
H,False,1.0,letter,1.0,False,False,robot_stimuli\\filler.mp4,12.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,145.36882669999977,145.36882669999977,None,,145.36882669999977,146.43827470000178,146.43827470000178,146.43827470000178,146.43827470000178,146.43827470000178,148.67082950000258,n,148.67082950000258,148.67082950000258,148.67082950000258,148.67082950000258,148.67082950000258,148.67082950000258,148.67082950000258,148.67082950000258,None,None,None,145.36882669999977,145.36882669999977,1.6344023999990895,,,,,,,,,,,,,,,,,,,,12,1,2024-06-18_17h02.34.500,robot_nback_sign,2022.2.5,60.20647207619808,
H,True,1.0,letter,1.0,False,False,robot_stimuli\\filler.mp4,12.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,,,,,,,,,,,,,148.67082950000258,148.67082950000258,None,,148.67082950000258,149.73353770000176,149.73353770000176,149.73353770000176,149.73353770000176,149.73353770000176,151.76450900000054,c,151.76450900000054,151.76450900000054,151.76450900000054,151.76450900000054,151.76450900000054,151.76450900000054,151.76450900000054,151.76450900000054,None,None,None,148.67082950000258,148.67082950000258,1.2765086999970665,,,,,,,,,,,,,,,,,,,,12,1,2024-06-18_17h02.34.500,robot_nback_sign,2022.2.5,60.20647207619808,
K,False,1.0,letter,1.0,False,False,robot_stimuli\\filler.mp4,12.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,,,,,,,,,,,,,151.76450900000054,151.76450900000054,None,,151.76450900000054,152.8367911000023,152.8367911000023,152.8367911000023,152.8367911000023,152.8367911000023,154.8693127000006,n,154.8693127000006,154.8693127000006,154.8693127000006,154.8693127000006,154.8693127000006,154.8693127000006,154.8693127000006,154.8693127000006,None,None,None,151.76450900000054,151.76450900000054,0.8297444999989239,,,,,,,,,,,,,,,,,,,,12,1,2024-06-18_17h02.34.500,robot_nback_sign,2022.2.5,60.20647207619808,
K,True,1.0,letter,1.0,False,False,robot_stimuli\\filler.mp4,12.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,,,,,,,,,,,,,154.8693127000006,154.8693127000006,None,,154.8693127000006,155.93761260000247,155.93761260000247,155.93761260000247,155.93761260000247,155.93761260000247,158.17156400000022,c,158.17156400000022,158.17156400000022,158.17156400000022,158.17156400000022,158.17156400000022,158.17156400000022,158.17156400000022,158.17156400000022,None,None,None,154.8693127000006,154.8693127000006,0.519628099998954,,,,,,,,,,,,,,,,,,,,12,1,2024-06-18_17h02.34.500,robot_nback_sign,2022.2.5,60.20647207619808,
P,False,1.0,letter,1.0,False,True,robot_stimuli\\filler.mp4,12.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,,,,,,,,,,,,,158.17156400000022,158.17156400000022,None,,158.17156400000022,,159.2563145999993,159.2563145999993,159.2563145999993,159.2563145999993,161.54234759999963,n,161.54234759999963,171.21451069999966,161.54234759999963,171.21451069999966,161.54234759999963,171.21451069999966,161.54234759999963,171.21451069999966,29.38271604938271,7.88157560000036,space,158.17156400000022,158.17156400000022,0.8642448999999033,9.611238499997851,,,,,,,,,,,,,,,,,,,12,1,2024-06-18_17h02.34.500,robot_nback_sign,2022.2.5,60.20647207619808,
S,False,2.0,letter,1.0,True,False,robot_stimuli\\filler.mp4,12.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,,,,,,,,,,,,,171.21451069999966,171.21451069999966,space,5.586500799996429,176.8196167999995,177.8954502000015,177.8954502000015,177.8954502000015,177.8954502000015,177.8954502000015,179.92548440000246,None,179.92548440000246,179.92548440000246,179.92548440000246,179.92548440000246,179.92548440000246,179.92548440000246,179.92548440000246,179.92548440000246,None,None,None,,,,,,,,,,,,,,,,,,,,,,,12,1,2024-06-18_17h02.34.500,robot_nback_sign,2022.2.5,60.20647207619808,
S,False,2.0,letter,1.0,False,False,robot_stimuli\\filler.mp4,12.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,,,,,,,,,,,,,179.92548440000246,179.92548440000246,None,,179.92548440000246,181.00322199999937,181.00322199999937,181.00322199999937,181.00322199999937,181.00322199999937,183.03833809999924,None,183.03833809999924,183.03833809999924,183.03833809999924,183.03833809999924,183.03833809999924,183.03833809999924,183.03833809999924,183.03833809999924,None,None,None,179.92548440000246,179.92548440000246,,,,,,,,,,,,,,,,,,,,,12,1,2024-06-18_17h02.34.500,robot_nback_sign,2022.2.5,60.20647207619808,
