sequence,is_true,target,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,polygon.stopped,training_presentation_letter.started,training_presentation_letter.stopped,training_recall_letter.started,training_recall_key.started,training_recall_question.started,training_recall_answer.started,training_recall_key.keys,training_recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,RSME_key.rt,training_presentation_movie.started,training_recall_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_letter.started,presentation_letter.stopped,recall_letter.started,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,block_intro_text.stopped,block_intro_key.stopped,presentation_movie.started,recall_movie.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.721538399999986,16.721538399999986,f,1.1789055000000417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2024-06-27_14h11.15.725,robot_sternberg_sign,2022.2.5,59.916117435570385,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.960104,17.960104,space,35.370873500000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2024-06-27_14h11.15.725,robot_sternberg_sign,2022.2.5,59.916117435570385,
"['J', 'D']",True,D,2,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,53.370013799999924,53.370013799999924,space,4.392955100000108,63.59854789999997,64.69793269999991,61.582932599999936,63.59854789999997,64.69793269999991,64.69793269999991,64.69793269999991,64.69793269999991,c,1.6902198000000226,66.61283779999997,66.61283779999997,66.61283779999997,66.61283779999997,66.61283779999997,66.61283779999997,66.61283779999997,66.61283779999997,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2024-06-27_14h11.15.725,robot_sternberg_sign,2022.2.5,59.916117435570385,
"['C', 'R']",True,C,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,4,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,66.61283779999997,66.61283779999997,None,,72.0130289,73.09040379999999,70.00004679999995,72.0130289,73.09040379999999,73.09040379999999,73.09040379999999,73.09040379999999,c,0.8979270000000952,74.12016369999992,74.12016369999992,74.12016369999992,74.12016369999992,74.12016369999992,74.12016369999992,74.12016369999992,74.12016369999992,None,None,None,66.61283779999997,66.61283779999997,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2024-06-27_14h11.15.725,robot_sternberg_sign,2022.2.5,59.916117435570385,
"['M', 'C']",False,P,2,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,4,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,74.12016369999992,74.12016369999992,None,,79.5200873,80.5876649999999,77.4967418,79.5200873,80.5876649999999,80.5876649999999,80.5876649999999,80.5876649999999,n,1.58357060000003,82.47803519999991,88.07494489999999,82.47803519999991,88.07494489999999,82.47803519999991,88.07494489999999,82.47803519999991,88.07494489999999,1.759259259259252,3.6175468000000137,space,74.12016369999992,74.12016369999992,5.518724499999962,,,,,,,,,,,,,,,,,,,,,,,,4,001,2024-06-27_14h11.15.725,robot_sternberg_sign,2022.2.5,59.916117435570385,
"['H', 'B', 'J', 'V']",True,J,4,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,4,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,88.07494489999999,88.07494489999999,space,11.593692500000088,109.48677150000003,110.55195929999991,107.46592009999995,109.48677150000003,110.55195929999991,110.55195929999991,110.55195929999991,110.55195929999991,c,0.8514209000001074,111.58106469999984,111.58106469999984,111.58106469999984,111.58106469999984,111.58106469999984,111.58106469999984,111.58106469999984,111.58106469999984,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2024-06-27_14h11.15.725,robot_sternberg_sign,2022.2.5,59.916117435570385,
"['S', 'K', 'C', 'T']",True,K,4,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,4,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,111.58106469999984,111.58106469999984,None,,121.37875229999986,122.45078969999986,119.36247149999986,121.37875229999986,122.45078969999986,122.45078969999986,122.45078969999986,122.45078969999986,c,0.9762733000001163,123.47862740000005,123.47862740000005,123.47862740000005,123.47862740000005,123.47862740000005,123.47862740000005,123.47862740000005,123.47862740000005,None,None,None,111.58106469999984,111.58106469999984,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2024-06-27_14h11.15.725,robot_sternberg_sign,2022.2.5,59.916117435570385,
"['S', 'W', 'Z', 'V']",False,M,4,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,4,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,123.47862740000005,123.47862740000005,None,,133.48082269999986,134.55469440000002,131.2554255,133.48082269999986,134.55469440000002,134.55469440000002,134.55469440000002,134.55469440000002,n,0.8652634999999691,135.61090450000006,138.32354310000005,135.61090450000006,138.32354310000005,135.61090450000006,138.32354310000005,135.61090450000006,138.32354310000005,1.759259259259252,1.6937963999998829,space,123.47862740000005,123.47862740000005,2.656011800000101,,,,,,,,,,,,,,,,,,,,,,,,4,001,2024-06-27_14h11.15.725,robot_sternberg_sign,2022.2.5,59.916117435570385,
"['J', 'X', 'Z', 'Q', 'M', 'C']",False,F,6,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,4,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,138.32354310000005,138.32354310000005,space,3.248127400000044,155.60947220000003,156.68763579999995,153.58665339999993,155.60947220000003,156.68763579999995,156.68763579999995,156.68763579999995,156.68763579999995,n,1.3087933000000476,158.12106070000004,158.12106070000004,158.12106070000004,158.12106070000004,158.12106070000004,158.12106070000004,158.12106070000004,158.12106070000004,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2024-06-27_14h11.15.725,robot_sternberg_sign,2022.2.5,59.916117435570385,
"['N', 'X', 'W', 'P', 'C', 'S']",True,C,6,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,4,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,158.12106070000004,158.12106070000004,None,,171.6949952,172.7574909,169.67025639999997,171.6949952,172.7574909,172.7574909,172.7574909,172.7574909,c,0.8788530999999011,173.77994509999985,173.77994509999985,173.77994509999985,173.77994509999985,173.77994509999985,173.77994509999985,173.77994509999985,173.77994509999985,None,None,None,158.12106070000004,158.12106070000004,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2024-06-27_14h11.15.725,robot_sternberg_sign,2022.2.5,59.916117435570385,
"['W', 'C', 'G', 'Q', 'N', 'H']",True,W,6,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,4,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,173.77994509999985,173.77994509999985,None,,187.9180495999999,188.98322989999997,185.90281359999994,187.9180495999999,188.98322989999997,188.98322989999997,188.98322989999997,188.98322989999997,c,1.0530476999998655,190.23744779999993,194.89544709999996,190.23744779999993,194.89544709999996,190.23744779999993,194.89544709999996,190.23744779999993,194.89544709999996,3.4567901234567877,2.4557933000000958,space,173.77994509999985,173.77994509999985,4.6135980000000245,,,,,,,,,,,,,,,,,,,,,,,,4,001,2024-06-27_14h11.15.725,robot_sternberg_sign,2022.2.5,59.916117435570385,
"['L_Arm_X_Back', 'R_Base_X_For']",True,R_Base_X_For,2,robot,2,True,False,"['robot_stimuli\\L_Arm_X_Back.mp4', 'robot_stimuli\\R_Base_X_For.mp4']",robot_stimuli\R_Base_X_For.mp4,4,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,194.89544709999996,194.89544709999996,space,1.740749300000175,205.0059604999999,197.75054799999998,,,,206.10239899999988,206.10239899999988,206.10239899999988,c,3.1495316000001594,209.65293619999989,209.65293619999989,209.65293619999989,209.65293619999989,209.65293619999989,209.65293619999989,209.65293619999989,209.65293619999989,None,None,None,,,,201.47171159999994,206.10239899999988,,,,,,,,,,,,,,,,,,,,,,4,001,2024-06-27_14h11.15.725,robot_sternberg_sign,2022.2.5,59.916117435570385,
