sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,polygon.stopped,cue_before_text.started,cue_before_text.stopped,training_presentation_letter.started,training_presentation_letter.stopped,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,RSME_key.rt,training_presentation_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_letter.started,presentation_letter.stopped,block_intro_text.stopped,block_intro_key.stopped,presentation_movie.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.511210399999996,13.511210399999996,f,2.2975315999999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2024-07-05_10h21.00.613,robot_cogshifting_sign,2022.2.5,59.99214102952281,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8787813,15.8787813,space,133.41023009999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2024-07-05_10h21.00.613,robot_cogshifting_sign,2022.2.5,59.99214102952281,
"['blue_left_H_45', 'blue_top_B_0', 'blue_top_Z_45', 'red_top_P_45']","{'color': 'red_top_P_45', 'position': 'blue_left_H_45', 'orientation': 'blue_top_B_0'}",position,['position'],blue_left_H_45,0,1,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,149.3251186,149.3251186,space,2.202966999999987,151.5579484,152.5578961,152.5578961,155.04785680000003,161.7543898,163.7870937,163.7870937,163.7870937,163.7870937,1,3.493732800000018,167.39320050000003,167.39320050000003,167.39320050000003,167.39320050000003,167.39320050000003,167.39320050000003,167.39320050000003,167.39320050000003,None,None,None,,,,,,,,,,,,,,,,,,,2,001,2024-07-05_10h21.00.613,robot_cogshifting_sign,2022.2.5,59.99214102952281,
"['blue_bottom_K_45', 'red_bottom_J_0', 'red_bottom_J_45', 'red_right_Q_45']","{'color': 'blue_bottom_K_45', 'position': 'red_right_Q_45', 'orientation': 'red_bottom_J_0'}",color,['color'],blue_bottom_K_45,0,1,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,2,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,167.39320050000003,167.39320050000003,None,,167.39320050000003,,168.4081423,,177.20034900000002,179.41437310000003,179.41437310000003,179.41437310000003,179.41437310000003,1,35.281847499999955,214.7250249,214.7250249,214.7250249,214.7250249,214.7250249,214.7250249,214.7250249,214.7250249,None,None,None,167.39320050000003,167.39320050000003,,,,,,,,,,,,,,,,,2,001,2024-07-05_10h21.00.613,robot_cogshifting_sign,2022.2.5,59.99214102952281,
"['blue_left_L_45', 'red_left_R_0', 'red_top_G_45', 'red_left_T_45']","{'color': 'blue_left_L_45', 'position': 'red_top_G_45', 'orientation': 'red_left_R_0'}",orientation,['orientation'],red_left_R_0,1,1,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,2,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,214.7250249,214.7250249,None,,214.7250249,215.72475940000004,215.72475940000004,217.7940785,224.6937676,226.91089870000002,226.91089870000002,226.91089870000002,226.91089870000002,2,0.5451290999999827,227.53171050000003,230.80274350000002,227.53171050000003,230.80274350000002,227.53171050000003,230.80274350000002,227.53171050000003,230.80274350000002,19.814814814814813,2.0132712999999853,space,214.7250249,214.7250249,3.1970324999999633,,,,,,,,,,,,,,,,2,001,2024-07-05_10h21.00.613,robot_cogshifting_sign,2022.2.5,59.99214102952281,
"['red_right_N_45', 'blue_right_F_45', 'blue_left_N_45', 'blue_right_L_0']","{'color': 'red_right_N_45', 'position': 'blue_left_N_45', 'orientation': 'blue_right_L_0'}",color,"['color', 'position']",red_right_N_45,0,2,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,2,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,230.80274350000002,230.80274350000002,space,3.350024399999981,234.17465750000002,235.17484810000002,235.17484810000002,237.24521200000004,243.95423970000002,245.98156340000003,245.98156340000003,245.98156340000003,245.98156340000003,1,4.874399099999991,250.8747634,250.8747634,250.8747634,250.8747634,250.8747634,250.8747634,250.8747634,250.8747634,None,None,None,,,,,,,,,,,,,,,,,,,2,001,2024-07-05_10h21.00.613,robot_cogshifting_sign,2022.2.5,59.99214102952281,
"['blue_right_Q_45', 'blue_top_J_45', 'blue_top_K_0', 'red_top_F_45']","{'color': 'red_top_F_45', 'position': 'blue_right_Q_45', 'orientation': 'blue_top_K_0'}",orientation,"['color', 'orientation']",blue_top_K_0,2,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,2,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,250.8747634,250.8747634,None,,250.8747634,251.87492130000004,251.87492130000004,253.94445970000004,260.8470577,263.07353820000003,263.07353820000003,263.07353820000003,263.07353820000003,3,2.239284699999999,265.3414472,265.3414472,265.3414472,265.3414472,265.3414472,265.3414472,265.3414472,265.3414472,None,None,None,250.8747634,250.8747634,,,,,,,,,,,,,,,,,2,001,2024-07-05_10h21.00.613,robot_cogshifting_sign,2022.2.5,59.99214102952281,
"['red_left_S_45', 'red_top_H_45', 'red_top_K_0', 'blue_top_C_45']","{'color': 'blue_top_C_45', 'position': 'red_left_S_45', 'orientation': 'red_top_K_0'}",position,"['color', 'position']",red_left_S_45,0,2,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,2,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,265.3414472,265.3414472,None,,265.3414472,266.341632,266.341632,268.4172244,275.132859,277.34702150000004,277.34702150000004,277.34702150000004,277.34702150000004,1,2.8456284999999326,280.2515227,283.54406220000004,280.2515227,283.54406220000004,280.2515227,283.54406220000004,280.2515227,283.54406220000004,36.94444444444444,2.496213599999976,space,265.3414472,265.3414472,3.2444620999999785,,,,,,,,,,,,,,,,2,001,2024-07-05_10h21.00.613,robot_cogshifting_sign,2022.2.5,59.99214102952281,
"['red_left_Q_0', 'blue_left_K_45', 'blue_bottom_W_0', 'blue_left_P_0']","{'color': 'red_left_Q_0', 'position': 'blue_bottom_W_0', 'orientation': 'blue_left_K_45'}",orientation,"['color', 'orientation', 'position']",blue_left_K_45,1,3,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,2,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,283.54406220000004,283.54406220000004,space,0.007808400000001825,283.57466500000004,284.57515720000004,284.57515720000004,286.6395365,293.1474471,295.3684596,295.3684596,295.3684596,295.3684596,2,3.1360077000000075,298.5248772,298.5248772,298.5248772,298.5248772,298.5248772,298.5248772,298.5248772,298.5248772,None,None,None,,,,,,,,,,,,,,,,,,,2,001,2024-07-05_10h21.00.613,robot_cogshifting_sign,2022.2.5,59.99214102952281,
"['red_right_N_45', 'blue_right_Z_45', 'red_right_C_0', 'red_top_Q_45']","{'color': 'blue_right_Z_45', 'position': 'red_top_Q_45', 'orientation': 'red_right_C_0'}",color,"['color', 'orientation', 'position']",blue_right_Z_45,1,3,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,2,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,298.5248772,298.5248772,None,,298.5248772,299.5250567,299.5250567,301.59639050000004,308.4783698,310.7050726,310.7050726,310.7050726,310.7050726,1,2.512248000000014,313.24152760000004,313.24152760000004,313.24152760000004,313.24152760000004,313.24152760000004,313.24152760000004,313.24152760000004,313.24152760000004,None,None,None,298.5248772,298.5248772,,,,,,,,,,,,,,,,,2,001,2024-07-05_10h21.00.613,robot_cogshifting_sign,2022.2.5,59.99214102952281,
