sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject
"['blue_left_H_45', 'blue_top_B_0', 'blue_top_Z_45', 'red_top_P_45']","{'color': 'red_top_P_45', 'position': 'blue_left_H_45', 'orientation': 'blue_top_B_0'}",position,['position'],blue_left_H_45,0,1,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,2
"['blue_bottom_K_45', 'red_bottom_J_0', 'red_bottom_J_45', 'red_right_Q_45']","{'color': 'blue_bottom_K_45', 'position': 'red_right_Q_45', 'orientation': 'red_bottom_J_0'}",color,['color'],blue_bottom_K_45,0,1,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,2
"['blue_left_L_45', 'red_left_R_0', 'red_top_G_45', 'red_left_T_45']","{'color': 'blue_left_L_45', 'position': 'red_top_G_45', 'orientation': 'red_left_R_0'}",orientation,['orientation'],red_left_R_0,1,1,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,2
"['red_right_N_45', 'blue_right_F_45', 'blue_left_N_45', 'blue_right_L_0']","{'color': 'red_right_N_45', 'position': 'blue_left_N_45', 'orientation': 'blue_right_L_0'}",color,"['color', 'position']",red_right_N_45,0,2,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,2
"['blue_right_Q_45', 'blue_top_J_45', 'blue_top_K_0', 'red_top_F_45']","{'color': 'red_top_F_45', 'position': 'blue_right_Q_45', 'orientation': 'blue_top_K_0'}",orientation,"['color', 'orientation']",blue_top_K_0,2,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,2
"['red_left_S_45', 'red_top_H_45', 'red_top_K_0', 'blue_top_C_45']","{'color': 'blue_top_C_45', 'position': 'red_left_S_45', 'orientation': 'red_top_K_0'}",position,"['color', 'position']",red_left_S_45,0,2,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,2
"['red_left_Q_0', 'blue_left_K_45', 'blue_bottom_W_0', 'blue_left_P_0']","{'color': 'red_left_Q_0', 'position': 'blue_bottom_W_0', 'orientation': 'blue_left_K_45'}",orientation,"['color', 'orientation', 'position']",blue_left_K_45,1,3,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,2
"['red_right_N_45', 'blue_right_Z_45', 'red_right_C_0', 'red_top_Q_45']","{'color': 'blue_right_Z_45', 'position': 'red_top_Q_45', 'orientation': 'red_right_C_0'}",color,"['color', 'orientation', 'position']",blue_right_Z_45,1,3,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,2
"['red_bottom_X_45', 'blue_bottom_M_0', 'blue_top_C_45', 'blue_bottom_F_45']","{'color': 'red_bottom_X_45', 'position': 'blue_top_C_45', 'orientation': 'blue_bottom_M_0'}",position,"['color', 'orientation', 'position']",blue_top_C_45,2,3,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,2
"['R_Torso_Z_For', 'L_Torso_Z_Back', 'L_Torso_Y_Back', 'L_Arm_Z_Back']","{'laterality': 'R_Torso_Z_For', 'localisation': 'L_Arm_Z_Back', 'movement': 'L_Torso_Y_Back'}",movement,['movement'],L_Torso_Y_Back,2,1,robot,2,True,False,"['robot_stimuli\\R_Torso_Z_For.mp4', 'robot_stimuli\\L_Torso_Z_Back.mp4', 'robot_stimuli\\L_Torso_Y_Back.mp4', 'robot_stimuli\\L_Arm_Z_Back.mp4']",robot_stimuli\L_Torso_Y_Back.mp4,2
"['R_Arm_X_Back', 'R_Torso_X_For', 'L_Arm_X_Back', 'R_Arm_Y_Back']","{'laterality': 'L_Arm_X_Back', 'localisation': 'R_Torso_X_For', 'movement': 'R_Arm_Y_Back'}",laterality,['laterality'],L_Arm_X_Back,2,1,robot,2,False,False,"['robot_stimuli\\R_Arm_X_Back.mp4', 'robot_stimuli\\R_Torso_X_For.mp4', 'robot_stimuli\\L_Arm_X_Back.mp4', 'robot_stimuli\\R_Arm_Y_Back.mp4']",robot_stimuli\L_Arm_X_Back.mp4,2
"['R_Torso_Y_For', 'R_Base_Y_For', 'R_Torso_X_For', 'L_Torso_Y_Back']","{'laterality': 'L_Torso_Y_Back', 'localisation': 'R_Base_Y_For', 'movement': 'R_Torso_X_For'}",localisation,['localisation'],R_Base_Y_For,1,1,robot,2,False,True,"['robot_stimuli\\R_Torso_Y_For.mp4', 'robot_stimuli\\R_Base_Y_For.mp4', 'robot_stimuli\\R_Torso_X_For.mp4', 'robot_stimuli\\L_Torso_Y_Back.mp4']",robot_stimuli\R_Base_Y_For.mp4,2
"['R_Arm_Z_For', 'R_Base_Y_For', 'L_Arm_Y_For', 'R_Arm_Y_For']","{'laterality': 'L_Arm_Y_For', 'localisation': 'R_Base_Y_For', 'movement': 'R_Arm_Z_For'}",localisation,"['laterality', 'localisation']",R_Base_Y_For,1,2,robot,2,True,False,"['robot_stimuli\\R_Arm_Z_For.mp4', 'robot_stimuli\\R_Base_Y_For.mp4', 'robot_stimuli\\L_Arm_Y_For.mp4', 'robot_stimuli\\R_Arm_Y_For.mp4']",robot_stimuli\R_Base_Y_For.mp4,2
"['L_Arm_Z_For', 'L_Head_Z_For', 'R_Head_Z_For', 'L_Head_Y_For']","{'laterality': 'R_Head_Z_For', 'localisation': 'L_Arm_Z_For', 'movement': 'L_Head_Y_For'}",laterality,"['laterality', 'movement']",R_Head_Z_For,2,2,robot,2,False,False,"['robot_stimuli\\L_Arm_Z_For.mp4', 'robot_stimuli\\L_Head_Z_For.mp4', 'robot_stimuli\\R_Head_Z_For.mp4', 'robot_stimuli\\L_Head_Y_For.mp4']",robot_stimuli\R_Head_Z_For.mp4,2
"['R_Torso_X_Back', 'L_Torso_Y_Back', 'L_Torso_X_Back', 'L_Arm_X_For']","{'laterality': 'R_Torso_X_Back', 'localisation': 'L_Arm_X_For', 'movement': 'L_Torso_Y_Back'}",movement,"['localisation', 'movement']",L_Torso_Y_Back,1,2,robot,2,False,True,"['robot_stimuli\\R_Torso_X_Back.mp4', 'robot_stimuli\\L_Torso_Y_Back.mp4', 'robot_stimuli\\L_Torso_X_Back.mp4', 'robot_stimuli\\L_Arm_X_For.mp4']",robot_stimuli\L_Torso_Y_Back.mp4,2
"['L_Base_Y_Back', 'L_Torso_X_For', 'R_Base_X_For', 'L_Base_X_Back']","{'laterality': 'R_Base_X_For', 'localisation': 'L_Torso_X_For', 'movement': 'L_Base_Y_Back'}",laterality,"['laterality', 'localisation', 'movement']",R_Base_X_For,2,3,robot,2,True,False,"['robot_stimuli\\L_Base_Y_Back.mp4', 'robot_stimuli\\L_Torso_X_For.mp4', 'robot_stimuli\\R_Base_X_For.mp4', 'robot_stimuli\\L_Base_X_Back.mp4']",robot_stimuli\R_Base_X_For.mp4,2
"['L_Base_X_For', 'R_Base_Y_For', 'R_Base_X_Back', 'R_Torso_X_For']","{'laterality': 'L_Base_X_For', 'localisation': 'R_Torso_X_For', 'movement': 'R_Base_Y_For'}",movement,"['laterality', 'localisation', 'movement']",R_Base_Y_For,1,3,robot,2,False,False,"['robot_stimuli\\L_Base_X_For.mp4', 'robot_stimuli\\R_Base_Y_For.mp4', 'robot_stimuli\\R_Base_X_Back.mp4', 'robot_stimuli\\R_Torso_X_For.mp4']",robot_stimuli\R_Base_Y_For.mp4,2
"['L_Head_Y_For', 'L_Torso_Y_For', 'R_Torso_Y_Back', 'L_Torso_X_Back']","{'laterality': 'R_Torso_Y_Back', 'localisation': 'L_Head_Y_For', 'movement': 'L_Torso_X_Back'}",localisation,"['laterality', 'localisation', 'movement']",L_Head_Y_For,0,3,robot,2,False,True,"['robot_stimuli\\L_Head_Y_For.mp4', 'robot_stimuli\\L_Torso_Y_For.mp4', 'robot_stimuli\\R_Torso_Y_Back.mp4', 'robot_stimuli\\L_Torso_X_Back.mp4']",robot_stimuli\L_Head_Y_For.mp4,2
