sequence,is_target,condition,stimuli,block,is_block_beginning,is_block_ending,fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_robot_intro_text.started,training_robot_intro_key.started,training_robot_intro_key.keys,training_robot_intro_key.rt,cross.started,cross.stopped,training_letter.started,training_robot_key.started,training_robot_question.started,training_robot_keys.started,training_letter.stopped,training_robot_key.keys,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_robot_intro_text.stopped,training_robot_intro_key.stopped,training_robot_key.rt,RSME_key.rt,training_robot_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,movie.started,key.started,key.keys,block_intro_text.stopped,block_intro_key.stopped,key.rt,letter.started,letter.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,12.445935499999905,12.445935499999905,f,1.012620900000229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,2024-08-01_10h04.23.152,robot_nback_sign,2022.2.5,59.99642421309046,
,,,,,,,,,,,,,,,,,,,,,,,,,13.52162989999988,13.52162989999988,space,54.480776400000195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,2024-08-01_10h04.23.152,robot_nback_sign,2022.2.5,59.99642421309046,
C,False,1,letter,2,True,False,robot_stimuli\\filler.mp4,23,0,0,0,0,0,0,0,0,,,,,,,,,,,,,68.05927309999993,68.05927309999993,space,1.8635042000000794,69.94816019999985,71.26722309999991,71.26722309999991,71.26722309999991,71.26722309999991,71.26722309999991,73.59175839999989,None,73.59175839999989,73.59175839999989,73.59175839999989,73.59175839999989,73.59175839999989,73.59175839999989,73.59175839999989,73.59175839999989,None,None,None,,,,,,,,,,,,,,,,,,,,,,,23,001,2024-08-01_10h04.23.152,robot_nback_sign,2022.2.5,59.99642421309046,
C,True,1,letter,2,False,False,robot_stimuli\\filler.mp4,23,0,0,0,0,0,1,1,1,,,,,,,,,,,,,73.59175839999989,73.59175839999989,None,,73.59175839999989,,74.66049369999996,74.66049369999996,74.66049369999996,74.66049369999996,76.69513499999994,c,76.69513499999994,76.69513499999994,76.69513499999994,76.69513499999994,76.69513499999994,76.69513499999994,76.69513499999994,76.69513499999994,None,None,None,73.59175839999989,73.59175839999989,1.2365927999999258,,,,,,,,,,,,,,,,,,,,23,001,2024-08-01_10h04.23.152,robot_nback_sign,2022.2.5,59.99642421309046,
K,False,1,letter,2,False,False,robot_stimuli\\filler.mp4,23,0,0,0,0,0,2,2,2,,,,,,,,,,,,,76.69513499999994,76.69513499999994,None,,76.69513499999994,77.76515619999986,77.76515619999986,77.76515619999986,77.76515619999986,77.76515619999986,79.8010342,n,79.8010342,79.8010342,79.8010342,79.8010342,79.8010342,79.8010342,79.8010342,79.8010342,None,None,None,76.69513499999994,76.69513499999994,1.084414200000083,,,,,,,,,,,,,,,,,,,,23,001,2024-08-01_10h04.23.152,robot_nback_sign,2022.2.5,59.99642421309046,
K,True,1,letter,2,False,False,robot_stimuli\\filler.mp4,23,0,0,0,0,0,3,3,3,,,,,,,,,,,,,79.8010342,79.8010342,None,,79.8010342,,80.87827369999991,80.87827369999991,80.87827369999991,80.87827369999991,82.90651759999992,c,82.90651759999992,82.90651759999992,82.90651759999992,82.90651759999992,82.90651759999992,82.90651759999992,82.90651759999992,82.90651759999992,None,None,None,79.8010342,79.8010342,1.8267692000001716,,,,,,,,,,,,,,,,,,,,23,001,2024-08-01_10h04.23.152,robot_nback_sign,2022.2.5,59.99642421309046,
H,False,1,letter,2,False,False,robot_stimuli\\filler.mp4,23,0,0,0,0,0,4,4,4,,,,,,,,,,,,,82.90651759999992,82.90651759999992,None,,82.90651759999992,83.98728219999998,83.98728219999998,83.98728219999998,83.98728219999998,83.98728219999998,86.22000129999992,n,86.22000129999992,86.22000129999992,86.22000129999992,86.22000129999992,86.22000129999992,86.22000129999992,86.22000129999992,86.22000129999992,None,None,None,82.90651759999992,82.90651759999992,1.565828300000021,,,,,,,,,,,,,,,,,,,,23,001,2024-08-01_10h04.23.152,robot_nback_sign,2022.2.5,59.99642421309046,
C,False,1,letter,2,False,True,robot_stimuli\\filler.mp4,23,0,0,0,0,0,5,5,5,,,,,,,,,,,,,86.22000129999992,86.22000129999992,None,,86.22000129999992,87.30194519999986,87.30194519999986,87.30194519999986,87.30194519999986,87.30194519999986,89.58709499999986,n,89.58709499999986,94.61971329999983,89.58709499999986,94.61971329999983,89.58709499999986,94.61971329999983,89.58709499999986,94.61971329999983,7.469135802469132,4.2073058999999375,space,86.22000129999992,86.22000129999992,1.66900180000016,4.974242499999946,,,,,,,,,,,,,,,,,,,23,001,2024-08-01_10h04.23.152,robot_nback_sign,2022.2.5,59.99642421309046,
S,False,2,letter,2,True,False,robot_stimuli\\filler.mp4,23,0,0,0,0,0,6,6,6,,,,,,,,,,,,,94.61971329999983,94.61971329999983,space,5.09434750000014,99.73157359999982,100.8013011999999,100.8013011999999,100.8013011999999,100.8013011999999,100.8013011999999,103.03140619999999,n,103.03140619999999,103.03140619999999,103.03140619999999,103.03140619999999,103.03140619999999,103.03140619999999,103.03140619999999,103.03140619999999,None,None,None,,,1.5197465000001102,,,,,,,,,,,,,,,,,,,,23,001,2024-08-01_10h04.23.152,robot_nback_sign,2022.2.5,59.99642421309046,
Q,False,2,letter,2,False,False,robot_stimuli\\filler.mp4,23,0,0,0,0,0,7,7,7,,,,,,,,,,,,,103.03140619999999,103.03140619999999,None,,103.03140619999999,104.0988620999999,104.0988620999999,104.0988620999999,104.0988620999999,104.0988620999999,106.12905049999995,n,106.12905049999995,106.12905049999995,106.12905049999995,106.12905049999995,106.12905049999995,106.12905049999995,106.12905049999995,106.12905049999995,None,None,None,103.03140619999999,103.03140619999999,1.311643600000025,,,,,,,,,,,,,,,,,,,,23,001,2024-08-01_10h04.23.152,robot_nback_sign,2022.2.5,59.99642421309046,
