sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,polygon.stopped,cue_before_text.started,cue_before_text.stopped,training_presentation_letter.started,training_presentation_letter.stopped,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,RSME_key.rt,training_presentation_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_letter.started,presentation_letter.stopped,block_intro_text.stopped,block_intro_key.stopped,presentation_movie.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.939463899999964,23.939463899999964,f,1.869493000000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2024-07-24_14h05.50.871,robot_cogshifting_sign,2022.2.5,60.06056507381638,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.877712799999983,25.877712799999983,space,96.23504050000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2024-07-24_14h05.50.871,robot_cogshifting_sign,2022.2.5,60.06056507381638,
"['blue_left_D_45', 'blue_right_P_45', 'blue_right_Z_0', 'red_right_C_45']","{'color': 'red_right_C_45', 'position': 'blue_left_D_45', 'orientation': 'blue_right_Z_0'}",position,['position'],blue_left_D_45,0,1,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,122.1513812,122.1513812,space,2.85095780000006,125.03498479999996,126.03488569999996,126.03488569999996,128.52275989999998,135.0138472,137.05639939999998,137.05639939999998,137.05639939999998,137.05639939999998,1,5.258175100000017,142.39332099999996,142.39332099999996,142.39332099999996,142.39332099999996,142.39332099999996,142.39332099999996,142.39332099999996,142.39332099999996,None,None,None,,,,,,,,,,,,,,,,,,,8,001,2024-07-24_14h05.50.871,robot_cogshifting_sign,2022.2.5,60.06056507381638,
"['red_bottom_L_0', 'red_left_M_45', 'red_bottom_K_45', 'blue_bottom_R_45']","{'color': 'blue_bottom_R_45', 'position': 'red_left_M_45', 'orientation': 'red_bottom_L_0'}",orientation,['orientation'],red_bottom_L_0,0,1,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,142.39332099999996,142.39332099999996,None,,142.39332099999996,,143.40183459999997,,152.1708526,154.3918592,154.3918592,154.3918592,154.3918592,1,1.1297767000000363,155.55179119999997,155.55179119999997,155.55179119999997,155.55179119999997,155.55179119999997,155.55179119999997,155.55179119999997,155.55179119999997,None,None,None,142.39332099999996,142.39332099999996,,,,,,,,,,,,,,,,,8,001,2024-07-24_14h05.50.871,robot_cogshifting_sign,2022.2.5,60.06056507381638,
"['red_bottom_Z_0', 'blue_top_D_0', 'red_top_C_0', 'red_top_R_45']","{'color': 'blue_top_D_0', 'position': 'red_bottom_Z_0', 'orientation': 'red_top_R_45'}",color,['color'],blue_top_D_0,1,1,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,155.55179119999997,155.55179119999997,None,,155.55179119999997,156.55191809999997,156.55191809999997,158.624912,165.5289859,167.5553412,167.5553412,167.5553412,167.5553412,2,0.6946621000000732,168.3294136,176.10313249999996,168.3294136,176.10313249999996,168.3294136,176.10313249999996,168.3294136,176.10313249999996,6.234567901234561,5.126171200000044,space,155.55179119999997,155.55179119999997,7.719604700000048,,,,,,,,,,,,,,,,8,001,2024-07-24_14h05.50.871,robot_cogshifting_sign,2022.2.5,60.06056507381638,
"['blue_left_P_0', 'blue_left_L_45', 'red_left_D_0', 'blue_top_W_0']","{'color': 'red_left_D_0', 'position': 'blue_top_W_0', 'orientation': 'blue_left_L_45'}",orientation,"['color', 'orientation']",blue_left_L_45,1,2,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,176.10313249999996,176.10313249999996,space,3.322890800000039,179.45192939999998,180.4519818,180.4519818,182.5240946,189.2381461,191.4664254,191.4664254,191.4664254,191.4664254,2,5.56776480000002,197.05175509999998,197.05175509999998,197.05175509999998,197.05175509999998,197.05175509999998,197.05175509999998,197.05175509999998,197.05175509999998,None,None,None,,,,,,,,,,,,,,,,,,,8,001,2024-07-24_14h05.50.871,robot_cogshifting_sign,2022.2.5,60.06056507381638,
"['red_top_T_45', 'blue_bottom_R_45', 'red_bottom_J_0', 'red_bottom_L_45']","{'color': 'blue_bottom_R_45', 'position': 'red_top_T_45', 'orientation': 'red_bottom_J_0'}",position,"['orientation', 'position']",red_top_T_45,0,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,197.05175509999998,197.05175509999998,None,,197.05175509999998,198.05187469999998,198.05187469999998,200.1191576,206.82361889999993,209.0479199,209.0479199,209.0479199,209.0479199,2,2.321439400000031,211.40200400000003,211.40200400000003,211.40200400000003,211.40200400000003,211.40200400000003,211.40200400000003,211.40200400000003,211.40200400000003,None,None,None,197.05175509999998,197.05175509999998,,,,,,,,,,,,,,,,,8,001,2024-07-24_14h05.50.871,robot_cogshifting_sign,2022.2.5,60.06056507381638,
"['blue_bottom_Z_45', 'red_bottom_S_0', 'red_left_R_45', 'red_bottom_M_45']","{'color': 'blue_bottom_Z_45', 'position': 'red_left_R_45', 'orientation': 'red_bottom_S_0'}",color,"['color', 'position']",blue_bottom_Z_45,0,2,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,211.40200400000003,211.40200400000003,None,,211.40200400000003,212.40182170000003,212.40182170000003,214.47363710000002,221.18535180000003,223.20410059999995,223.20410059999995,223.20410059999995,223.20410059999995,2,2.7416589000000613,225.99371559999997,232.43377929999997,225.99371559999997,232.43377929999997,225.99371559999997,232.43377929999997,225.99371559999997,232.43377929999997,37.25308641975308,5.834162500000048,space,211.40200400000003,211.40200400000003,6.383248299999991,,,,,,,,,,,,,,,,8,001,2024-07-24_14h05.50.871,robot_cogshifting_sign,2022.2.5,60.06056507381638,
"['red_right_Q_45', 'blue_right_K_0', 'red_top_W_0', 'red_right_B_0']","{'color': 'blue_right_K_0', 'position': 'red_top_W_0', 'orientation': 'red_right_Q_45'}",color,"['color', 'orientation', 'position']",blue_right_K_0,1,3,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,232.43377929999997,232.43377929999997,space,2.232132800000045,234.68529520000004,235.6852242,235.6852242,237.75834129999998,244.46579680000002,246.48474320000003,246.48474320000003,246.48474320000003,246.48474320000003,2,3.116126500000064,249.6188634,249.6188634,249.6188634,249.6188634,249.6188634,249.6188634,249.6188634,249.6188634,None,None,None,,,,,,,,,,,,,,,,,,,8,001,2024-07-24_14h05.50.871,robot_cogshifting_sign,2022.2.5,60.06056507381638,
"['blue_top_C_45', 'red_top_W_0', 'blue_top_G_0', 'blue_bottom_L_0']","{'color': 'red_top_W_0', 'position': 'blue_bottom_L_0', 'orientation': 'blue_top_C_45'}",orientation,"['color', 'orientation', 'position']",blue_top_C_45,0,3,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,249.6188634,249.6188634,None,,249.6188634,250.61855939999998,250.61855939999998,252.69162700000004,259.2045875,261.4258496,261.4258496,261.4258496,261.4258496,1,2.6403488999999354,264.08520809999993,264.08520809999993,264.08520809999993,264.08520809999993,264.08520809999993,264.08520809999993,264.08520809999993,264.08520809999993,None,None,None,249.6188634,249.6188634,,,,,,,,,,,,,,,,,8,001,2024-07-24_14h05.50.871,robot_cogshifting_sign,2022.2.5,60.06056507381638,
"['red_top_J_0', 'blue_top_J_45', 'red_top_W_45', 'red_bottom_Z_45']","{'color': 'blue_top_J_45', 'position': 'red_bottom_Z_45', 'orientation': 'red_top_J_0'}",position,"['color', 'orientation', 'position']",red_bottom_Z_45,3,3,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,264.08520809999993,264.08520809999993,None,,264.08520809999993,265.08529209999995,265.08529209999995,267.15276759999995,273.86736569999994,275.8874982,275.8874982,275.8874982,275.8874982,4,2.4971878999999717,278.4306954,282.5044467,278.4306954,282.5044467,278.4306954,282.5044467,278.4306954,282.5044467,50.21604938271606,2.670887999999991,space,264.08520809999993,264.08520809999993,4.026753700000086,,,,,,,,,,,,,,,,8,001,2024-07-24_14h05.50.871,robot_cogshifting_sign,2022.2.5,60.06056507381638,
"['L_Head_Y_For', 'L_Head_X_Back', 'L_Arm_Y_For', 'R_Head_Y_For']","{'laterality': 'R_Head_Y_For', 'localisation': 'L_Arm_Y_For', 'movement': 'L_Head_X_Back'}",laterality,['laterality'],R_Head_Y_For,3,1,robot,2,True,False,"['robot_stimuli\\L_Head_Y_For.mp4', 'robot_stimuli\\L_Head_X_Back.mp4', 'robot_stimuli\\L_Arm_Y_For.mp4', 'robot_stimuli\\R_Head_Y_For.mp4']",robot_stimuli\R_Head_Y_For.mp4,8,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,282.5044467,282.5044467,space,3.2567199000000073,285.7851279,286.7853857,286.7853857,288.8864407,,,303.71215989999996,303.71215989999996,303.71215989999996,4,0.4089948999999251,304.1517679,304.1517679,304.1517679,304.1517679,304.1517679,304.1517679,304.1517679,304.1517679,None,None,None,,,,300.06654130000004,,,,,,,,,,,,,,,8,001,2024-07-24_14h05.50.871,robot_cogshifting_sign,2022.2.5,60.06056507381638,
