sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject
"['red_bottom_T_0', 'red_right_Z_45', 'red_right_H_0', 'blue_right_N_0']","{'color': 'blue_right_N_0', 'position': 'red_bottom_T_0', 'orientation': 'red_right_Z_45'}",position,['position'],red_bottom_T_0,0,1,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,15
"['blue_bottom_Q_45', 'red_bottom_M_45', 'red_bottom_K_0', 'red_right_Z_45']","{'color': 'blue_bottom_Q_45', 'position': 'red_right_Z_45', 'orientation': 'red_bottom_K_0'}",color,['color'],blue_bottom_Q_45,0,1,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,15
"['red_left_F_0', 'red_top_D_45', 'blue_left_Q_45', 'red_left_P_45']","{'color': 'blue_left_Q_45', 'position': 'red_top_D_45', 'orientation': 'red_left_F_0'}",orientation,['orientation'],red_left_F_0,0,1,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,15
"['red_left_L_45', 'red_top_P_0', 'blue_top_P_45', 'red_top_C_45']","{'color': 'blue_top_P_45', 'position': 'red_left_L_45', 'orientation': 'red_top_P_0'}",color,"['color', 'position']",blue_top_P_45,2,2,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,15
"['blue_right_M_45', 'blue_right_G_0', 'red_right_N_45', 'blue_bottom_G_45']","{'color': 'red_right_N_45', 'position': 'blue_bottom_G_45', 'orientation': 'blue_right_G_0'}",orientation,"['color', 'orientation']",blue_right_G_0,1,2,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,15
"['blue_left_P_0', 'blue_left_P_45', 'blue_top_C_45', 'red_left_S_45']","{'color': 'red_left_S_45', 'position': 'blue_top_C_45', 'orientation': 'blue_left_P_0'}",position,"['color', 'position']",blue_top_C_45,2,2,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,15
"['blue_top_S_0', 'blue_top_T_45', 'red_top_C_0', 'blue_left_W_0']","{'color': 'red_top_C_0', 'position': 'blue_left_W_0', 'orientation': 'blue_top_T_45'}",color,"['color', 'orientation', 'position']",red_top_C_0,2,3,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,15
"['blue_bottom_X_0', 'red_bottom_L_0', 'blue_left_D_0', 'blue_bottom_D_45']","{'color': 'red_bottom_L_0', 'position': 'blue_left_D_0', 'orientation': 'blue_bottom_D_45'}",position,"['color', 'orientation', 'position']",blue_left_D_0,2,3,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,15
"['blue_left_S_45', 'red_left_B_45', 'red_right_X_45', 'red_left_T_0']","{'color': 'blue_left_S_45', 'position': 'red_right_X_45', 'orientation': 'red_left_T_0'}",orientation,"['color', 'orientation', 'position']",red_left_T_0,3,3,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,15
"['R_Arm_Z_Back', 'L_Arm_Z_For', 'L_Base_Z_For', 'L_Arm_X_For']","{'laterality': 'R_Arm_Z_Back', 'localisation': 'L_Base_Z_For', 'movement': 'L_Arm_X_For'}",movement,['movement'],L_Arm_X_For,3,1,robot,1,True,False,"['robot_stimuli\\R_Arm_Z_Back.mp4', 'robot_stimuli\\L_Arm_Z_For.mp4', 'robot_stimuli\\L_Base_Z_For.mp4', 'robot_stimuli\\L_Arm_X_For.mp4']",robot_stimuli\L_Arm_X_For.mp4,15
"['L_Torso_Y_Back', 'R_Torso_Y_Back', 'L_Torso_Z_For', 'L_Base_Y_For']","{'laterality': 'R_Torso_Y_Back', 'localisation': 'L_Base_Y_For', 'movement': 'L_Torso_Z_For'}",localisation,['localisation'],L_Base_Y_For,3,1,robot,1,False,False,"['robot_stimuli\\L_Torso_Y_Back.mp4', 'robot_stimuli\\R_Torso_Y_Back.mp4', 'robot_stimuli\\L_Torso_Z_For.mp4', 'robot_stimuli\\L_Base_Y_For.mp4']",robot_stimuli\L_Base_Y_For.mp4,15
