sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,cue_before_text.started,training_presentation_letter.started,training_presentation_letter.stopped,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,polygon.stopped,cue_before_text.stopped,RSME_key.rt,training_presentation_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_movie.started,block_intro_text.stopped,block_intro_key.stopped,presentation_letter.started,presentation_letter.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.391228400170803,12.391228400170803,f,15.010866399854422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,001,2024-09-09_15h54.46.895,robot_cogshifting_sign,2022.2.5,59.87418051244051,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.45348360016942,27.45348360016942,space,23.900461399927735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,001,2024-09-09_15h54.46.895,robot_cogshifting_sign,2022.2.5,59.87418051244051,
"['red_bottom_T_0', 'red_right_Z_45', 'red_right_H_0', 'blue_right_N_0']","{'color': 'blue_right_N_0', 'position': 'red_bottom_T_0', 'orientation': 'red_right_Z_45'}",position,['position'],red_bottom_T_0,0,1,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,15,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,51.417346000205725,51.417346000205725,space,11.24874860001728,62.68951639998704,63.69150640023872,74.16215420002118,76.38308700034395,76.38308700034395,76.38308700034395,76.38308700034395,1,1.1625545998103917,77.60220700036734,77.60220700036734,77.60220700036734,77.60220700036734,77.60220700036734,77.60220700036734,77.60220700036734,77.60220700036734,None,None,None,,,,,,,,,,,,,,,,,,,,,15,001,2024-09-09_15h54.46.895,robot_cogshifting_sign,2022.2.5,59.87418051244051,
"['blue_bottom_Q_45', 'red_bottom_M_45', 'red_bottom_K_0', 'red_right_Z_45']","{'color': 'blue_bottom_Q_45', 'position': 'red_right_Z_45', 'orientation': 'red_bottom_K_0'}",color,['color'],blue_bottom_Q_45,0,1,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,15,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,77.60220700036734,77.60220700036734,None,,77.60220700036734,78.60416990006343,87.1878372002393,89.20837120013312,89.20837120013312,89.20837120013312,89.20837120013312,1,0.9387978999875486,90.17691190028563,90.17691190028563,90.17691190028563,90.17691190028563,90.17691190028563,90.17691190028563,90.17691190028563,90.17691190028563,None,None,None,77.60220700036734,77.60220700036734,78.60416990006343,80.67491410020739,,,,,,,,,,,,,,,,,15,001,2024-09-09_15h54.46.895,robot_cogshifting_sign,2022.2.5,59.87418051244051,
"['red_left_F_0', 'red_top_D_45', 'blue_left_Q_45', 'red_left_P_45']","{'color': 'blue_left_Q_45', 'position': 'red_top_D_45', 'orientation': 'red_left_F_0'}",orientation,['orientation'],red_left_F_0,0,1,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,15,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,90.17691190028563,90.17691190028563,None,,90.17691190028563,91.17891529994085,99.96288509992883,102.18390560010448,102.18390560010448,102.18390560010448,102.18390560010448,1,0.6495310999453068,102.9019622001797,109.88233540020883,102.9019622001797,109.88233540020883,102.9019622001797,109.88233540020883,102.9019622001797,109.88233540020883,37.6984126984127,6.138299600221217,space,90.17691190028563,90.17691190028563,91.17891529994085,93.24963590037078,6.924763899762183,,,,,,,,,,,,,,,,15,001,2024-09-09_15h54.46.895,robot_cogshifting_sign,2022.2.5,59.87418051244051,
"['red_left_L_45', 'red_top_P_0', 'blue_top_P_45', 'red_top_C_45']","{'color': 'blue_top_P_45', 'position': 'red_left_L_45', 'orientation': 'red_top_P_0'}",color,"['color', 'position']",blue_top_P_45,2,2,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,15,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,109.88233540020883,109.88233540020883,space,2.9513714998029172,112.85493190027773,113.85688140010461,122.44043399998918,124.66144260019064,124.66144260019064,124.66144260019064,124.66144260019064,3,2.78803399996832,127.46697220019996,127.46697220019996,127.46697220019996,127.46697220019996,127.46697220019996,127.46697220019996,127.46697220019996,127.46697220019996,None,None,None,,,,,,,,,,,,,,,,,,,,,15,001,2024-09-09_15h54.46.895,robot_cogshifting_sign,2022.2.5,59.87418051244051,
"['blue_right_M_45', 'blue_right_G_0', 'red_right_N_45', 'blue_bottom_G_45']","{'color': 'red_right_N_45', 'position': 'blue_bottom_G_45', 'orientation': 'blue_right_G_0'}",orientation,"['color', 'orientation']",blue_right_G_0,1,2,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,15,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,127.46697220019996,127.46697220019996,None,,127.46697220019996,128.4689480001107,137.03578410018235,139.07316670008004,139.07316670008004,139.07316670008004,139.07316670008004,2,1.8244088999927044,140.92682819999754,140.92682819999754,140.92682819999754,140.92682819999754,140.92682819999754,140.92682819999754,140.92682819999754,140.92682819999754,None,None,None,127.46697220019996,127.46697220019996,128.4689480001107,130.53966729994863,,,,,,,,,,,,,,,,,15,001,2024-09-09_15h54.46.895,robot_cogshifting_sign,2022.2.5,59.87418051244051,
"['blue_left_P_0', 'blue_left_P_45', 'blue_top_C_45', 'red_left_S_45']","{'color': 'red_left_S_45', 'position': 'blue_top_C_45', 'orientation': 'blue_left_P_0'}",position,"['color', 'position']",blue_top_C_45,2,2,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,15,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,140.92682819999754,140.92682819999754,None,,140.92682819999754,141.92875090008602,150.6960591999814,152.91704660002142,152.91704660002142,152.91704660002142,152.91704660002142,1,1.501177600119263,154.47014200035483,159.07922320021316,154.47014200035483,159.07922320021316,154.47014200035483,159.07922320021316,154.47014200035483,159.07922320021316,49.76190476190476,2.9149965001270175,space,140.92682819999754,140.92682819999754,141.92875090008602,143.99951150035486,4.5561166000552475,,,,,,,,,,,,,,,,15,001,2024-09-09_15h54.46.895,robot_cogshifting_sign,2022.2.5,59.87418051244051,
"['blue_top_S_0', 'blue_top_T_45', 'red_top_C_0', 'blue_left_W_0']","{'color': 'red_top_C_0', 'position': 'blue_left_W_0', 'orientation': 'blue_top_T_45'}",color,"['color', 'orientation', 'position']",red_top_C_0,2,3,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,15,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,159.07922320021316,159.07922320021316,space,2.754465099889785,161.85139239998534,162.85327930003405,171.23649429995567,173.44081069994718,173.44081069994718,173.44081069994718,173.44081069994718,3,5.272754099685699,178.7345485999249,178.7345485999249,178.7345485999249,178.7345485999249,178.7345485999249,178.7345485999249,178.7345485999249,178.7345485999249,None,None,None,,,,,,,,,,,,,,,,,,,,,15,001,2024-09-09_15h54.46.895,robot_cogshifting_sign,2022.2.5,59.87418051244051,
"['blue_bottom_X_0', 'red_bottom_L_0', 'blue_left_D_0', 'blue_bottom_D_45']","{'color': 'red_bottom_L_0', 'position': 'blue_left_D_0', 'orientation': 'blue_bottom_D_45'}",position,"['color', 'orientation', 'position']",blue_left_D_0,2,3,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,15,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,178.7345485999249,178.7345485999249,None,,178.7345485999249,179.73648140020669,188.28685729997233,190.32402350008488,190.32402350008488,190.32402350008488,190.32402350008488,3,2.5975779998116195,192.94583890028298,192.94583890028298,192.94583890028298,192.94583890028298,192.94583890028298,192.94583890028298,192.94583890028298,192.94583890028298,None,None,None,178.7345485999249,178.7345485999249,179.73648140020669,181.8073313999921,,,,,,,,,,,,,,,,,15,001,2024-09-09_15h54.46.895,robot_cogshifting_sign,2022.2.5,59.87418051244051,
