sequence,is_target,condition,stimuli,block,is_block_beginning,is_block_ending,fname,subject
P,False,1,letter,1,True,False,robot_stimuli\\filler.mp4,20
T,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,20
C,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,20
R,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,20
R,True,1,letter,1,False,False,robot_stimuli\\filler.mp4,20
R,True,1,letter,1,False,True,robot_stimuli\\filler.mp4,20
N,False,2,letter,1,True,False,robot_stimuli\\filler.mp4,20
J,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,20
X,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,20
J,True,2,letter,1,False,False,robot_stimuli\\filler.mp4,20
X,True,2,letter,1,False,False,robot_stimuli\\filler.mp4,20
Q,False,2,letter,1,False,True,robot_stimuli\\filler.mp4,20
K,False,3,letter,1,True,False,robot_stimuli\\filler.mp4,20
S,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,20
M,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,20
K,True,3,letter,1,False,False,robot_stimuli\\filler.mp4,20
V,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,20
M,True,3,letter,1,False,True,robot_stimuli\\filler.mp4,20
R_Head_Z_Back,False,1,robot,2,True,False,robot_stimuli\R_Head_Z_Back.mp4,20
L_Head_Z_For,False,1,robot,2,False,False,robot_stimuli\L_Head_Z_For.mp4,20
L_Head_Z_For,True,1,robot,2,False,False,robot_stimuli\L_Head_Z_For.mp4,20
L_Head_Z_Back,False,1,robot,2,False,False,robot_stimuli\L_Head_Z_Back.mp4,20
R_Arm_X_For,False,1,robot,2,False,False,robot_stimuli\R_Arm_X_For.mp4,20
R_Arm_X_For,True,1,robot,2,False,True,robot_stimuli\R_Arm_X_For.mp4,20
L_Base_Y_Back,False,2,robot,2,True,False,robot_stimuli\L_Base_Y_Back.mp4,20
R_Head_Z_For,False,2,robot,2,False,False,robot_stimuli\R_Head_Z_For.mp4,20
L_Head_Y_For,False,2,robot,2,False,False,robot_stimuli\L_Head_Y_For.mp4,20
R_Arm_Z_For,False,2,robot,2,False,False,robot_stimuli\R_Arm_Z_For.mp4,20
L_Head_Y_For,True,2,robot,2,False,False,robot_stimuli\L_Head_Y_For.mp4,20
R_Arm_Z_For,True,2,robot,2,False,True,robot_stimuli\R_Arm_Z_For.mp4,20
L_Arm_Y_Back,False,3,robot,2,True,False,robot_stimuli\L_Arm_Y_Back.mp4,20
L_Base_Y_Back,False,3,robot,2,False,False,robot_stimuli\L_Base_Y_Back.mp4,20
R_Base_Y_For,False,3,robot,2,False,False,robot_stimuli\R_Base_Y_For.mp4,20
L_Arm_Y_Back,True,3,robot,2,False,False,robot_stimuli\L_Arm_Y_Back.mp4,20
R_Head_Y_For,False,3,robot,2,False,False,robot_stimuli\R_Head_Y_For.mp4,20
R_Base_Y_For,True,3,robot,2,False,True,robot_stimuli\R_Base_Y_For.mp4,20
