sequence,is_target,condition,stimuli,block,is_block_beginning,is_block_ending,fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_robot_intro_text.started,training_robot_intro_key.started,training_robot_intro_key.keys,training_robot_intro_key.rt,cross.started,cross.stopped,training_letter.started,training_robot_key.started,training_robot_question.started,training_robot_keys.started,training_letter.stopped,training_robot_key.keys,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_robot_intro_text.stopped,training_robot_intro_key.stopped,training_robot_key.rt,RSME_key.rt,training_robot_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,letter.started,key.started,letter.stopped,key.keys,block_intro_text.stopped,block_intro_key.stopped,key.rt,movie.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,15.98554919999998,15.98554919999998,f,0.453669600000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,001,2024-07-01_13h34.42.743,robot_nback_sign,2022.2.5,59.913066141027485,
,,,,,,,,,,,,,,,,,,,,,,,,,16.491793399999978,16.491793399999978,space,58.73832980000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,001,2024-07-01_13h34.42.743,robot_nback_sign,2022.2.5,59.913066141027485,
G,False,1,letter,1,True,False,robot_stimuli\\filler.mp4,18,0,0,0,0,0,0,0,0,,,,,,,,,,,,,75.2819365,75.2819365,space,70.20503550000004,145.5070988,146.84373970000001,146.84373970000001,146.84373970000001,146.84373970000001,146.84373970000001,149.1444406,None,149.1444406,149.1444406,149.1444406,149.1444406,149.1444406,149.1444406,149.1444406,149.1444406,None,None,None,,,,,,,,,,,,,,,,,,,,,,,18,001,2024-07-01_13h34.42.743,robot_nback_sign,2022.2.5,59.913066141027485,
F,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,18,0,0,0,0,0,1,1,1,,,,,,,,,,,,,149.1444406,149.1444406,None,,149.1444406,,150.2290903,150.2290903,150.2290903,150.2290903,152.2562808,None,152.2562808,152.2562808,152.2562808,152.2562808,152.2562808,152.2562808,152.2562808,152.2562808,None,None,None,149.1444406,149.1444406,,,,,,,,,,,,,,,,,,,,,18,001,2024-07-01_13h34.42.743,robot_nback_sign,2022.2.5,59.913066141027485,
G,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,18,0,0,0,0,0,2,2,2,,,,,,,,,,,,,152.2562808,152.2562808,None,,152.2562808,153.32280629999997,153.32280629999997,153.32280629999997,153.32280629999997,153.32280629999997,155.3538148,None,155.3538148,155.3538148,155.3538148,155.3538148,155.3538148,155.3538148,155.3538148,155.3538148,None,None,None,152.2562808,152.2562808,,,,,,,,,,,,,,,,,,,,,18,001,2024-07-01_13h34.42.743,robot_nback_sign,2022.2.5,59.913066141027485,
S,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,18,0,0,0,0,0,3,3,3,,,,,,,,,,,,,155.3538148,155.3538148,None,,155.3538148,156.42818999999997,156.42818999999997,156.42818999999997,156.42818999999997,156.42818999999997,158.46792390000002,n,158.46792390000002,158.46792390000002,158.46792390000002,158.46792390000002,158.46792390000002,158.46792390000002,158.46792390000002,158.46792390000002,None,None,None,155.3538148,155.3538148,1.675296899999978,,,,,,,,,,,,,,,,,,,,18,001,2024-07-01_13h34.42.743,robot_nback_sign,2022.2.5,59.913066141027485,
S,True,1,letter,1,False,False,robot_stimuli\\filler.mp4,18,0,0,0,0,0,4,4,4,,,,,,,,,,,,,158.46792390000002,158.46792390000002,None,,158.46792390000002,159.54655889999998,159.54655889999998,159.54655889999998,159.54655889999998,159.54655889999998,161.5803659,n,161.5803659,161.5803659,161.5803659,161.5803659,161.5803659,161.5803659,161.5803659,161.5803659,None,None,None,158.46792390000002,158.46792390000002,1.7165471000000139,,,,,,,,,,,,,,,,,,,,18,001,2024-07-01_13h34.42.743,robot_nback_sign,2022.2.5,59.913066141027485,
S,True,1,letter,1,False,True,robot_stimuli\\filler.mp4,18,0,0,0,0,0,5,5,5,,,,,,,,,,,,,161.5803659,161.5803659,None,,161.5803659,162.66414179999998,162.66414179999998,162.66414179999998,162.66414179999998,162.66414179999998,164.75189969999997,None,164.75189969999997,176.3441403,164.75189969999997,176.3441403,164.75189969999997,176.3441403,164.75189969999997,176.3441403,59.01234567901235,7.827646400000049,space,161.5803659,161.5803659,,11.534818299999984,,,,,,,,,,,,,,,,,,,18,001,2024-07-01_13h34.42.743,robot_nback_sign,2022.2.5,59.913066141027485,
M,False,2,letter,1,True,False,robot_stimuli\\filler.mp4,18,0,0,0,0,0,6,6,6,,,,,,,,,,,,,176.3441403,176.3441403,space,6.653899700000011,183.02373969999996,184.09925019999997,184.09925019999997,184.09925019999997,184.09925019999997,184.09925019999997,186.13027490000002,None,186.13027490000002,186.13027490000002,186.13027490000002,186.13027490000002,186.13027490000002,186.13027490000002,186.13027490000002,186.13027490000002,None,None,None,,,,,,,,,,,,,,,,,,,,,,,18,001,2024-07-01_13h34.42.743,robot_nback_sign,2022.2.5,59.913066141027485,
N,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,18,0,0,0,0,0,7,7,7,,,,,,,,,,,,,186.13027490000002,186.13027490000002,None,,186.13027490000002,187.213905,187.213905,187.213905,187.213905,187.213905,189.24621159999998,n,189.24621159999998,189.24621159999998,189.24621159999998,189.24621159999998,189.24621159999998,189.24621159999998,189.24621159999998,189.24621159999998,None,None,None,186.13027490000002,186.13027490000002,1.1202934000000369,,,,,,,,,,,,,,,,,,,,18,001,2024-07-01_13h34.42.743,robot_nback_sign,2022.2.5,59.913066141027485,
M,True,2,letter,1,False,False,robot_stimuli\\filler.mp4,18,0,0,0,0,0,8,8,8,,,,,,,,,,,,,189.24621159999998,189.24621159999998,None,,189.24621159999998,190.32720109999997,190.32720109999997,190.32720109999997,190.32720109999997,190.32720109999997,192.5541268,c,192.5541268,192.5541268,192.5541268,192.5541268,192.5541268,192.5541268,192.5541268,192.5541268,None,None,None,189.24621159999998,189.24621159999998,1.2157923000000324,,,,,,,,,,,,,,,,,,,,18,001,2024-07-01_13h34.42.743,robot_nback_sign,2022.2.5,59.913066141027485,
V,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,18,0,0,0,0,0,9,9,9,,,,,,,,,,,,,192.5541268,192.5541268,None,,192.5541268,193.62390319999997,193.62390319999997,193.62390319999997,193.62390319999997,193.62390319999997,195.65745319999996,None,195.65745319999996,195.65745319999996,195.65745319999996,195.65745319999996,195.65745319999996,195.65745319999996,195.65745319999996,195.65745319999996,None,None,None,192.5541268,192.5541268,,,,,,,,,,,,,,,,,,,,,18,001,2024-07-01_13h34.42.743,robot_nback_sign,2022.2.5,59.913066141027485,
