sequence,is_true,target,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,polygon.stopped,training_presentation_letter.started,training_presentation_letter.stopped,training_recall_letter.started,training_recall_key.started,training_recall_question.started,training_recall_answer.started,training_recall_key.keys,training_recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,RSME_key.rt,training_presentation_movie.started,training_recall_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_letter.started,presentation_letter.stopped,recall_letter.started,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,block_intro_text.stopped,block_intro_key.stopped,presentation_movie.started,recall_movie.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.350603999999294,12.350603999999294,e,20.91461860000345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,001,2024-07-30_15h07.21.332,robot_sternberg_sign,2022.2.5,60.08412979825871,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33154889999787,33.33154889999787,space,17.72669510000196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,001,2024-07-30_15h07.21.332,robot_sternberg_sign,2022.2.5,60.08412979825871,
"['Q', 'W']",True,W,2,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,51.085312899998826,51.085312899998826,space,3.333197100004327,60.30454819999795,61.39565779999975,58.09899089999817,60.30454819999795,61.39565779999975,61.39565779999975,61.39565779999975,61.39565779999975,c,1.798180700003286,63.41162769999937,63.41162769999937,63.41162769999937,63.41162769999937,63.41162769999937,63.41162769999937,63.41162769999937,63.41162769999937,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,18,001,2024-07-30_15h07.21.332,robot_sternberg_sign,2022.2.5,60.08412979825871,
"['R', 'C']",False,Q,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,63.41162769999937,63.41162769999937,None,,68.8104648999979,,66.60239589999765,68.8104648999979,69.88936420000027,69.88936420000027,69.88936420000027,69.88936420000027,n,1.8888053000009677,71.92134140000053,71.92134140000053,71.92134140000053,71.92134140000053,71.92134140000053,71.92134140000053,71.92134140000053,71.92134140000053,None,None,None,63.41162769999937,63.41162769999937,,,,,,,,,,,,,,,,,,,,,,,,,18,001,2024-07-30_15h07.21.332,robot_sternberg_sign,2022.2.5,60.08412979825871,
"['F', 'B']",True,B,2,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,71.92134140000053,71.92134140000053,None,,77.32148199999938,78.38896100000056,75.30445719999989,77.32148199999938,78.38896100000056,78.38896100000056,78.38896100000056,78.38896100000056,c,1.5327477999999246,80.08270479999919,91.49733750000087,80.08270479999919,91.49733750000087,80.08270479999919,91.49733750000087,80.08270479999919,91.49733750000087,2.222222222222217,3.9079253999989305,space,71.92134140000053,71.92134140000053,11.359059700003854,,,,,,,,,,,,,,,,,,,,,,,,18,001,2024-07-30_15h07.21.332,robot_sternberg_sign,2022.2.5,60.08412979825871,
"['T', 'Z', 'Q', 'H']",False,L,4,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,91.49733750000087,91.49733750000087,space,7.888468200002535,109.38612769999963,110.45935230000032,107.37395009999818,109.38612769999963,110.45935230000032,110.45935230000032,110.45935230000032,110.45935230000032,n,2.0476129000016954,112.687570099999,112.687570099999,112.687570099999,112.687570099999,112.687570099999,112.687570099999,112.687570099999,112.687570099999,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,18,001,2024-07-30_15h07.21.332,robot_sternberg_sign,2022.2.5,60.08412979825871,
"['R', 'H', 'W', 'G']",True,G,4,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,112.687570099999,112.687570099999,None,,122.28590930000064,123.35715680000067,120.27146319999883,122.28590930000064,123.35715680000067,123.35715680000067,123.35715680000067,123.35715680000067,c,1.525153800001135,124.9880951999985,124.9880951999985,124.9880951999985,124.9880951999985,124.9880951999985,124.9880951999985,124.9880951999985,124.9880951999985,None,None,None,112.687570099999,112.687570099999,,,,,,,,,,,,,,,,,,,,,,,,,18,001,2024-07-30_15h07.21.332,robot_sternberg_sign,2022.2.5,60.08412979825871,
"['Q', 'T', 'W', 'X']",True,W,4,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,124.9880951999985,124.9880951999985,None,,134.58767559999978,135.65601919999972,132.56840039999952,134.58767559999978,135.65601919999972,135.65601919999972,135.65601919999972,135.65601919999972,c,2.47496350000074,138.3169600000001,144.26092960000096,138.3169600000001,144.26092960000096,138.3169600000001,144.26092960000096,138.3169600000001,144.26092960000096,6.5432098765432105,3.5268234000031953,space,124.9880951999985,124.9880951999985,5.869450700003654,,,,,,,,,,,,,,,,,,,,,,,,18,001,2024-07-30_15h07.21.332,robot_sternberg_sign,2022.2.5,60.08412979825871,
"['W', 'Z', 'X', 'L', 'G', 'F']",True,L,6,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,144.26092960000096,144.26092960000096,space,10.189385200003017,168.669393199998,169.73901449999903,166.65747239999837,168.669393199998,169.73901449999903,169.73901449999903,169.73901449999903,169.73901449999903,c,1.453947199999675,171.3612334999998,171.3612334999998,171.3612334999998,171.3612334999998,171.3612334999998,171.3612334999998,171.3612334999998,171.3612334999998,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,18,001,2024-07-30_15h07.21.332,robot_sternberg_sign,2022.2.5,60.08412979825871,
"['H', 'X', 'R', 'F', 'P', 'N']",True,F,6,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,171.3612334999998,171.3612334999998,None,,185.7317617999979,186.80008919999818,183.52731969999877,185.7317617999979,186.80008919999818,186.80008919999818,186.80008919999818,186.80008919999818,c,4.881721800000378,191.8355737999991,191.8355737999991,191.8355737999991,191.8355737999991,191.8355737999991,191.8355737999991,191.8355737999991,191.8355737999991,None,None,None,171.3612334999998,171.3612334999998,,,,,,,,,,,,,,,,,,,,,,,,,18,001,2024-07-30_15h07.21.332,robot_sternberg_sign,2022.2.5,60.08412979825871,
"['S', 'V', 'R', 'Q', 'N', 'F']",False,C,6,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,191.8355737999991,191.8355737999991,None,,206.39678300000014,207.4755469999982,204.17637289999766,206.39678300000014,207.4755469999982,207.4755469999982,207.4755469999982,207.4755469999982,n,4.950330900002882,212.54345939999985,218.40672629999972,212.54345939999985,218.40672629999972,212.54345939999985,218.40672629999972,212.54345939999985,218.40672629999972,10.09259259259259,4.759685199998785,space,191.8355737999991,191.8355737999991,5.801609600002848,,,,,,,,,,,,,,,,,,,,,,,,18,001,2024-07-30_15h07.21.332,robot_sternberg_sign,2022.2.5,60.08412979825871,
"['L_Torso_Y_Back', 'L_Base_Z_For']",True,L_Torso_Y_Back,2,robot,2,True,False,"['robot_stimuli\\L_Torso_Y_Back.mp4', 'robot_stimuli\\L_Base_Z_For.mp4']",robot_stimuli\L_Torso_Y_Back.mp4,18,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,218.40672629999972,218.40672629999972,space,1.6758557000030123,228.44880189999822,229.55052649999925,,,,229.55052649999925,229.55052649999925,229.55052649999925,c,5.53176550000353,235.124626599998,235.124626599998,235.124626599998,235.124626599998,235.124626599998,235.124626599998,235.124626599998,235.124626599998,None,None,None,,,,224.80551879999985,229.55052649999925,,,,,,,,,,,,,,,,,,,,,,18,001,2024-07-30_15h07.21.332,robot_sternberg_sign,2022.2.5,60.08412979825871,
"['L_Arm_Z_For', 'L_Head_Z_Back']",False,R_Torso_Z_For,2,robot,2,False,False,"['robot_stimuli\\L_Arm_Z_For.mp4', 'robot_stimuli\\L_Head_Z_Back.mp4']",robot_stimuli\R_Torso_Z_For.mp4,18,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,235.124626599998,235.124626599998,None,,243.5814563999993,244.6768145999995,,,,244.6768145999995,244.6768145999995,244.6768145999995,n,2.629235399999743,248.3168627999985,248.3168627999985,248.3168627999985,248.3168627999985,248.3168627999985,248.3168627999985,248.3168627999985,248.3168627999985,None,None,None,235.124626599998,235.124626599998,,239.9388515999999,244.6768145999995,,,,,,,,,,,,,,,,,,,,,,18,001,2024-07-30_15h07.21.332,robot_sternberg_sign,2022.2.5,60.08412979825871,
