sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,cue_before_text.started,training_presentation_letter.started,training_presentation_letter.stopped,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,polygon.stopped,cue_before_text.stopped,RSME_key.rt,training_presentation_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_letter.started,presentation_letter.stopped,block_intro_text.stopped,block_intro_key.stopped,presentation_movie.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.31721769971773,11.31721769971773,e,2.5316666001453996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,001,2024-09-09_13h19.26.281,robot_cogshifting_sign,2022.2.5,59.875901168450234,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.904641199856997,13.904641199856997,space,82.07287310017273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,001,2024-09-09_13h19.26.281,robot_cogshifting_sign,2022.2.5,59.875901168450234,
"['blue_top_M_0', 'red_top_P_45', 'blue_left_Z_45', 'blue_top_D_45']","{'color': 'red_top_P_45', 'position': 'blue_left_Z_45', 'orientation': 'blue_top_M_0'}",orientation,['orientation'],blue_top_M_0,0,1,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,14,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,96.03289119992405,96.03289119992405,space,4.799783800262958,100.85906399972737,101.86102059995756,112.71574539970607,114.93672230001539,114.93672230001539,114.93672230001539,114.93672230001539,1,2.673378699924797,117.65875969966874,117.65875969966874,117.65875969966874,117.65875969966874,117.65875969966874,117.65875969966874,117.65875969966874,117.65875969966874,None,None,None,,,,,,,,,,,,,,,,,,,,,14,001,2024-09-09_13h19.26.281,robot_cogshifting_sign,2022.2.5,59.875901168450234,
"['blue_bottom_R_0', 'red_left_H_0', 'red_bottom_X_45', 'red_bottom_S_0']","{'color': 'blue_bottom_R_0', 'position': 'red_left_H_0', 'orientation': 'red_bottom_X_45'}",position,['position'],red_left_H_0,1,1,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,14,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,117.65875969966874,117.65875969966874,None,,117.65875969966874,118.66076099965721,127.2443526997231,129.46535219997168,129.46535219997168,129.46535219997168,129.46535219997168,2,0.7671338999643922,130.25020859995857,130.25020859995857,130.25020859995857,130.25020859995857,130.25020859995857,130.25020859995857,130.25020859995857,130.25020859995857,None,None,None,117.65875969966874,117.65875969966874,,,,,,,,,,,,,,,,,,,14,001,2024-09-09_13h19.26.281,robot_cogshifting_sign,2022.2.5,59.875901168450234,
"['blue_left_Q_45', 'red_left_X_0', 'red_bottom_F_45', 'red_left_S_45']","{'color': 'blue_left_Q_45', 'position': 'red_bottom_F_45', 'orientation': 'red_left_X_0'}",color,['color'],blue_left_Q_45,0,1,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,14,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,130.25020859995857,130.25020859995857,None,,130.25020859995857,131.25218810001388,139.83587679965422,142.05678719980642,142.05678719980642,142.05678719980642,142.05678719980642,1,0.4159602001309395,142.52435279963538,147.43398369988427,142.52435279963538,147.43398369988427,142.52435279963538,147.43398369988427,142.52435279963538,147.43398369988427,0.23809523809523725,2.948989599943161,space,130.25020859995857,130.25020859995857,131.25218810001388,133.3230069000274,4.828431700356305,,,,,,,,,,,,,,,,14,001,2024-09-09_13h19.26.281,robot_cogshifting_sign,2022.2.5,59.875901168450234,
"['blue_top_L_0', 'blue_left_W_0', 'blue_top_F_45', 'red_top_F_0']","{'color': 'red_top_F_0', 'position': 'blue_left_W_0', 'orientation': 'blue_top_F_45'}",position,"['orientation', 'position']",blue_left_W_0,1,2,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,14,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,147.43398369988427,147.43398369988427,space,3.254840500187129,150.7071392997168,151.7091285996139,160.27602980006486,162.3133127000183,162.3133127000183,162.3133127000183,162.3133127000183,2,4.0399451004341245,166.37132749985904,166.37132749985904,166.37132749985904,166.37132749985904,166.37132749985904,166.37132749985904,166.37132749985904,166.37132749985904,None,None,None,,,,,,,,,,,,,,,,,,,,,14,001,2024-09-09_13h19.26.281,robot_cogshifting_sign,2022.2.5,59.875901168450234,
"['blue_bottom_R_0', 'red_bottom_N_0', 'red_bottom_D_45', 'red_top_B_0']","{'color': 'blue_bottom_R_0', 'position': 'red_top_B_0', 'orientation': 'red_bottom_D_45'}",orientation,"['color', 'orientation']",red_bottom_D_45,2,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,14,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,166.37132749985904,166.37132749985904,None,,166.37132749985904,167.37325639976189,176.1572382999584,178.37827289989218,178.37827289989218,178.37827289989218,178.37827289989218,3,2.3917875001206994,180.7997051998973,180.7997051998973,180.7997051998973,180.7997051998973,180.7997051998973,180.7997051998973,180.7997051998973,180.7997051998973,None,None,None,166.37132749985904,166.37132749985904,167.37325639976189,169.44464210001752,,,,,,,,,,,,,,,,,14,001,2024-09-09_13h19.26.281,robot_cogshifting_sign,2022.2.5,59.875901168450234,
"['blue_bottom_W_45', 'red_bottom_G_0', 'blue_left_P_0', 'blue_bottom_W_0']","{'color': 'red_bottom_G_0', 'position': 'blue_left_P_0', 'orientation': 'blue_bottom_W_45'}",color,"['color', 'position']",red_bottom_G_0,1,2,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,14,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,180.7997051998973,180.7997051998973,None,,180.7997051998973,181.80165769997984,190.36853959970176,192.60630430001765,192.60630430001765,192.60630430001765,192.60630430001765,2,1.530562199652195,194.19268970005214,198.95214469963685,194.19268970005214,198.95214469963685,194.19268970005214,198.95214469963685,194.19268970005214,198.95214469963685,19.92063492063492,3.6337366001680493,space,180.7997051998973,180.7997051998973,181.80165769997984,183.87243059976026,4.705479799769819,,,,,,,,,,,,,,,,14,001,2024-09-09_13h19.26.281,robot_cogshifting_sign,2022.2.5,59.875901168450234,
"['red_left_K_45', 'blue_right_R_45', 'red_right_W_0', 'red_right_C_45']","{'color': 'blue_right_R_45', 'position': 'red_left_K_45', 'orientation': 'red_right_W_0'}",position,"['color', 'orientation', 'position']",red_left_K_45,0,3,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,14,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,198.95214469963685,198.95214469963685,space,20.8970161001198,219.87660779990256,220.87855280004442,229.44542489992455,231.482802500017,231.482802500017,231.482802500017,231.482802500017,1,1.9982666000723839,233.50344299990684,233.50344299990684,233.50344299990684,233.50344299990684,233.50344299990684,233.50344299990684,233.50344299990684,233.50344299990684,None,None,None,,,,,,,,,,,,,,,,,,,,,14,001,2024-09-09_13h19.26.281,robot_cogshifting_sign,2022.2.5,59.875901168450234,
"['red_left_S_0', 'red_bottom_K_45', 'red_bottom_C_0', 'blue_bottom_N_0']","{'color': 'blue_bottom_N_0', 'position': 'red_left_S_0', 'orientation': 'red_bottom_K_45'}",orientation,"['color', 'orientation', 'position']",red_bottom_K_45,1,3,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,14,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,233.50344299990684,233.50344299990684,None,,233.50344299990684,234.50543219968677,243.07229879964143,245.2770566996187,245.2770566996187,245.2770566996187,245.2770566996187,2,2.3481779997237027,247.6479326998815,247.6479326998815,247.6479326998815,247.6479326998815,247.6479326998815,247.6479326998815,247.6479326998815,247.6479326998815,None,None,None,233.50344299990684,233.50344299990684,234.50543219968677,236.59288199990988,,,,,,,,,,,,,,,,,14,001,2024-09-09_13h19.26.281,robot_cogshifting_sign,2022.2.5,59.875901168450234,
