sequence,is_target,condition,stimuli,block,is_block_beginning,is_block_ending,fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_robot_intro_text.started,training_robot_intro_key.started,training_robot_intro_key.keys,training_robot_intro_key.rt,cross.started,cross.stopped,training_letter.started,training_robot_key.started,training_robot_question.started,training_robot_keys.started,training_letter.stopped,training_robot_key.keys,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_robot_intro_text.stopped,training_robot_intro_key.stopped,training_robot_key.rt,RSME_key.rt,training_robot_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,movie.started,key.started,key.keys,block_intro_text.stopped,block_intro_key.stopped,key.rt,letter.started,letter.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,25.09216729999997,25.09216729999997,e,1383.6857736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-05-30_10h23.58.972,robot_nback_sign,2022.2.5,60.00056400528521,
,,,,,,,,,,,,,,,,,,,,,,,,,1408.8408239999999,1408.8408239999999,space,48.19273050000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-05-30_10h23.58.972,robot_nback_sign,2022.2.5,60.00056400528521,
N,False,1,letter,2,True,False,robot_stimuli\\filler.mp4,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1457.0689894000002,1457.0689894000002,space,2.0772766999999703,1459.1715906999998,1460.6735964999998,1460.6735964999998,1460.6735964999998,1460.6735964999998,1460.6735964999998,1462.9036345,None,1462.9036345,1462.9036345,1462.9036345,1462.9036345,1462.9036345,1462.9036345,1462.9036345,1462.9036345,None,None,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-05-30_10h23.58.972,robot_nback_sign,2022.2.5,60.00056400528521,
N,True,1,letter,2,False,False,robot_stimuli\\filler.mp4,1,0,0,0,0,0,1,1,1,,,,,,,,,,,,,1462.9036345,1462.9036345,None,,1462.9036345,1463.967972,1463.967972,1463.967972,1463.967972,1463.967972,1465.9989426000002,c,1465.9989426000002,1465.9989426000002,1465.9989426000002,1465.9989426000002,1465.9989426000002,1465.9989426000002,1465.9989426000002,1465.9989426000002,None,None,None,1462.9036345,1462.9036345,1.2664645000000974,,,,,,,,,,,,,,,,,,,,1,001,2024-05-30_10h23.58.972,robot_nback_sign,2022.2.5,60.00056400528521,
Z,False,1,letter,2,False,False,robot_stimuli\\filler.mp4,1,0,0,0,0,0,2,2,2,,,,,,,,,,,,,1465.9989426000002,1465.9989426000002,None,,1465.9989426000002,1467.0764097,1467.0764097,1467.0764097,1467.0764097,1467.0764097,1469.1119094,n,1469.1119094,1469.1119094,1469.1119094,1469.1119094,1469.1119094,1469.1119094,1469.1119094,1469.1119094,None,None,None,1465.9989426000002,1465.9989426000002,1.621788699999911,,,,,,,,,,,,,,,,,,,,1,001,2024-05-30_10h23.58.972,robot_nback_sign,2022.2.5,60.00056400528521,
Z,True,1,letter,2,False,False,robot_stimuli\\filler.mp4,1,0,0,0,0,0,3,3,3,,,,,,,,,,,,,1469.1119094,1469.1119094,None,,1469.1119094,1470.1901128999998,1470.1901128999998,1470.1901128999998,1470.1901128999998,1470.1901128999998,1472.4257533999998,c,1472.4257533999998,1472.4257533999998,1472.4257533999998,1472.4257533999998,1472.4257533999998,1472.4257533999998,1472.4257533999998,1472.4257533999998,None,None,None,1469.1119094,1469.1119094,0.8921157000000903,,,,,,,,,,,,,,,,,,,,1,001,2024-05-30_10h23.58.972,robot_nback_sign,2022.2.5,60.00056400528521,
X,False,1,letter,2,False,False,robot_stimuli\\filler.mp4,1,0,0,0,0,0,4,4,4,,,,,,,,,,,,,1472.4257533999998,1472.4257533999998,None,,1472.4257533999998,1473.5184939,1473.5184939,1473.5184939,1473.5184939,1473.5184939,1475.5520069,n,1475.5520069,1475.5520069,1475.5520069,1475.5520069,1475.5520069,1475.5520069,1475.5520069,1475.5520069,None,None,None,1472.4257533999998,1472.4257533999998,0.8837122999999565,,,,,,,,,,,,,,,,,,,,1,001,2024-05-30_10h23.58.972,robot_nback_sign,2022.2.5,60.00056400528521,
L,False,1,letter,2,False,True,robot_stimuli\\filler.mp4,1,0,0,0,0,0,5,5,5,,,,,,,,,,,,,1475.5520069,1475.5520069,None,,1475.5520069,1476.6227015,1476.6227015,1476.6227015,1476.6227015,1476.6227015,1478.9200056999998,n,1478.9200056999998,1489.6213149999999,1478.9200056999998,1489.6213149999999,1478.9200056999998,1489.6213149999999,1478.9200056999998,1489.6213149999999,16.882716049382715,6.4956443999999465,space,1475.5520069,1475.5520069,0.6752987999999505,10.6411746,,,,,,,,,,,,,,,,,,,1,001,2024-05-30_10h23.58.972,robot_nback_sign,2022.2.5,60.00056400528521,
N,False,2,letter,2,True,False,robot_stimuli\\filler.mp4,1,0,0,0,0,0,6,6,6,,,,,,,,,,,,,1489.6213149999999,1489.6213149999999,space,11.252274099999909,1500.9049865000002,1501.9750515,1501.9750515,1501.9750515,1501.9750515,1501.9750515,1504.2053215,None,1504.2053215,1504.2053215,1504.2053215,1504.2053215,1504.2053215,1504.2053215,1504.2053215,1504.2053215,None,None,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-05-30_10h23.58.972,robot_nback_sign,2022.2.5,60.00056400528521,
X,False,2,letter,2,False,False,robot_stimuli\\filler.mp4,1,0,0,0,0,0,7,7,7,,,,,,,,,,,,,1504.2053215,1504.2053215,None,,1504.2053215,1505.2742959000002,1505.2742959000002,1505.2742959000002,1505.2742959000002,1505.2742959000002,1507.5071494,None,1507.5071494,1507.5071494,1507.5071494,1507.5071494,1507.5071494,1507.5071494,1507.5071494,1507.5071494,None,None,None,1504.2053215,1504.2053215,,,,,,,,,,,,,,,,,,,,,1,001,2024-05-30_10h23.58.972,robot_nback_sign,2022.2.5,60.00056400528521,
