sequence,is_target,condition,stimuli,block,is_block_beginning,is_block_ending,fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_robot_intro_text.started,training_robot_intro_key.started,training_robot_intro_key.keys,training_robot_intro_key.rt,cross.started,cross.stopped,training_letter.started,training_robot_key.started,training_robot_question.started,training_robot_keys.started,training_letter.stopped,training_robot_key.keys,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_robot_intro_text.stopped,training_robot_intro_key.stopped,training_robot_key.rt,RSME_key.rt,training_robot_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,letter.started,key.started,letter.stopped,key.keys,block_intro_text.stopped,block_intro_key.stopped,key.rt,movie.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,14.359330399999976,14.359330399999976,f,1.6335708000000295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,001,2024-06-21_09h50.19.494,robot_nback_sign,2022.2.5,59.98760656045998,
,,,,,,,,,,,,,,,,,,,,,,,,,16.04993969999998,16.04993969999998,space,29.054445699999974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,001,2024-06-21_09h50.19.494,robot_nback_sign,2022.2.5,59.98760656045998,
H,False,1,letter,1,True,False,robot_stimuli\\filler.mp4,16,0,0,0,0,0,0,0,0,,,,,,,,,,,,,45.14760230000002,45.14760230000002,space,4.596172199999955,49.76302320000002,51.25725369999998,51.25725369999998,51.25725369999998,51.25725369999998,51.25725369999998,53.571941100000004,None,53.571941100000004,53.571941100000004,53.571941100000004,53.571941100000004,53.571941100000004,53.571941100000004,53.571941100000004,53.571941100000004,None,None,None,,,,,,,,,,,,,,,,,,,,,,,16,001,2024-06-21_09h50.19.494,robot_nback_sign,2022.2.5,59.98760656045998,
H,True,1,letter,1,False,False,robot_stimuli\\filler.mp4,16,0,0,0,0,0,1,1,1,,,,,,,,,,,,,53.571941100000004,53.571941100000004,None,,53.571941100000004,,54.64231280000001,54.64231280000001,54.64231280000001,54.64231280000001,56.67879730000004,c,56.67879730000004,56.67879730000004,56.67879730000004,56.67879730000004,56.67879730000004,56.67879730000004,56.67879730000004,56.67879730000004,None,None,None,53.571941100000004,53.571941100000004,1.0054235999999719,,,,,,,,,,,,,,,,,,,,16,001,2024-06-21_09h50.19.494,robot_nback_sign,2022.2.5,59.98760656045998,
H,True,1,letter,1,False,False,robot_stimuli\\filler.mp4,16,0,0,0,0,0,2,2,2,,,,,,,,,,,,,56.67879730000004,56.67879730000004,None,,56.67879730000004,57.742267800000036,57.742267800000036,57.742267800000036,57.742267800000036,57.742267800000036,59.77339600000005,c,59.77339600000005,59.77339600000005,59.77339600000005,59.77339600000005,59.77339600000005,59.77339600000005,59.77339600000005,59.77339600000005,None,None,None,56.67879730000004,56.67879730000004,1.1605313000000024,,,,,,,,,,,,,,,,,,,,16,001,2024-06-21_09h50.19.494,robot_nback_sign,2022.2.5,59.98760656045998,
X,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,16,0,0,0,0,0,3,3,3,,,,,,,,,,,,,59.77339600000005,59.77339600000005,None,,59.77339600000005,60.846272,60.846272,60.846272,60.846272,60.846272,62.87576420000005,n,62.87576420000005,62.87576420000005,62.87576420000005,62.87576420000005,62.87576420000005,62.87576420000005,62.87576420000005,62.87576420000005,None,None,None,59.77339600000005,59.77339600000005,1.7045115999999325,,,,,,,,,,,,,,,,,,,,16,001,2024-06-21_09h50.19.494,robot_nback_sign,2022.2.5,59.98760656045998,
Q,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,16,0,0,0,0,0,4,4,4,,,,,,,,,,,,,62.87576420000005,62.87576420000005,None,,62.87576420000005,63.95074710000006,63.95074710000006,63.95074710000006,63.95074710000006,63.95074710000006,66.18516460000001,n,66.18516460000001,66.18516460000001,66.18516460000001,66.18516460000001,66.18516460000001,66.18516460000001,66.18516460000001,66.18516460000001,None,None,None,62.87576420000005,62.87576420000005,1.5536130000000412,,,,,,,,,,,,,,,,,,,,16,001,2024-06-21_09h50.19.494,robot_nback_sign,2022.2.5,59.98760656045998,
S,False,1,letter,1,False,True,robot_stimuli\\filler.mp4,16,0,0,0,0,0,5,5,5,,,,,,,,,,,,,66.18516460000001,66.18516460000001,None,,66.18516460000001,67.26508420000005,67.26508420000005,67.26508420000005,67.26508420000005,67.26508420000005,69.55641609999998,n,69.55641609999998,82.98484540000004,69.55641609999998,82.98484540000004,69.55641609999998,82.98484540000004,69.55641609999998,82.98484540000004,24.907407407407405,10.330185799999981,space,66.18516460000001,66.18516460000001,0.8950856999999814,13.363499300000058,,,,,,,,,,,,,,,,,,,16,001,2024-06-21_09h50.19.494,robot_nback_sign,2022.2.5,59.98760656045998,
P,False,2,letter,1,True,False,robot_stimuli\\filler.mp4,16,0,0,0,0,0,6,6,6,,,,,,,,,,,,,82.98484540000004,82.98484540000004,space,2.0715670000000728,85.07970620000003,86.15481699999998,86.15481699999998,86.15481699999998,86.15481699999998,86.15481699999998,88.37487820000001,None,88.37487820000001,88.37487820000001,88.37487820000001,88.37487820000001,88.37487820000001,88.37487820000001,88.37487820000001,88.37487820000001,None,None,None,,,,,,,,,,,,,,,,,,,,,,,16,001,2024-06-21_09h50.19.494,robot_nback_sign,2022.2.5,59.98760656045998,
X,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,16,0,0,0,0,0,7,7,7,,,,,,,,,,,,,88.37487820000001,88.37487820000001,None,,88.37487820000001,89.44492839999998,89.44492839999998,89.44492839999998,89.44492839999998,89.44492839999998,91.47256430000004,n,91.47256430000004,91.47256430000004,91.47256430000004,91.47256430000004,91.47256430000004,91.47256430000004,91.47256430000004,91.47256430000004,None,None,None,88.37487820000001,88.37487820000001,1.843664800000056,,,,,,,,,,,,,,,,,,,,16,001,2024-06-21_09h50.19.494,robot_nback_sign,2022.2.5,59.98760656045998,
