sequence,is_true,target,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,polygon.stopped,training_presentation_letter.started,training_presentation_letter.stopped,training_recall_letter.started,training_recall_key.started,training_recall_question.started,training_recall_answer.started,training_recall_key.keys,training_recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,RSME_key.rt,training_presentation_movie.started,training_recall_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_letter.started,presentation_letter.stopped,recall_letter.started,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,block_intro_text.stopped,block_intro_key.stopped,presentation_movie.started,recall_movie.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.361823499999986,23.361823499999986,f,808.2756085000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2024-06-13_13h25.53.719,robot_sternberg_sign,2022.2.5,59.96537599189902,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,831.6942899000001,831.6942899000001,space,148.03069399999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2024-06-13_13h25.53.719,robot_sternberg_sign,2022.2.5,59.96537599189902,
"['C', 'J']",True,J,2,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,979.7689832000001,979.7689832000001,space,1.1329140999999083,986.5272399,987.6130552,984.5081660999999,986.5272399,987.6130552,987.6130552,987.6130552,987.6130552,c,1.1998883999999919,989.1429948,989.1429948,989.1429948,989.1429948,989.1429948,989.1429948,989.1429948,989.1429948,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2024-06-13_13h25.53.719,robot_sternberg_sign,2022.2.5,59.96537599189902,
"['N', 'T']",True,T,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,2,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,989.1429948,989.1429948,None,,994.543584,995.6099701,992.5218026,994.543584,995.6099701,995.6099701,995.6099701,995.6099701,c,0.9142276000000322,996.6431319000001,996.6431319000001,996.6431319000001,996.6431319000001,996.6431319000001,996.6431319000001,996.6431319000001,996.6431319000001,None,None,None,989.1429948,989.1429948,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2024-06-13_13h25.53.719,robot_sternberg_sign,2022.2.5,59.96537599189902,
"['Q', 'M']",False,G,2,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,2,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,996.6431319000001,996.6431319000001,None,,1002.0352107000001,1003.1136895,999.8167843000001,1002.0352107000001,1003.1136895,1003.1136895,1003.1136895,1003.1136895,n,0.9636657999999727,1004.1984319000001,1007.4306036,1004.1984319000001,1007.4306036,1004.1984319000001,1007.4306036,1004.1984319000001,1007.4306036,9.475308641975309,2.521224600000096,space,996.6431319000001,996.6431319000001,3.182751399999944,,,,,,,,,,,,,,,,,,,,,,,,2,001,2024-06-13_13h25.53.719,robot_sternberg_sign,2022.2.5,59.96537599189902,
"['C', 'K', 'Q', 'J']",False,H,4,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,2,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,1007.4306036,1007.4306036,space,1.0553486999999961,1018.3251874,1019.3946040999999,1016.3096221000001,1018.3251874,1019.3946040999999,1019.3946040999999,1019.3946040999999,1019.3946040999999,n,0.9539979000001324,1020.4199988,1020.4199988,1020.4199988,1020.4199988,1020.4199988,1020.4199988,1020.4199988,1020.4199988,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2024-06-13_13h25.53.719,robot_sternberg_sign,2022.2.5,59.96537599189902,
"['F', 'H', 'P', 'X']",True,F,4,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,2,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,1020.4199988,1020.4199988,None,,1030.0322774,1031.107739,1028.008709,1030.0322774,1031.107739,1031.107739,1031.107739,1031.107739,c,1.3939009999999428,1032.7388965,1032.7388965,1032.7388965,1032.7388965,1032.7388965,1032.7388965,1032.7388965,1032.7388965,None,None,None,1020.4199988,1020.4199988,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2024-06-13_13h25.53.719,robot_sternberg_sign,2022.2.5,59.96537599189902,
"['D', 'C', 'B', 'P']",True,B,4,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,2,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,1032.7388965,1032.7388965,None,,1042.5220488,1043.5962661,1040.5064082000001,1042.5220488,1043.5962661,1043.5962661,1043.5962661,1043.5962661,c,1.1213156000001447,1044.854493,1047.9115296,1044.854493,1047.9115296,1044.854493,1047.9115296,1044.854493,1047.9115296,20.123456790123452,2.09224990000007,space,1032.7388965,1032.7388965,2.9901344000000165,,,,,,,,,,,,,,,,,,,,,,,,2,001,2024-06-13_13h25.53.719,robot_sternberg_sign,2022.2.5,59.96537599189902,
"['L', 'J', 'X', 'F', 'N', 'B']",False,T,6,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,2,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,1047.9115296,1047.9115296,space,72.31694670000005,1134.2325552,1135.3137023,1132.219067,1134.2325552,1135.3137023,1135.3137023,1135.3137023,1135.3137023,n,0.5308487000000071,1135.9404426,1135.9404426,1135.9404426,1135.9404426,1135.9404426,1135.9404426,1135.9404426,1135.9404426,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2024-06-13_13h25.53.719,robot_sternberg_sign,2022.2.5,59.96537599189902,
"['W', 'K', 'Q', 'M', 'P', 'C']",True,C,6,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,2,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,1135.9404426,1135.9404426,None,,1150.4924614,1151.5485531,1148.2815893,1150.4924614,1151.5485531,1151.5485531,1151.5485531,1151.5485531,c,0.6645716000000732,1152.3806964,1152.3806964,1152.3806964,1152.3806964,1152.3806964,1152.3806964,1152.3806964,1152.3806964,None,None,None,1135.9404426,1135.9404426,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2024-06-13_13h25.53.719,robot_sternberg_sign,2022.2.5,59.96537599189902,
