sequence,is_target,condition,stimuli,block,is_block_beginning,is_block_ending,fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_robot_intro_text.started,training_robot_intro_key.started,training_robot_intro_key.keys,training_robot_intro_key.rt,cross.started,cross.stopped,training_letter.started,training_robot_key.started,training_robot_question.started,training_robot_keys.started,training_letter.stopped,training_robot_key.keys,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_robot_intro_text.stopped,training_robot_intro_key.stopped,training_robot_key.rt,RSME_key.rt,training_robot_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,letter.started,key.started,letter.stopped,key.keys,block_intro_text.stopped,block_intro_key.stopped,key.rt,movie.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,15.990609700000022,15.990609700000022,f,1138.226468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2024-05-27_15h22.40.989,robot_nback_sign,2022.2.5,59.99872802696631,
,,,,,,,,,,,,,,,,,,,,,,,,,1154.2754786,1154.2754786,space,26.86323960000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2024-05-27_15h22.40.989,robot_nback_sign,2022.2.5,59.99872802696631,
L,False,1,letter,1,True,False,robot_stimuli\\filler.mp4,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1181.1975481,1181.1975481,space,17.22052450000004,1198.4367592,1199.9500808,1199.9500808,1199.9500808,1199.9500808,1199.9500808,1202.25545,None,1202.25545,1202.25545,1202.25545,1202.25545,1202.25545,1202.25545,1202.25545,1202.25545,None,None,None,,,,,,,,,,,,,,,,,,,,,,,2,001,2024-05-27_15h22.40.989,robot_nback_sign,2022.2.5,59.99872802696631,
L,True,1,letter,1,False,False,robot_stimuli\\filler.mp4,2,0,0,0,0,0,1,1,1,,,,,,,,,,,,,1202.25545,1202.25545,None,,1202.25545,,1203.3335054000001,1203.3335054000001,1203.3335054000001,1203.3335054000001,1205.3693414,None,1205.3693414,1205.3693414,1205.3693414,1205.3693414,1205.3693414,1205.3693414,1205.3693414,1205.3693414,None,None,None,1202.25545,1202.25545,,,,,,,,,,,,,,,,,,,,,2,001,2024-05-27_15h22.40.989,robot_nback_sign,2022.2.5,59.99872802696631,
B,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,2,0,0,0,0,0,2,2,2,,,,,,,,,,,,,1205.3693414,1205.3693414,None,,1205.3693414,1206.4379266,1206.4379266,1206.4379266,1206.4379266,1206.4379266,1208.6688116,n,1208.6688116,1208.6688116,1208.6688116,1208.6688116,1208.6688116,1208.6688116,1208.6688116,1208.6688116,None,None,None,1205.3693414,1205.3693414,0.9246492000000046,,,,,,,,,,,,,,,,,,,,2,001,2024-05-27_15h22.40.989,robot_nback_sign,2022.2.5,59.99872802696631,
B,True,1,letter,1,False,False,robot_stimuli\\filler.mp4,2,0,0,0,0,0,3,3,3,,,,,,,,,,,,,1208.6688116,1208.6688116,None,,1208.6688116,1209.7333427,1209.7333427,1209.7333427,1209.7333427,1209.7333427,1211.7682035,c,1211.7682035,1211.7682035,1211.7682035,1211.7682035,1211.7682035,1211.7682035,1211.7682035,1211.7682035,None,None,None,1208.6688116,1208.6688116,1.0922726999999952,,,,,,,,,,,,,,,,,,,,2,001,2024-05-27_15h22.40.989,robot_nback_sign,2022.2.5,59.99872802696631,
Z,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,2,0,0,0,0,0,4,4,4,,,,,,,,,,,,,1211.7682035,1211.7682035,None,,1211.7682035,1212.8407803,1212.8407803,1212.8407803,1212.8407803,1212.8407803,1215.0731005,n,1215.0731005,1215.0731005,1215.0731005,1215.0731005,1215.0731005,1215.0731005,1215.0731005,1215.0731005,None,None,None,1211.7682035,1211.7682035,0.7531220999999562,,,,,,,,,,,,,,,,,,,,2,001,2024-05-27_15h22.40.989,robot_nback_sign,2022.2.5,59.99872802696631,
T,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,2,0,0,0,0,0,5,5,5,,,,,,,,,,,,,1215.0731005,1215.0731005,None,,1215.0731005,1216.1581322,1216.1581322,1216.1581322,1216.1581322,1216.1581322,1218.3888809,n,1218.3888809,1218.3888809,1218.3888809,1218.3888809,1218.3888809,1218.3888809,1218.3888809,1218.3888809,None,None,None,1215.0731005,1215.0731005,1.4359153999999137,,,,,,,,,,,,,,,,,,,,2,001,2024-05-27_15h22.40.989,robot_nback_sign,2022.2.5,59.99872802696631,
G,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,2,0,0,0,0,0,6,6,6,,,,,,,,,,,,,1218.3888809,1218.3888809,None,,1218.3888809,,1219.4717539,1219.4717539,1219.4717539,1219.4717539,1221.7019413,n,1221.7019413,1221.7019413,1221.7019413,1221.7019413,1221.7019413,1221.7019413,1221.7019413,1221.7019413,None,None,None,1218.3888809,1218.3888809,1.1459261000000254,,,,,,,,,,,,,,,,,,,,2,001,2024-05-27_15h22.40.989,robot_nback_sign,2022.2.5,59.99872802696631,
G,True,1,letter,1,False,False,robot_stimuli\\filler.mp4,2,0,0,0,0,0,7,7,7,,,,,,,,,,,,,1221.7019413,1221.7019413,None,,1221.7019413,1222.7709191000001,1222.7709191000001,1222.7709191000001,1222.7709191000001,1222.7709191000001,1224.8031182,c,1224.8031182,1224.8031182,1224.8031182,1224.8031182,1224.8031182,1224.8031182,1224.8031182,1224.8031182,None,None,None,1221.7019413,1221.7019413,0.7673155000000236,,,,,,,,,,,,,,,,,,,,2,001,2024-05-27_15h22.40.989,robot_nback_sign,2022.2.5,59.99872802696631,
