sequence,is_target,condition,stimuli,block,is_block_beginning,is_block_ending,fname,subject
L,False,1,letter,1,True,False,robot_stimuli\\filler.mp4,2
L,True,1,letter,1,False,False,robot_stimuli\\filler.mp4,2
B,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,2
B,True,1,letter,1,False,False,robot_stimuli\\filler.mp4,2
Z,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,2
T,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,2
G,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,2
G,True,1,letter,1,False,False,robot_stimuli\\filler.mp4,2
N,False,1,letter,1,False,True,robot_stimuli\\filler.mp4,2
C,False,2,letter,1,True,False,robot_stimuli\\filler.mp4,2
M,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,2
Q,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,2
M,True,2,letter,1,False,False,robot_stimuli\\filler.mp4,2
Q,True,2,letter,1,False,False,robot_stimuli\\filler.mp4,2
Q,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,2
Z,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,2
Z,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,2
Z,True,2,letter,1,False,True,robot_stimuli\\filler.mp4,2
Q,False,3,letter,1,True,False,robot_stimuli\\filler.mp4,2
V,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,2
R,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,2
D,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,2
V,True,3,letter,1,False,False,robot_stimuli\\filler.mp4,2
D,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,2
D,True,3,letter,1,False,False,robot_stimuli\\filler.mp4,2
G,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,2
D,True,3,letter,1,False,True,robot_stimuli\\filler.mp4,2
R_Base_X_Back,False,1,robot,2,True,False,robot_stimuli\R_Base_X_Back.mp4,2
L_Torso_Z_For,False,1,robot,2,False,False,robot_stimuli\L_Torso_Z_For.mp4,2
L_Torso_Z_For,True,1,robot,2,False,False,robot_stimuli\L_Torso_Z_For.mp4,2
L_Torso_Z_For,True,1,robot,2,False,False,robot_stimuli\L_Torso_Z_For.mp4,2
R_Arm_Z_Back,False,1,robot,2,False,False,robot_stimuli\R_Arm_Z_Back.mp4,2
L_Head_X_For,False,1,robot,2,False,False,robot_stimuli\L_Head_X_For.mp4,2
L_Head_X_For,True,1,robot,2,False,False,robot_stimuli\L_Head_X_For.mp4,2
L_Torso_Z_Back,False,1,robot,2,False,False,robot_stimuli\L_Torso_Z_Back.mp4,2
R_Base_Y_For,False,1,robot,2,False,True,robot_stimuli\R_Base_Y_For.mp4,2
L_Torso_X_Back,False,2,robot,2,True,False,robot_stimuli\L_Torso_X_Back.mp4,2
L_Torso_X_Back,False,2,robot,2,False,False,robot_stimuli\L_Torso_X_Back.mp4,2
L_Torso_X_Back,True,2,robot,2,False,False,robot_stimuli\L_Torso_X_Back.mp4,2
L_Torso_X_Back,True,2,robot,2,False,False,robot_stimuli\L_Torso_X_Back.mp4,2
R_Head_Y_Back,False,2,robot,2,False,False,robot_stimuli\R_Head_Y_Back.mp4,2
L_Torso_Z_Back,False,2,robot,2,False,False,robot_stimuli\L_Torso_Z_Back.mp4,2
R_Arm_X_Back,False,2,robot,2,False,False,robot_stimuli\R_Arm_X_Back.mp4,2
R_Head_Z_Back,False,2,robot,2,False,False,robot_stimuli\R_Head_Z_Back.mp4,2
R_Arm_X_Back,True,2,robot,2,False,True,robot_stimuli\R_Arm_X_Back.mp4,2
R_Torso_Y_For,False,3,robot,2,True,False,robot_stimuli\R_Torso_Y_For.mp4,2
R_Base_Z_For,False,3,robot,2,False,False,robot_stimuli\R_Base_Z_For.mp4,2
L_Base_Y_For,False,3,robot,2,False,False,robot_stimuli\L_Base_Y_For.mp4,2
R_Torso_Y_For,True,3,robot,2,False,False,robot_stimuli\R_Torso_Y_For.mp4,2
R_Base_Z_For,True,3,robot,2,False,False,robot_stimuli\R_Base_Z_For.mp4,2
R_Head_X_Back,False,3,robot,2,False,False,robot_stimuli\R_Head_X_Back.mp4,2
L_Torso_X_For,False,3,robot,2,False,False,robot_stimuli\L_Torso_X_For.mp4,2
L_Torso_X_Back,False,3,robot,2,False,False,robot_stimuli\L_Torso_X_Back.mp4,2
R_Head_X_Back,True,3,robot,2,False,True,robot_stimuli\R_Head_X_Back.mp4,2
