sequence,is_true,target,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject
"['R_Head_Y_Back', 'R_Torso_X_Back', 'L_Torso_X_For', 'R_Torso_Y_Back']",False,L_Torso_Z_Back,4,robot,1,True,False,"['robot_stimuli\\R_Head_Y_Back.mp4', 'robot_stimuli\\R_Torso_X_Back.mp4', 'robot_stimuli\\L_Torso_X_For.mp4', 'robot_stimuli\\R_Torso_Y_Back.mp4']",robot_stimuli\L_Torso_Z_Back.mp4,3
"['L_Torso_Z_Back', 'L_Base_Z_Back', 'R_Base_X_For', 'R_Arm_X_Back']",False,L_Head_Z_For,4,robot,1,False,False,"['robot_stimuli\\L_Torso_Z_Back.mp4', 'robot_stimuli\\L_Base_Z_Back.mp4', 'robot_stimuli\\R_Base_X_For.mp4', 'robot_stimuli\\R_Arm_X_Back.mp4']",robot_stimuli\L_Head_Z_For.mp4,3
"['R_Torso_X_For', 'L_Head_Z_Back', 'R_Base_Z_Back', 'L_Arm_Z_Back']",True,R_Base_Z_Back,4,robot,1,False,False,"['robot_stimuli\\R_Torso_X_For.mp4', 'robot_stimuli\\L_Head_Z_Back.mp4', 'robot_stimuli\\R_Base_Z_Back.mp4', 'robot_stimuli\\L_Arm_Z_Back.mp4']",robot_stimuli\R_Base_Z_Back.mp4,3
"['L_Base_X_Back', 'R_Head_X_For', 'R_Head_Z_For', 'R_Torso_Z_Back']",True,L_Base_X_Back,4,robot,1,False,False,"['robot_stimuli\\L_Base_X_Back.mp4', 'robot_stimuli\\R_Head_X_For.mp4', 'robot_stimuli\\R_Head_Z_For.mp4', 'robot_stimuli\\R_Torso_Z_Back.mp4']",robot_stimuli\L_Base_X_Back.mp4,3
"['R_Arm_Y_For', 'R_Torso_X_Back', 'R_Head_X_Back', 'R_Head_Z_Back']",True,R_Head_X_Back,4,robot,1,False,False,"['robot_stimuli\\R_Arm_Y_For.mp4', 'robot_stimuli\\R_Torso_X_Back.mp4', 'robot_stimuli\\R_Head_X_Back.mp4', 'robot_stimuli\\R_Head_Z_Back.mp4']",robot_stimuli\R_Head_X_Back.mp4,3
"['L_Head_X_Back', 'R_Head_X_Back', 'R_Base_X_For', 'L_Base_Y_For']",True,L_Head_X_Back,4,robot,1,False,False,"['robot_stimuli\\L_Head_X_Back.mp4', 'robot_stimuli\\R_Head_X_Back.mp4', 'robot_stimuli\\R_Base_X_For.mp4', 'robot_stimuli\\L_Base_Y_For.mp4']",robot_stimuli\L_Head_X_Back.mp4,3
"['L_Head_Y_Back', 'L_Base_Y_For', 'L_Head_Y_For', 'L_Base_Z_Back']",False,R_Head_Z_Back,4,robot,1,False,False,"['robot_stimuli\\L_Head_Y_Back.mp4', 'robot_stimuli\\L_Base_Y_For.mp4', 'robot_stimuli\\L_Head_Y_For.mp4', 'robot_stimuli\\L_Base_Z_Back.mp4']",robot_stimuli\R_Head_Z_Back.mp4,3
"['L_Head_X_Back', 'L_Torso_Y_Back', 'R_Base_Z_For', 'L_Base_Y_For']",False,R_Head_Z_For,4,robot,1,False,False,"['robot_stimuli\\L_Head_X_Back.mp4', 'robot_stimuli\\L_Torso_Y_Back.mp4', 'robot_stimuli\\R_Base_Z_For.mp4', 'robot_stimuli\\L_Base_Y_For.mp4']",robot_stimuli\R_Head_Z_For.mp4,3
"['R_Head_Z_Back', 'L_Arm_X_For', 'L_Base_X_Back', 'L_Arm_Y_Back']",True,L_Arm_X_For,4,robot,1,False,False,"['robot_stimuli\\R_Head_Z_Back.mp4', 'robot_stimuli\\L_Arm_X_For.mp4', 'robot_stimuli\\L_Base_X_Back.mp4', 'robot_stimuli\\L_Arm_Y_Back.mp4']",robot_stimuli\L_Arm_X_For.mp4,3
"['R_Head_X_For', 'L_Base_X_Back', 'L_Base_X_For', 'L_Head_X_For']",False,R_Head_Y_For,4,robot,1,False,True,"['robot_stimuli\\R_Head_X_For.mp4', 'robot_stimuli\\L_Base_X_Back.mp4', 'robot_stimuli\\L_Base_X_For.mp4', 'robot_stimuli\\L_Head_X_For.mp4']",robot_stimuli\R_Head_Y_For.mp4,3
