sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,polygon.stopped,cue_before_text.started,cue_before_text.stopped,training_presentation_letter.started,training_presentation_letter.stopped,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,RSME_key.rt,training_presentation_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_movie.started,block_intro_text.stopped,block_intro_key.stopped,presentation_letter.started,presentation_letter.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.134599199998775,21.134599199998775,f,3.0698320000010426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2024-07-23_15h15.42.938,robot_cogshifting_sign,2022.2.5,59.96196013252798,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.260883200000535,24.260883200000535,space,18.047454700001254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2024-07-23_15h15.42.938,robot_cogshifting_sign,2022.2.5,59.96196013252798,
"['red_bottom_G_45', 'red_right_S_45', 'red_right_X_0', 'blue_right_P_45']","{'color': 'blue_right_P_45', 'position': 'red_bottom_G_45', 'orientation': 'red_right_X_0'}",position,['position'],red_bottom_G_45,0,1,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,7,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,42.34079700000075,42.34079700000075,space,2.174902300001122,44.54277400000137,45.542581900001096,45.542581900001096,47.8978160000006,54.79712980000113,57.032589800001006,57.032589800001006,57.032589800001006,57.032589800001006,1,6.891301799998473,63.99484200000006,63.99484200000006,63.99484200000006,63.99484200000006,63.99484200000006,63.99484200000006,63.99484200000006,63.99484200000006,None,None,None,,,,,,,,,,,,,,,,,,,7,001,2024-07-23_15h15.42.938,robot_cogshifting_sign,2022.2.5,59.96196013252798,
"['blue_right_K_0', 'red_right_L_0', 'blue_right_J_45', 'blue_top_P_0']","{'color': 'red_right_L_0', 'position': 'blue_top_P_0', 'orientation': 'blue_right_J_45'}",color,['color'],red_right_L_0,1,1,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,7,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,63.99484200000006,63.99484200000006,None,,63.99484200000006,,65.00944549999986,,73.98362270000143,75.99964149999869,75.99964149999869,75.99964149999869,75.99964149999869,2,1.5157284000015352,77.54267249999975,77.54267249999975,77.54267249999975,77.54267249999975,77.54267249999975,77.54267249999975,77.54267249999975,77.54267249999975,None,None,None,63.99484200000006,63.99484200000006,,,,,,,,,,,,,,,,,7,001,2024-07-23_15h15.42.938,robot_cogshifting_sign,2022.2.5,59.96196013252798,
"['red_left_V_45', 'blue_left_S_45', 'blue_left_B_0', 'blue_right_J_45']","{'color': 'red_left_V_45', 'position': 'blue_right_J_45', 'orientation': 'blue_left_B_0'}",orientation,['orientation'],blue_left_B_0,2,1,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,7,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,77.54267249999975,77.54267249999975,None,,77.54267249999975,78.54285099999834,78.54285099999834,80.6158050999984,87.32619020000129,89.34565479999947,89.34565479999947,89.34565479999947,89.34565479999947,3,1.4426198999972257,90.86317129999952,98.2374936999986,90.86317129999952,98.2374936999986,90.86317129999952,98.2374936999986,90.86317129999952,98.2374936999986,7.006172839506167,4.959734100000787,space,77.54267249999975,77.54267249999975,7.30931199999759,,,,,,,,,,,,,,,,7,001,2024-07-23_15h15.42.938,robot_cogshifting_sign,2022.2.5,59.96196013252798,
"['blue_top_P_45', 'red_left_G_45', 'red_top_T_0', 'red_top_P_45']","{'color': 'blue_top_P_45', 'position': 'red_left_G_45', 'orientation': 'red_top_T_0'}",position,"['color', 'position']",red_left_G_45,1,2,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,7,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,98.2374936999986,98.2374936999986,space,1.7733177000009164,100.04282600000079,101.04283909999867,101.04283909999867,103.11117359999844,110.01605689999997,112.24225389999992,112.24225389999992,112.24225389999992,112.24225389999992,2,14.074178300001222,126.34276909999971,126.34276909999971,126.34276909999971,126.34276909999971,126.34276909999971,126.34276909999971,126.34276909999971,126.34276909999971,None,None,None,,,,,,,,,,,,,,,,,,,7,001,2024-07-23_15h15.42.938,robot_cogshifting_sign,2022.2.5,59.96196013252798,
"['blue_right_M_45', 'red_right_S_45', 'red_right_J_0', 'red_bottom_H_45']","{'color': 'blue_right_M_45', 'position': 'red_bottom_H_45', 'orientation': 'red_right_J_0'}",orientation,"['orientation', 'position']",red_right_J_0,2,2,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,7,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,126.34276909999971,126.34276909999971,None,,126.34276909999971,127.3427632999992,127.3427632999992,129.41062460000103,136.11095750000095,138.33470170000146,138.33470170000146,138.33470170000146,138.33470170000146,3,5.333814000001439,143.69288339999912,143.69288339999912,143.69288339999912,143.69288339999912,143.69288339999912,143.69288339999912,143.69288339999912,143.69288339999912,None,None,None,126.34276909999971,126.34276909999971,,,,,,,,,,,,,,,,,7,001,2024-07-23_15h15.42.938,robot_cogshifting_sign,2022.2.5,59.96196013252798,
"['red_right_J_0', 'blue_right_B_45', 'red_right_M_45', 'red_top_L_45']","{'color': 'blue_right_B_45', 'position': 'red_top_L_45', 'orientation': 'red_right_J_0'}",color,"['color', 'position']",blue_right_B_45,1,2,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,7,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,143.69288339999912,143.69288339999912,None,,143.69288339999912,144.69282759999987,144.69282759999987,146.75777630000084,153.2673504000013,155.48334389999945,155.48334389999945,155.48334389999945,155.48334389999945,2,2.1919290000005276,157.71749030000137,162.36007660000178,157.71749030000137,162.36007660000178,157.71749030000137,162.36007660000178,157.71749030000137,162.36007660000178,25.370370370370367,2.9460393999979715,space,143.69288339999912,143.69288339999912,4.58149609999964,,,,,,,,,,,,,,,,7,001,2024-07-23_15h15.42.938,robot_cogshifting_sign,2022.2.5,59.96196013252798,
"['red_bottom_M_45', 'blue_bottom_R_45', 'red_bottom_X_0', 'red_right_W_45']","{'color': 'blue_bottom_R_45', 'position': 'red_right_W_45', 'orientation': 'red_bottom_X_0'}",color,"['color', 'orientation', 'position']",blue_bottom_R_45,1,3,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,7,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,162.36007660000178,162.36007660000178,space,5.138793699999951,167.5262365000017,168.52621450000152,168.52621450000152,170.59184509999977,177.1120422999993,179.32725429999846,179.32725429999846,179.32725429999846,179.32725429999846,2,4.596757300001627,183.94271840000147,183.94271840000147,183.94271840000147,183.94271840000147,183.94271840000147,183.94271840000147,183.94271840000147,183.94271840000147,None,None,None,,,,,,,,,,,,,,,,,,,7,001,2024-07-23_15h15.42.938,robot_cogshifting_sign,2022.2.5,59.96196013252798,
"['red_top_J_45', 'blue_top_F_0', 'red_left_Q_0', 'red_top_J_0']","{'color': 'blue_top_F_0', 'position': 'red_left_Q_0', 'orientation': 'red_top_J_45'}",orientation,"['color', 'orientation', 'position']",red_top_J_45,0,3,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,7,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,183.94271840000147,183.94271840000147,None,,183.94271840000147,184.94305149999855,184.94305149999855,187.0089048000009,193.71522769999865,195.93449709999913,195.93449709999913,195.93449709999913,195.93449709999913,1,7.52432829999816,203.47634679999828,203.47634679999828,203.47634679999828,203.47634679999828,203.47634679999828,203.47634679999828,203.47634679999828,203.47634679999828,None,None,None,183.94271840000147,183.94271840000147,,,,,,,,,,,,,,,,,7,001,2024-07-23_15h15.42.938,robot_cogshifting_sign,2022.2.5,59.96196013252798,
