sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject
"['blue_right_R_0', 'red_top_W_0', 'blue_top_L_0', 'blue_top_Q_45']","{'color': 'red_top_W_0', 'position': 'blue_right_R_0', 'orientation': 'blue_top_Q_45'}",position,['position'],blue_right_R_0,0,1,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,4
"['blue_right_D_0', 'red_right_X_45', 'blue_right_K_45', 'blue_top_L_45']","{'color': 'red_right_X_45', 'position': 'blue_top_L_45', 'orientation': 'blue_right_D_0'}",color,['color'],red_right_X_45,1,1,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,4
"['red_bottom_D_45', 'blue_bottom_F_45', 'blue_bottom_M_0', 'blue_left_Q_45']","{'color': 'red_bottom_D_45', 'position': 'blue_left_Q_45', 'orientation': 'blue_bottom_M_0'}",orientation,['orientation'],blue_bottom_M_0,2,1,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,4
"['blue_top_C_45', 'blue_top_Z_0', 'red_top_P_0', 'blue_left_X_0']","{'color': 'red_top_P_0', 'position': 'blue_left_X_0', 'orientation': 'blue_top_C_45'}",color,"['color', 'orientation']",red_top_P_0,2,2,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,4
"['red_top_M_0', 'blue_bottom_T_0', 'red_bottom_N_45', 'red_bottom_W_0']","{'color': 'blue_bottom_T_0', 'position': 'red_top_M_0', 'orientation': 'red_bottom_N_45'}",orientation,"['color', 'orientation']",red_bottom_N_45,2,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,4
"['red_left_N_45', 'blue_top_L_45', 'red_top_G_0', 'red_top_V_45']","{'color': 'blue_top_L_45', 'position': 'red_left_N_45', 'orientation': 'red_top_G_0'}",position,"['color', 'position']",red_left_N_45,0,2,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,4
"['red_right_Z_45', 'blue_right_D_0', 'red_right_P_0', 'red_bottom_Z_0']","{'color': 'blue_right_D_0', 'position': 'red_bottom_Z_0', 'orientation': 'red_right_Z_45'}",color,"['color', 'orientation', 'position']",blue_right_D_0,1,3,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,4
"['blue_top_L_0', 'blue_bottom_S_0', 'blue_top_B_45', 'red_top_Z_0']","{'color': 'red_top_Z_0', 'position': 'blue_bottom_S_0', 'orientation': 'blue_top_B_45'}",orientation,"['color', 'orientation', 'position']",blue_top_B_45,2,3,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,4
"['blue_left_D_0', 'blue_right_R_45', 'blue_left_B_45', 'red_left_D_45']","{'color': 'red_left_D_45', 'position': 'blue_right_R_45', 'orientation': 'blue_left_D_0'}",position,"['color', 'orientation', 'position']",blue_right_R_45,1,3,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,4
"['R_Torso_Z_For', 'L_Torso_Z_For', 'L_Torso_X_Back', 'L_Base_Z_Back']","{'laterality': 'R_Torso_Z_For', 'localisation': 'L_Base_Z_Back', 'movement': 'L_Torso_X_Back'}",laterality,['laterality'],R_Torso_Z_For,0,1,robot,2,True,False,"['robot_stimuli\\R_Torso_Z_For.mp4', 'robot_stimuli\\L_Torso_Z_For.mp4', 'robot_stimuli\\L_Torso_X_Back.mp4', 'robot_stimuli\\L_Base_Z_Back.mp4']",robot_stimuli\R_Torso_Z_For.mp4,4
"['L_Base_X_Back', 'R_Head_X_For', 'L_Head_X_For', 'L_Head_Z_Back']","{'laterality': 'R_Head_X_For', 'localisation': 'L_Base_X_Back', 'movement': 'L_Head_Z_Back'}",movement,['movement'],L_Head_Z_Back,3,1,robot,2,False,False,"['robot_stimuli\\L_Base_X_Back.mp4', 'robot_stimuli\\R_Head_X_For.mp4', 'robot_stimuli\\L_Head_X_For.mp4', 'robot_stimuli\\L_Head_Z_Back.mp4']",robot_stimuli\L_Head_Z_Back.mp4,4
"['L_Head_X_Back', 'L_Torso_X_For', 'R_Torso_X_For', 'L_Torso_Y_For']","{'laterality': 'R_Torso_X_For', 'localisation': 'L_Head_X_Back', 'movement': 'L_Torso_Y_For'}",localisation,['localisation'],L_Head_X_Back,0,1,robot,2,False,True,"['robot_stimuli\\L_Head_X_Back.mp4', 'robot_stimuli\\L_Torso_X_For.mp4', 'robot_stimuli\\R_Torso_X_For.mp4', 'robot_stimuli\\L_Torso_Y_For.mp4']",robot_stimuli\L_Head_X_Back.mp4,4
"['L_Base_X_Back', 'L_Torso_Y_Back', 'L_Torso_X_For', 'R_Torso_X_Back']","{'laterality': 'R_Torso_X_Back', 'localisation': 'L_Base_X_Back', 'movement': 'L_Torso_Y_Back'}",localisation,"['laterality', 'localisation']",L_Base_X_Back,0,2,robot,2,True,False,"['robot_stimuli\\L_Base_X_Back.mp4', 'robot_stimuli\\L_Torso_Y_Back.mp4', 'robot_stimuli\\L_Torso_X_For.mp4', 'robot_stimuli\\R_Torso_X_Back.mp4']",robot_stimuli\L_Base_X_Back.mp4,4
"['R_Torso_Y_Back', 'R_Arm_Y_For', 'L_Arm_Y_Back', 'R_Arm_X_For']","{'laterality': 'L_Arm_Y_Back', 'localisation': 'R_Torso_Y_Back', 'movement': 'R_Arm_X_For'}",laterality,"['laterality', 'movement']",L_Arm_Y_Back,2,2,robot,2,False,False,"['robot_stimuli\\R_Torso_Y_Back.mp4', 'robot_stimuli\\R_Arm_Y_For.mp4', 'robot_stimuli\\L_Arm_Y_Back.mp4', 'robot_stimuli\\R_Arm_X_For.mp4']",robot_stimuli\L_Arm_Y_Back.mp4,4
"['L_Head_Z_For', 'R_Base_Z_For', 'R_Head_Y_Back', 'R_Head_Z_For']","{'laterality': 'L_Head_Z_For', 'localisation': 'R_Base_Z_For', 'movement': 'R_Head_Y_Back'}",movement,"['localisation', 'movement']",R_Head_Y_Back,2,2,robot,2,False,True,"['robot_stimuli\\L_Head_Z_For.mp4', 'robot_stimuli\\R_Base_Z_For.mp4', 'robot_stimuli\\R_Head_Y_Back.mp4', 'robot_stimuli\\R_Head_Z_For.mp4']",robot_stimuli\R_Head_Y_Back.mp4,4
"['L_Base_X_Back', 'L_Base_Z_Back', 'L_Torso_X_For', 'R_Base_X_For']","{'laterality': 'R_Base_X_For', 'localisation': 'L_Torso_X_For', 'movement': 'L_Base_Z_Back'}",movement,"['laterality', 'localisation', 'movement']",L_Base_Z_Back,1,3,robot,2,True,False,"['robot_stimuli\\L_Base_X_Back.mp4', 'robot_stimuli\\L_Base_Z_Back.mp4', 'robot_stimuli\\L_Torso_X_For.mp4', 'robot_stimuli\\R_Base_X_For.mp4']",robot_stimuli\L_Base_Z_Back.mp4,4
"['L_Torso_Y_Back', 'R_Torso_Y_For', 'L_Base_Y_Back', 'L_Torso_Z_For']","{'laterality': 'R_Torso_Y_For', 'localisation': 'L_Base_Y_Back', 'movement': 'L_Torso_Z_For'}",localisation,"['laterality', 'localisation', 'movement']",L_Base_Y_Back,2,3,robot,2,False,False,"['robot_stimuli\\L_Torso_Y_Back.mp4', 'robot_stimuli\\R_Torso_Y_For.mp4', 'robot_stimuli\\L_Base_Y_Back.mp4', 'robot_stimuli\\L_Torso_Z_For.mp4']",robot_stimuli\L_Base_Y_Back.mp4,4
"['L_Torso_X_For', 'L_Torso_Y_For', 'L_Base_Y_For', 'R_Torso_Y_For']","{'laterality': 'R_Torso_Y_For', 'localisation': 'L_Base_Y_For', 'movement': 'L_Torso_X_For'}",laterality,"['laterality', 'localisation', 'movement']",R_Torso_Y_For,3,3,robot,2,False,True,"['robot_stimuli\\L_Torso_X_For.mp4', 'robot_stimuli\\L_Torso_Y_For.mp4', 'robot_stimuli\\L_Base_Y_For.mp4', 'robot_stimuli\\R_Torso_Y_For.mp4']",robot_stimuli\R_Torso_Y_For.mp4,4
