sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject
"['red_right_K_45', 'red_right_L_0', 'blue_right_F_45', 'red_top_X_45']","{'color': 'blue_right_F_45', 'position': 'red_top_X_45', 'orientation': 'red_right_L_0'}",orientation,['orientation'],red_right_L_0,1,1,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,3
"['red_left_W_45', 'blue_left_F_45', 'blue_right_G_45', 'blue_left_M_0']","{'color': 'red_left_W_45', 'position': 'blue_right_G_45', 'orientation': 'blue_left_M_0'}",position,['position'],blue_right_G_45,2,1,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,3
"['blue_right_N_45', 'red_top_Z_45', 'red_right_Z_0', 'red_right_K_45']","{'color': 'blue_right_N_45', 'position': 'red_top_Z_45', 'orientation': 'red_right_Z_0'}",color,['color'],blue_right_N_45,0,1,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,3
"['red_left_L_0', 'red_right_C_0', 'blue_left_M_0', 'red_left_V_45']","{'color': 'blue_left_M_0', 'position': 'red_right_C_0', 'orientation': 'red_left_V_45'}",orientation,"['orientation', 'position']",red_left_V_45,3,2,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,3
"['blue_left_M_0', 'blue_left_H_45', 'red_left_T_0', 'blue_bottom_G_0']","{'color': 'red_left_T_0', 'position': 'blue_bottom_G_0', 'orientation': 'blue_left_H_45'}",position,"['orientation', 'position']",blue_bottom_G_0,3,2,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,3
"['red_right_F_0', 'red_left_M_0', 'red_left_X_45', 'blue_left_X_0']","{'color': 'blue_left_X_0', 'position': 'red_right_F_0', 'orientation': 'red_left_X_45'}",color,"['color', 'position']",blue_left_X_0,3,2,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,3
"['blue_top_X_0', 'blue_bottom_C_0', 'blue_bottom_X_45', 'red_bottom_N_0']","{'color': 'red_bottom_N_0', 'position': 'blue_top_X_0', 'orientation': 'blue_bottom_X_45'}",orientation,"['color', 'orientation', 'position']",blue_bottom_X_45,2,3,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,3
"['red_right_S_0', 'blue_left_F_0', 'red_left_K_45', 'red_left_T_0']","{'color': 'blue_left_F_0', 'position': 'red_right_S_0', 'orientation': 'red_left_K_45'}",color,"['color', 'orientation', 'position']",blue_left_F_0,1,3,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,3
"['blue_bottom_F_0', 'blue_bottom_W_45', 'red_bottom_T_0', 'blue_top_R_0']","{'color': 'red_bottom_T_0', 'position': 'blue_top_R_0', 'orientation': 'blue_bottom_W_45'}",position,"['color', 'orientation', 'position']",blue_top_R_0,3,3,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,3
"['R_Torso_Z_Back', 'R_Torso_Y_For', 'L_Torso_Z_Back', 'R_Head_Z_Back']","{'laterality': 'L_Torso_Z_Back', 'localisation': 'R_Head_Z_Back', 'movement': 'R_Torso_Y_For'}",localisation,['localisation'],R_Head_Z_Back,3,1,robot,1,True,False,"['robot_stimuli\\R_Torso_Z_Back.mp4', 'robot_stimuli\\R_Torso_Y_For.mp4', 'robot_stimuli\\L_Torso_Z_Back.mp4', 'robot_stimuli\\R_Head_Z_Back.mp4']",robot_stimuli\R_Head_Z_Back.mp4,3
"['R_Base_Y_For', 'R_Arm_Z_For', 'L_Arm_Y_For', 'R_Arm_Y_For']","{'laterality': 'L_Arm_Y_For', 'localisation': 'R_Base_Y_For', 'movement': 'R_Arm_Z_For'}",movement,['movement'],R_Arm_Z_For,1,1,robot,1,False,False,"['robot_stimuli\\R_Base_Y_For.mp4', 'robot_stimuli\\R_Arm_Z_For.mp4', 'robot_stimuli\\L_Arm_Y_For.mp4', 'robot_stimuli\\R_Arm_Y_For.mp4']",robot_stimuli\R_Arm_Z_For.mp4,3
