sequence,is_target,condition,stimuli,block,is_block_beginning,is_block_ending,fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_robot_intro_text.started,training_robot_intro_key.started,training_robot_intro_key.keys,training_robot_intro_key.rt,cross.started,cross.stopped,training_letter.started,training_robot_key.started,training_robot_question.started,training_robot_keys.started,training_letter.stopped,training_robot_key.keys,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_robot_intro_text.stopped,training_robot_intro_key.stopped,training_robot_key.rt,RSME_key.rt,training_robot_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,movie.started,key.started,key.keys,block_intro_text.stopped,block_intro_key.stopped,key.rt,letter.started,letter.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,13.651849800000036,13.651849800000036,f,207.94617259999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,001,2024-06-20_13h35.49.204,robot_nback_sign,2022.2.5,60.07048670909585,
,,,,,,,,,,,,,,,,,,,,,,,,,221.6697797,221.6697797,space,78.8099618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,001,2024-06-20_13h35.49.204,robot_nback_sign,2022.2.5,60.07048670909585,
P,False,1,letter,2,True,False,robot_stimuli\\filler.mp4,15,0,0,0,0,0,0,0,0,,,,,,,,,,,,,300.5257591000001,300.5257591000001,space,63.057001199999945,363.61353110000005,364.93839330000003,364.93839330000003,364.93839330000003,364.93839330000003,364.93839330000003,367.2558411,None,367.2558411,367.2558411,367.2558411,367.2558411,367.2558411,367.2558411,367.2558411,367.2558411,None,None,None,,,,,,,,,,,,,,,,,,,,,,,15,001,2024-06-20_13h35.49.204,robot_nback_sign,2022.2.5,60.07048670909585,
W,False,1,letter,2,False,False,robot_stimuli\\filler.mp4,15,0,0,0,0,0,1,1,1,,,,,,,,,,,,,367.2558411,367.2558411,None,,367.2558411,,368.3313161,368.3313161,368.3313161,368.3313161,370.3581229,None,370.3581229,370.3581229,370.3581229,370.3581229,370.3581229,370.3581229,370.3581229,370.3581229,None,None,None,367.2558411,367.2558411,,,,,,,,,,,,,,,,,,,,,15,001,2024-06-20_13h35.49.204,robot_nback_sign,2022.2.5,60.07048670909585,
W,True,1,letter,2,False,False,robot_stimuli\\filler.mp4,15,0,0,0,0,0,2,2,2,,,,,,,,,,,,,370.3581229,370.3581229,None,,370.3581229,371.4262917,371.4262917,371.4262917,371.4262917,371.4262917,373.460058,n,373.460058,373.460058,373.460058,373.460058,373.460058,373.460058,373.460058,373.460058,None,None,None,370.3581229,370.3581229,1.0611370000000306,,,,,,,,,,,,,,,,,,,,15,001,2024-06-20_13h35.49.204,robot_nback_sign,2022.2.5,60.07048670909585,
Z,False,1,letter,2,False,False,robot_stimuli\\filler.mp4,15,0,0,0,0,0,3,3,3,,,,,,,,,,,,,373.460058,373.460058,None,,373.460058,374.52884560000007,374.52884560000007,374.52884560000007,374.52884560000007,374.52884560000007,376.55609390000006,n,376.55609390000006,376.55609390000006,376.55609390000006,376.55609390000006,376.55609390000006,376.55609390000006,376.55609390000006,376.55609390000006,None,None,None,373.460058,373.460058,0.8058268999999427,,,,,,,,,,,,,,,,,,,,15,001,2024-06-20_13h35.49.204,robot_nback_sign,2022.2.5,60.07048670909585,
Z,True,1,letter,2,False,False,robot_stimuli\\filler.mp4,15,0,0,0,0,0,4,4,4,,,,,,,,,,,,,376.55609390000006,376.55609390000006,None,,376.55609390000006,377.6314708,377.6314708,377.6314708,377.6314708,377.6314708,379.65841680000005,c,379.65841680000005,379.65841680000005,379.65841680000005,379.65841680000005,379.65841680000005,379.65841680000005,379.65841680000005,379.65841680000005,None,None,None,376.55609390000006,376.55609390000006,1.287315299999932,,,,,,,,,,,,,,,,,,,,15,001,2024-06-20_13h35.49.204,robot_nback_sign,2022.2.5,60.07048670909585,
S,False,1,letter,2,False,True,robot_stimuli\\filler.mp4,15,0,0,0,0,0,5,5,5,,,,,,,,,,,,,379.65841680000005,379.65841680000005,None,,379.65841680000005,380.7337011000001,380.7337011000001,380.7337011000001,380.7337011000001,380.7337011000001,383.0254863,n,383.0254863,397.2095494,383.0254863,397.2095494,383.0254863,397.2095494,383.0254863,397.2095494,13.179012345679011,11.176982600000088,space,379.65841680000005,379.65841680000005,1.4414121999999452,14.11804549999988,,,,,,,,,,,,,,,,,,,15,001,2024-06-20_13h35.49.204,robot_nback_sign,2022.2.5,60.07048670909585,
C,False,2,letter,2,True,False,robot_stimuli\\filler.mp4,15,0,0,0,0,0,6,6,6,,,,,,,,,,,,,397.2095494,397.2095494,space,2.045466000000033,399.28054729999997,400.35145980000004,400.35145980000004,400.35145980000004,400.35145980000004,400.35145980000004,402.5756401,None,402.5756401,402.5756401,402.5756401,402.5756401,402.5756401,402.5756401,402.5756401,402.5756401,None,None,None,,,,,,,,,,,,,,,,,,,,,,,15,001,2024-06-20_13h35.49.204,robot_nback_sign,2022.2.5,60.07048670909585,
G,False,2,letter,2,False,False,robot_stimuli\\filler.mp4,15,0,0,0,0,0,7,7,7,,,,,,,,,,,,,402.5756401,402.5756401,None,,402.5756401,403.6484621000001,403.6484621000001,403.6484621000001,403.6484621000001,403.6484621000001,405.8808795,None,405.8808795,405.8808795,405.8808795,405.8808795,405.8808795,405.8808795,405.8808795,405.8808795,None,None,None,402.5756401,402.5756401,,,,,,,,,,,,,,,,,,,,,15,001,2024-06-20_13h35.49.204,robot_nback_sign,2022.2.5,60.07048670909585,
