sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject
"['blue_bottom_T_45', 'red_bottom_P_0', 'red_left_B_45', 'red_bottom_Q_45']","{'color': 'blue_bottom_T_45', 'position': 'red_left_B_45', 'orientation': 'red_bottom_P_0'}",color,['color'],blue_bottom_T_45,0,1,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,12
"['red_bottom_S_45', 'blue_bottom_S_45', 'red_top_G_45', 'red_bottom_V_0']","{'color': 'blue_bottom_S_45', 'position': 'red_top_G_45', 'orientation': 'red_bottom_V_0'}",position,['position'],red_top_G_45,2,1,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,12
"['red_top_Q_45', 'blue_bottom_J_45', 'blue_top_J_45', 'blue_top_Q_0']","{'color': 'red_top_Q_45', 'position': 'blue_bottom_J_45', 'orientation': 'blue_top_Q_0'}",orientation,['orientation'],blue_top_Q_0,3,1,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,12
"['blue_top_X_0', 'red_left_V_0', 'red_top_T_45', 'red_top_T_0']","{'color': 'blue_top_X_0', 'position': 'red_left_V_0', 'orientation': 'red_top_T_45'}",position,"['orientation', 'position']",red_left_V_0,1,2,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,12
"['blue_left_M_0', 'blue_left_B_45', 'blue_bottom_W_45', 'red_left_G_45']","{'color': 'red_left_G_45', 'position': 'blue_bottom_W_45', 'orientation': 'blue_left_M_0'}",color,"['color', 'orientation']",red_left_G_45,3,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,12
"['red_right_N_45', 'blue_right_R_0', 'red_left_V_0', 'red_right_H_0']","{'color': 'blue_right_R_0', 'position': 'red_left_V_0', 'orientation': 'red_right_N_45'}",orientation,"['orientation', 'position']",red_right_N_45,0,2,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,12
"['blue_left_P_45', 'red_left_P_45', 'red_left_T_0', 'red_top_G_45']","{'color': 'blue_left_P_45', 'position': 'red_top_G_45', 'orientation': 'red_left_T_0'}",orientation,"['color', 'orientation', 'position']",red_left_T_0,2,3,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,12
"['red_left_L_45', 'red_left_T_0', 'red_bottom_H_45', 'blue_left_C_45']","{'color': 'blue_left_C_45', 'position': 'red_bottom_H_45', 'orientation': 'red_left_T_0'}",color,"['color', 'orientation', 'position']",blue_left_C_45,3,3,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,12
"['blue_right_Z_0', 'blue_right_V_45', 'blue_bottom_W_45', 'red_right_H_45']","{'color': 'red_right_H_45', 'position': 'blue_bottom_W_45', 'orientation': 'blue_right_Z_0'}",position,"['color', 'orientation', 'position']",blue_bottom_W_45,2,3,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,12
"['R_Torso_Z_Back', 'R_Head_Z_Back', 'R_Head_Y_Back', 'L_Head_Z_For']","{'laterality': 'L_Head_Z_For', 'localisation': 'R_Torso_Z_Back', 'movement': 'R_Head_Y_Back'}",movement,['movement'],R_Head_Y_Back,2,1,robot,2,True,False,"['robot_stimuli\\R_Torso_Z_Back.mp4', 'robot_stimuli\\R_Head_Z_Back.mp4', 'robot_stimuli\\R_Head_Y_Back.mp4', 'robot_stimuli\\L_Head_Z_For.mp4']",robot_stimuli\R_Head_Y_Back.mp4,12
"['R_Head_Z_Back', 'L_Arm_Z_Back', 'R_Arm_X_For', 'R_Arm_Z_For']","{'laterality': 'L_Arm_Z_Back', 'localisation': 'R_Head_Z_Back', 'movement': 'R_Arm_X_For'}",localisation,['localisation'],R_Head_Z_Back,0,1,robot,2,False,False,"['robot_stimuli\\R_Head_Z_Back.mp4', 'robot_stimuli\\L_Arm_Z_Back.mp4', 'robot_stimuli\\R_Arm_X_For.mp4', 'robot_stimuli\\R_Arm_Z_For.mp4']",robot_stimuli\R_Head_Z_Back.mp4,12
"['R_Arm_X_For', 'L_Arm_X_For', 'L_Torso_X_For', 'L_Arm_Y_Back']","{'laterality': 'R_Arm_X_For', 'localisation': 'L_Torso_X_For', 'movement': 'L_Arm_Y_Back'}",laterality,['laterality'],R_Arm_X_For,0,1,robot,2,False,True,"['robot_stimuli\\R_Arm_X_For.mp4', 'robot_stimuli\\L_Arm_X_For.mp4', 'robot_stimuli\\L_Torso_X_For.mp4', 'robot_stimuli\\L_Arm_Y_Back.mp4']",robot_stimuli\R_Arm_X_For.mp4,12
"['R_Torso_Y_Back', 'L_Arm_Y_For', 'R_Arm_Z_For', 'R_Arm_Y_For']","{'laterality': 'L_Arm_Y_For', 'localisation': 'R_Torso_Y_Back', 'movement': 'R_Arm_Z_For'}",laterality,"['laterality', 'localisation']",L_Arm_Y_For,1,2,robot,2,True,False,"['robot_stimuli\\R_Torso_Y_Back.mp4', 'robot_stimuli\\L_Arm_Y_For.mp4', 'robot_stimuli\\R_Arm_Z_For.mp4', 'robot_stimuli\\R_Arm_Y_For.mp4']",robot_stimuli\L_Arm_Y_For.mp4,12
"['R_Arm_X_For', 'R_Base_Z_For', 'R_Arm_Z_Back', 'L_Arm_Z_For']","{'laterality': 'L_Arm_Z_For', 'localisation': 'R_Base_Z_For', 'movement': 'R_Arm_X_For'}",movement,"['laterality', 'movement']",R_Arm_X_For,0,2,robot,2,False,False,"['robot_stimuli\\R_Arm_X_For.mp4', 'robot_stimuli\\R_Base_Z_For.mp4', 'robot_stimuli\\R_Arm_Z_Back.mp4', 'robot_stimuli\\L_Arm_Z_For.mp4']",robot_stimuli\R_Arm_X_For.mp4,12
