sequence,is_true,target,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,polygon.stopped,training_presentation_letter.started,training_presentation_letter.stopped,training_recall_letter.started,training_recall_key.started,training_recall_question.started,training_recall_answer.started,training_recall_key.keys,training_recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,RSME_key.rt,training_presentation_movie.started,training_recall_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_letter.started,presentation_letter.stopped,recall_letter.started,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,block_intro_text.stopped,block_intro_key.stopped,presentation_movie.started,recall_movie.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.253569000000027,13.253569000000027,f,28.74141579999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2024-06-11_13h39.16.200,robot_sternberg_sign,2022.2.5,60.11045897940956,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.055812600000024,42.055812600000024,space,1807.8065576999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2024-06-11_13h39.16.200,robot_sternberg_sign,2022.2.5,60.11045897940956,
"['H', 'W']",True,H,2,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1849.9021888000002,1849.9021888000002,space,4.623685099999932,1860.5348126,1861.6132661000001,1858.316284,1860.5348126,1861.6132661000001,1861.6132661000001,1861.6132661000001,1861.6132661000001,c,1.3916611999998736,1863.3445398,1863.3445398,1863.3445398,1863.3445398,1863.3445398,1863.3445398,1863.3445398,1863.3445398,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2024-06-11_13h39.16.200,robot_sternberg_sign,2022.2.5,60.11045897940956,
"['R', 'G']",True,G,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,1863.3445398,1863.3445398,None,,1868.7360987000002,1869.8005432,1866.7186099,1868.7360987000002,1869.8005432,1869.8005432,1869.8005432,1869.8005432,c,0.9318389999999113,1870.8340359,1870.8340359,1870.8340359,1870.8340359,1870.8340359,1870.8340359,1870.8340359,1870.8340359,None,None,None,1863.3445398,1863.3445398,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2024-06-11_13h39.16.200,robot_sternberg_sign,2022.2.5,60.11045897940956,
"['L', 'B']",False,J,2,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,1870.8340359,1870.8340359,None,,1876.4399538000002,1877.5197156,1874.2287581,1876.4399538000002,1877.5197156,1877.5197156,1877.5197156,1877.5197156,n,0.9258385999997358,1878.6137859,1892.1377311,1878.6137859,1892.1377311,1878.6137859,1892.1377311,1878.6137859,1892.1377311,22.43827160493827,11.740657700000156,space,1870.8340359,1870.8340359,13.463128500000096,,,,,,,,,,,,,,,,,,,,,,,,0,001,2024-06-11_13h39.16.200,robot_sternberg_sign,2022.2.5,60.11045897940956,
"['F', 'R', 'J', 'V']",False,W,4,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,1892.1377311,1892.1377311,space,7.083170199999643,1909.2524829,1910.3185209000003,1907.0376695999998,1909.2524829,1910.3185209000003,1910.3185209000003,1910.3185209000003,1910.3185209000003,n,0.9275384999996845,1911.3438032,1911.3438032,1911.3438032,1911.3438032,1911.3438032,1911.3438032,1911.3438032,1911.3438032,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2024-06-11_13h39.16.200,robot_sternberg_sign,2022.2.5,60.11045897940956,
"['Q', 'H', 'P', 'B']",True,H,4,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,1911.3438032,1911.3438032,None,,1921.1449006000003,1922.2182547000002,1919.1266114999999,1921.1449006000003,1922.2182547000002,1922.2182547000002,1922.2182547000002,1922.2182547000002,c,1.0835374999997498,1923.4510415,1923.4510415,1923.4510415,1923.4510415,1923.4510415,1923.4510415,1923.4510415,1923.4510415,None,None,None,1911.3438032,1911.3438032,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2024-06-11_13h39.16.200,robot_sternberg_sign,2022.2.5,60.11045897940956,
"['H', 'Q', 'V', 'N']",True,N,4,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,1923.4510415,1923.4510415,None,,1932.8403884,1933.9168533000002,1930.8206187,1932.8403884,1933.9168533000002,1933.9168533000002,1933.9168533000002,1933.9168533000002,c,1.0564947000003144,1935.1747056,1940.5973402,1935.1747056,1940.5973402,1935.1747056,1940.5973402,1935.1747056,1940.5973402,25.524691358024683,3.645979100000204,space,1923.4510415,1923.4510415,5.36645089999962,,,,,,,,,,,,,,,,,,,,,,,,0,001,2024-06-11_13h39.16.200,robot_sternberg_sign,2022.2.5,60.11045897940956,
"['L', 'V', 'F', 'K', 'W', 'Q']",True,Q,6,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,1940.5973402,1940.5973402,space,1.6569866000000388,1956.6932876,1957.7615157,1954.4791831000002,1956.6932876,1957.7615157,1957.7615157,1957.7615157,1957.7615157,c,0.9326024000002349,1958.7888882000002,1958.7888882000002,1958.7888882000002,1958.7888882000002,1958.7888882000002,1958.7888882000002,1958.7888882000002,1958.7888882000002,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2024-06-11_13h39.16.200,robot_sternberg_sign,2022.2.5,60.11045897940956,
"['S', 'L', 'Q', 'X', 'C', 'T']",True,X,6,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,1958.7888882000002,1958.7888882000002,None,,1973.0071661000002,1974.0802566000002,1970.7928417000003,1973.0071661000002,1974.0802566000002,1974.0802566000002,1974.0802566000002,1974.0802566000002,c,1.5416719000000398,1975.7092963,1975.7092963,1975.7092963,1975.7092963,1975.7092963,1975.7092963,1975.7092963,1975.7092963,None,None,None,1958.7888882000002,1958.7888882000002,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2024-06-11_13h39.16.200,robot_sternberg_sign,2022.2.5,60.11045897940956,
