sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,polygon.stopped,cue_before_text.started,cue_before_text.stopped,training_presentation_letter.started,training_presentation_letter.stopped,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,RSME_key.rt,training_presentation_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_letter.started,presentation_letter.stopped,block_intro_text.stopped,block_intro_key.stopped,presentation_movie.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.138854000000038,15.138854000000038,f,1.5422945000000254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2024-06-26_14h47.33.096,robot_cogshifting_sign,2022.2.5,60.0087372721466,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.708393900000033,16.708393900000033,space,206.4527829000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2024-06-26_14h47.33.096,robot_cogshifting_sign,2022.2.5,60.0087372721466,
"['blue_top_W_45', 'red_top_L_0', 'blue_bottom_P_0', 'blue_top_H_0']","{'color': 'red_top_L_0', 'position': 'blue_bottom_P_0', 'orientation': 'blue_top_W_45'}",orientation,['orientation'],blue_top_W_45,0,1,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,223.2029626000001,223.2029626000001,space,3.325796799999921,226.5489874,227.5486853,227.5486853,230.0235408000001,236.54304539999998,238.77851600000008,238.77851600000008,238.77851600000008,238.77851600000008,1,3.3746967000000723,242.26707800000008,242.26707800000008,242.26707800000008,242.26707800000008,242.26707800000008,242.26707800000008,242.26707800000008,242.26707800000008,None,None,None,,,,,,,,,,,,,,,,,,,0,001,2024-06-26_14h47.33.096,robot_cogshifting_sign,2022.2.5,60.0087372721466,
"['blue_right_G_0', 'red_right_C_45', 'blue_right_F_45', 'blue_top_M_45']","{'color': 'red_right_C_45', 'position': 'blue_top_M_45', 'orientation': 'blue_right_G_0'}",color,['color'],red_right_C_45,1,1,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,242.26707800000008,242.26707800000008,None,,242.26707800000008,,243.2823550999999,,252.05790419999994,254.08338419999995,254.08338419999995,254.08338419999995,254.08338419999995,2,11.65333249999992,265.76557520000006,265.76557520000006,265.76557520000006,265.76557520000006,265.76557520000006,265.76557520000006,265.76557520000006,265.76557520000006,None,None,None,242.26707800000008,242.26707800000008,,,,,,,,,,,,,,,,,0,001,2024-06-26_14h47.33.096,robot_cogshifting_sign,2022.2.5,60.0087372721466,
"['blue_left_Z_0', 'blue_right_D_45', 'blue_left_D_45', 'red_left_W_45']","{'color': 'red_left_W_45', 'position': 'blue_right_D_45', 'orientation': 'blue_left_Z_0'}",position,['position'],blue_right_D_45,1,1,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,265.76557520000006,265.76557520000006,None,,265.76557520000006,266.76571190000004,266.76571190000004,268.8412312999999,275.74080129999993,277.77264160000004,277.77264160000004,277.77264160000004,277.77264160000004,2,13.02752739999994,290.88759260000006,294.5073460000001,290.88759260000006,294.5073460000001,290.88759260000006,294.5073460000001,290.88759260000006,294.5073460000001,0.37037037037036535,2.9983750999999756,space,265.76557520000006,265.76557520000006,3.54486159999999,,,,,,,,,,,,,,,,0,001,2024-06-26_14h47.33.096,robot_cogshifting_sign,2022.2.5,60.0087372721466,
"['red_bottom_Q_45', 'blue_bottom_X_45', 'blue_bottom_Z_0', 'blue_top_P_45']","{'color': 'red_bottom_Q_45', 'position': 'blue_top_P_45', 'orientation': 'blue_bottom_Z_0'}",orientation,"['color', 'orientation']",blue_bottom_Z_0,2,2,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,294.5073460000001,294.5073460000001,space,3.98151160000009,298.51597059999995,299.51588330000004,299.51588330000004,301.59174340000004,308.31121740000003,310.3428286999999,310.3428286999999,310.3428286999999,310.3428286999999,3,1.8257606000000806,312.1990060999999,312.1990060999999,312.1990060999999,312.1990060999999,312.1990060999999,312.1990060999999,312.1990060999999,312.1990060999999,None,None,None,,,,,,,,,,,,,,,,,,,0,001,2024-06-26_14h47.33.096,robot_cogshifting_sign,2022.2.5,60.0087372721466,
"['red_bottom_P_45', 'blue_left_S_45', 'red_left_T_0', 'red_left_F_45']","{'color': 'blue_left_S_45', 'position': 'red_bottom_P_45', 'orientation': 'red_left_T_0'}",color,"['color', 'position']",blue_left_S_45,1,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,312.1990060999999,312.1990060999999,None,,312.1990060999999,313.1990490999999,313.1990490999999,315.2672339999999,322.17880220000006,324.198631,324.198631,324.198631,324.198631,2,1.4335816999999906,325.6490174999999,325.6490174999999,325.6490174999999,325.6490174999999,325.6490174999999,325.6490174999999,325.6490174999999,325.6490174999999,None,None,None,312.1990060999999,312.1990060999999,,,,,,,,,,,,,,,,,0,001,2024-06-26_14h47.33.096,robot_cogshifting_sign,2022.2.5,60.0087372721466,
"['red_top_Z_0', 'red_top_F_45', 'red_bottom_F_0', 'blue_top_S_0']","{'color': 'blue_top_S_0', 'position': 'red_bottom_F_0', 'orientation': 'red_top_F_45'}",position,"['orientation', 'position']",red_bottom_F_0,2,2,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,325.6490174999999,325.6490174999999,None,,325.6490174999999,326.6492138000001,326.6492138000001,328.7174732000001,335.2476514,337.2718135,337.2718135,337.2718135,337.2718135,3,2.528942900000061,339.8578063,342.7542122,339.8578063,342.7542122,339.8578063,342.7542122,339.8578063,342.7542122,0.8333333333333304,2.2147718999999597,space,325.6490174999999,325.6490174999999,2.8223701000000574,,,,,,,,,,,,,,,,0,001,2024-06-26_14h47.33.096,robot_cogshifting_sign,2022.2.5,60.0087372721466,
"['blue_top_T_45', 'red_top_N_45', 'red_top_H_0', 'red_bottom_Q_45']","{'color': 'blue_top_T_45', 'position': 'red_bottom_Q_45', 'orientation': 'red_top_H_0'}",orientation,"['color', 'orientation', 'position']",red_top_H_0,2,3,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,342.7542122,342.7542122,space,3.094387299999994,345.86591440000007,346.86596480000003,346.86596480000003,348.9354145,355.4434094999999,357.4658219999999,357.4658219999999,357.4658219999999,357.4658219999999,2,3.1024209999999357,360.59915909999995,360.59915909999995,360.59915909999995,360.59915909999995,360.59915909999995,360.59915909999995,360.59915909999995,360.59915909999995,None,None,None,,,,,,,,,,,,,,,,,,,0,001,2024-06-26_14h47.33.096,robot_cogshifting_sign,2022.2.5,60.0087372721466,
"['blue_bottom_R_0', 'blue_left_C_45', 'red_bottom_J_45', 'blue_bottom_F_45']","{'color': 'red_bottom_J_45', 'position': 'blue_left_C_45', 'orientation': 'blue_bottom_R_0'}",color,"['color', 'orientation', 'position']",red_bottom_J_45,2,3,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,360.59915909999995,360.59915909999995,None,,360.59915909999995,361.59941000000003,361.59941000000003,363.6741565,370.56440169999996,372.591263,372.591263,372.591263,372.591263,3,3.6663723999998865,376.28269580000006,376.28269580000006,376.28269580000006,376.28269580000006,376.28269580000006,376.28269580000006,376.28269580000006,376.28269580000006,None,None,None,360.59915909999995,360.59915909999995,,,,,,,,,,,,,,,,,0,001,2024-06-26_14h47.33.096,robot_cogshifting_sign,2022.2.5,60.0087372721466,
