sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject
"['red_right_T_0', 'red_right_Z_45', 'blue_right_P_0', 'red_left_G_0']","{'color': 'blue_right_P_0', 'position': 'red_left_G_0', 'orientation': 'red_right_Z_45'}",position,['position'],red_left_G_0,3,1,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,19
"['red_bottom_Z_0', 'blue_left_P_0', 'blue_bottom_L_0', 'blue_bottom_D_45']","{'color': 'red_bottom_Z_0', 'position': 'blue_left_P_0', 'orientation': 'blue_bottom_D_45'}",orientation,['orientation'],blue_bottom_D_45,3,1,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,19
"['red_top_G_0', 'blue_top_Q_45', 'red_top_V_45', 'red_left_J_45']","{'color': 'blue_top_Q_45', 'position': 'red_left_J_45', 'orientation': 'red_top_G_0'}",color,['color'],blue_top_Q_45,1,1,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,19
"['blue_left_S_0', 'red_left_N_45', 'red_left_G_0', 'red_bottom_T_0']","{'color': 'blue_left_S_0', 'position': 'red_bottom_T_0', 'orientation': 'red_left_N_45'}",orientation,"['orientation', 'position']",red_left_N_45,1,2,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,19
"['red_bottom_X_45', 'red_top_R_45', 'blue_bottom_V_45', 'red_bottom_D_0']","{'color': 'blue_bottom_V_45', 'position': 'red_top_R_45', 'orientation': 'red_bottom_D_0'}",position,"['color', 'position']",red_top_R_45,1,2,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,19
"['red_left_J_45', 'blue_left_R_0', 'blue_right_N_45', 'blue_left_L_45']","{'color': 'red_left_J_45', 'position': 'blue_right_N_45', 'orientation': 'blue_left_R_0'}",color,"['color', 'position']",red_left_J_45,0,2,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,19
"['red_bottom_G_45', 'blue_bottom_N_45', 'blue_bottom_J_0', 'blue_right_P_45']","{'color': 'red_bottom_G_45', 'position': 'blue_right_P_45', 'orientation': 'blue_bottom_J_0'}",position,"['color', 'orientation', 'position']",blue_right_P_45,3,3,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,19
"['blue_top_T_45', 'red_bottom_W_45', 'red_top_W_45', 'red_top_F_0']","{'color': 'blue_top_T_45', 'position': 'red_bottom_W_45', 'orientation': 'red_top_F_0'}",color,"['color', 'orientation', 'position']",blue_top_T_45,0,3,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,19
"['blue_left_C_45', 'red_left_Z_45', 'blue_left_C_0', 'blue_top_X_45']","{'color': 'red_left_Z_45', 'position': 'blue_top_X_45', 'orientation': 'blue_left_C_0'}",orientation,"['color', 'orientation', 'position']",blue_left_C_0,2,3,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,19
"['L_Torso_X_Back', 'R_Head_X_Back', 'L_Head_Y_Back', 'L_Head_X_Back']","{'laterality': 'R_Head_X_Back', 'localisation': 'L_Torso_X_Back', 'movement': 'L_Head_Y_Back'}",movement,['movement'],L_Head_Y_Back,2,1,robot,1,True,False,"['robot_stimuli\\L_Torso_X_Back.mp4', 'robot_stimuli\\R_Head_X_Back.mp4', 'robot_stimuli\\L_Head_Y_Back.mp4', 'robot_stimuli\\L_Head_X_Back.mp4']",robot_stimuli\L_Head_Y_Back.mp4,19
"['R_Torso_X_For', 'R_Head_X_Back', 'L_Head_X_Back', 'R_Head_Z_Back']","{'laterality': 'L_Head_X_Back', 'localisation': 'R_Torso_X_For', 'movement': 'R_Head_Z_Back'}",laterality,['laterality'],L_Head_X_Back,2,1,robot,1,False,False,"['robot_stimuli\\R_Torso_X_For.mp4', 'robot_stimuli\\R_Head_X_Back.mp4', 'robot_stimuli\\L_Head_X_Back.mp4', 'robot_stimuli\\R_Head_Z_Back.mp4']",robot_stimuli\L_Head_X_Back.mp4,19
