sequence,is_target,condition,stimuli,block,is_block_beginning,is_block_ending,fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_robot_intro_text.started,training_robot_intro_key.started,training_robot_intro_key.keys,training_robot_intro_key.rt,cross.started,cross.stopped,training_letter.started,training_robot_key.started,training_robot_question.started,training_robot_keys.started,training_letter.stopped,training_robot_key.keys,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_robot_intro_text.stopped,training_robot_intro_key.stopped,training_robot_key.rt,RSME_key.rt,training_robot_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,movie.started,key.started,key.keys,key.rt,block_intro_text.stopped,block_intro_key.stopped,letter.started,letter.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,13.607058899999998,13.607058899999998,f,634.2686616999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2024-06-07_13h51.21.659,robot_nback_sign,2022.2.5,59.9341443621769,
,,,,,,,,,,,,,,,,,,,,,,,,,647.9344136999999,647.9344136999999,space,262.09383950000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2024-06-07_13h51.21.659,robot_nback_sign,2022.2.5,59.9341443621769,
L,False,1,letter,2,True,False,robot_stimuli\\filler.mp4,5,0,0,0,0,0,0,0,0,,,,,,,,,,,,,910.0742915,910.0742915,space,6.066228999999879,916.1597502999999,917.6368446999999,917.6368446999999,917.6368446999999,917.6368446999999,917.6368446999999,919.9650614000001,None,919.9650614000001,919.9650614000001,919.9650614000001,919.9650614000001,919.9650614000001,919.9650614000001,919.9650614000001,919.9650614000001,None,None,None,,,,,,,,,,,,,,,,,,,,,,,5,001,2024-06-07_13h51.21.659,robot_nback_sign,2022.2.5,59.9341443621769,
P,False,1,letter,2,False,False,robot_stimuli\\filler.mp4,5,0,0,0,0,0,1,1,1,,,,,,,,,,,,,919.9650614000001,919.9650614000001,None,,919.9650614000001,,921.0430456,921.0430456,921.0430456,921.0430456,923.0738508000001,n,923.0738508000001,923.0738508000001,923.0738508000001,923.0738508000001,923.0738508000001,923.0738508000001,923.0738508000001,923.0738508000001,None,None,None,919.9650614000001,919.9650614000001,0.7773471999999799,,,,,,,,,,,,,,,,,,,,5,001,2024-06-07_13h51.21.659,robot_nback_sign,2022.2.5,59.9341443621769,
P,True,1,letter,2,False,False,robot_stimuli\\filler.mp4,5,0,0,0,0,0,2,2,2,,,,,,,,,,,,,923.0738508000001,923.0738508000001,None,,923.0738508000001,924.1451450999999,924.1451450999999,924.1451450999999,924.1451450999999,924.1451450999999,926.3727734,c,926.3727734,926.3727734,926.3727734,926.3727734,926.3727734,926.3727734,926.3727734,926.3727734,None,None,None,923.0738508000001,923.0738508000001,1.8188475999998843,,,,,,,,,,,,,,,,,,,,5,001,2024-06-07_13h51.21.659,robot_nback_sign,2022.2.5,59.9341443621769,
S,False,1,letter,2,False,False,robot_stimuli\\filler.mp4,5,0,0,0,0,0,3,3,3,,,,,,,,,,,,,926.3727734,926.3727734,None,,926.3727734,927.4441972999999,927.4441972999999,927.4441972999999,927.4441972999999,927.4441972999999,929.4768819,n,929.4768819,929.4768819,929.4768819,929.4768819,929.4768819,929.4768819,929.4768819,929.4768819,None,None,None,926.3727734,926.3727734,1.3038913000001173,,,,,,,,,,,,,,,,,,,,5,001,2024-06-07_13h51.21.659,robot_nback_sign,2022.2.5,59.9341443621769,
S,True,1,letter,2,False,False,robot_stimuli\\filler.mp4,5,0,0,0,0,0,4,4,4,,,,,,,,,,,,,929.4768819,929.4768819,None,,929.4768819,930.5465247999999,930.5465247999999,930.5465247999999,930.5465247999999,930.5465247999999,932.7794987999999,None,932.7794987999999,932.7794987999999,932.7794987999999,932.7794987999999,932.7794987999999,932.7794987999999,932.7794987999999,932.7794987999999,None,None,None,929.4768819,929.4768819,,,,,,,,,,,,,,,,,,,,,5,001,2024-06-07_13h51.21.659,robot_nback_sign,2022.2.5,59.9341443621769,
T,False,1,letter,2,False,True,robot_stimuli\\filler.mp4,5,0,0,0,0,0,5,5,5,,,,,,,,,,,,,932.7794987999999,932.7794987999999,None,,932.7794987999999,,933.8605194999999,933.8605194999999,933.8605194999999,933.8605194999999,935.9504825,n,935.9504825,963.4596315,935.9504825,963.4596315,935.9504825,963.4596315,935.9504825,963.4596315,60.401234567901234,24.415323899999976,space,932.7794987999999,932.7794987999999,1.0152171000000578,27.43766089999994,,,,,,,,,,,,,,,,,,,5,001,2024-06-07_13h51.21.659,robot_nback_sign,2022.2.5,59.9341443621769,
Z,False,2,letter,2,True,False,robot_stimuli\\filler.mp4,5,0,0,0,0,0,6,6,6,,,,,,,,,,,,,963.4596315,963.4596315,space,6.9928091999998685,970.4765392,971.5493121999999,971.5493121999999,971.5493121999999,971.5493121999999,971.5493121999999,973.7794711,None,973.7794711,973.7794711,973.7794711,973.7794711,973.7794711,973.7794711,973.7794711,973.7794711,None,None,None,,,,,,,,,,,,,,,,,,,,,,,5,001,2024-06-07_13h51.21.659,robot_nback_sign,2022.2.5,59.9341443621769,
V,False,2,letter,2,False,False,robot_stimuli\\filler.mp4,5,0,0,0,0,0,7,7,7,,,,,,,,,,,,,973.7794711,973.7794711,None,,973.7794711,,974.8608651999999,974.8608651999999,974.8608651999999,974.8608651999999,976.8923822999999,n,976.8923822999999,976.8923822999999,976.8923822999999,976.8923822999999,976.8923822999999,976.8923822999999,976.8923822999999,976.8923822999999,None,None,None,973.7794711,973.7794711,0.8955378000001417,,,,,,,,,,,,,,,,,,,,5,001,2024-06-07_13h51.21.659,robot_nback_sign,2022.2.5,59.9341443621769,
