sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,cue_before_text.started,training_presentation_letter.started,training_presentation_letter.stopped,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,polygon.stopped,cue_before_text.stopped,RSME_key.rt,training_presentation_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_movie.started,block_intro_text.stopped,block_intro_key.stopped,presentation_letter.started,presentation_letter.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.847477599978447,13.847477599978447,f,8.259267200250179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,2024-09-06_11h17.10.351,robot_cogshifting_sign,2022.2.5,59.85790936954056,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.162960899993777,22.162960899993777,space,19.11145759979263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,2024-09-06_11h17.10.351,robot_cogshifting_sign,2022.2.5,59.85790936954056,
"['blue_bottom_L_45', 'blue_right_C_0', 'red_bottom_H_0', 'blue_bottom_H_0']","{'color': 'red_bottom_H_0', 'position': 'blue_right_C_0', 'orientation': 'blue_bottom_L_45'}",position,['position'],blue_right_C_0,1,1,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,13,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,41.3340476998128,41.3340476998128,space,6.1886849999427795,47.54627060005441,48.54825680004433,59.38633459992707,61.62397469999269,61.62397469999269,61.62397469999269,61.62397469999269,2,62.99466930003837,124.68141590012237,124.68141590012237,124.68141590012237,124.68141590012237,124.68141590012237,124.68141590012237,124.68141590012237,124.68141590012237,None,None,None,,,,,,,,,,,,,,,,,,,,,13,001,2024-09-06_11h17.10.351,robot_cogshifting_sign,2022.2.5,59.85790936954056,
"['red_bottom_F_0', 'red_left_S_45', 'blue_bottom_R_45', 'red_bottom_H_45']","{'color': 'blue_bottom_R_45', 'position': 'red_left_S_45', 'orientation': 'red_bottom_F_0'}",orientation,['orientation'],red_bottom_F_0,0,1,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,13,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,124.68141590012237,124.68141590012237,None,,124.68141590012237,125.68339789984748,134.45072379987687,136.48802849976346,136.48802849976346,136.48802849976346,136.48802849976346,1,7.15476129995659,143.66881520021707,143.66881520021707,143.66881520021707,143.66881520021707,143.66881520021707,143.66881520021707,143.66881520021707,143.66881520021707,None,None,None,124.68141590012237,124.68141590012237,125.68339789984748,127.75420369999483,,,,,,,,,,,,,,,,,13,001,2024-09-06_11h17.10.351,robot_cogshifting_sign,2022.2.5,59.85790936954056,
"['blue_top_M_45', 'blue_left_L_45', 'blue_top_Q_0', 'red_top_F_45']","{'color': 'red_top_F_45', 'position': 'blue_left_L_45', 'orientation': 'blue_top_Q_0'}",color,['color'],red_top_F_45,3,1,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,13,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,143.66881520021707,143.66881520021707,None,,143.66881520021707,144.67078590020537,153.25442809984088,155.29168009990826,155.29168009990826,155.29168009990826,155.29168009990826,4,0.7748752003535628,156.1433459999971,166.09623190015554,156.1433459999971,166.09623190015554,156.1433459999971,166.09623190015554,156.1433459999971,166.09623190015554,12.619047619047615,7.6751405000686646,space,143.66881520021707,143.66881520021707,144.67078590020537,146.74148429976776,9.875585899688303,,,,,,,,,,,,,,,,13,001,2024-09-06_11h17.10.351,robot_cogshifting_sign,2022.2.5,59.85790936954056,
"['blue_top_X_45', 'blue_bottom_R_0', 'red_bottom_X_45', 'blue_bottom_J_45']","{'color': 'red_bottom_X_45', 'position': 'blue_top_X_45', 'orientation': 'blue_bottom_R_0'}",color,"['color', 'position']",red_bottom_X_45,2,2,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,13,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,166.09623190015554,166.09623190015554,space,3.810254500247538,169.93713239999488,170.9391104998067,179.72316509997472,181.74375029979274,181.74375029979274,181.74375029979274,181.74375029979274,3,3.8663965999148786,185.63468569982797,185.63468569982797,185.63468569982797,185.63468569982797,185.63468569982797,185.63468569982797,185.63468569982797,185.63468569982797,None,None,None,,,,,,,,,,,,,,,,,,,,,13,001,2024-09-06_11h17.10.351,robot_cogshifting_sign,2022.2.5,59.85790936954056,
"['blue_top_H_0', 'blue_right_S_0', 'red_top_F_0', 'blue_top_S_45']","{'color': 'red_top_F_0', 'position': 'blue_right_S_0', 'orientation': 'blue_top_S_45'}",orientation,"['orientation', 'position']",blue_top_S_45,3,2,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,13,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,185.63468569982797,185.63468569982797,None,,185.63468569982797,186.63669889979064,195.01992949983105,197.24088159995154,197.24088159995154,197.24088159995154,197.24088159995154,2,7.545969699975103,204.80580009985715,204.80580009985715,204.80580009985715,204.80580009985715,204.80580009985715,204.80580009985715,204.80580009985715,204.80580009985715,None,None,None,185.63468569982797,185.63468569982797,186.63669889979064,188.70742660015821,,,,,,,,,,,,,,,,,13,001,2024-09-06_11h17.10.351,robot_cogshifting_sign,2022.2.5,59.85790936954056,
"['blue_bottom_C_0', 'blue_top_M_0', 'red_bottom_H_0', 'blue_bottom_V_45']","{'color': 'red_bottom_H_0', 'position': 'blue_top_M_0', 'orientation': 'blue_bottom_V_45'}",position,"['orientation', 'position']",blue_top_M_0,1,2,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,13,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,204.80580009985715,204.80580009985715,None,,204.80580009985715,205.80775969987735,214.59185469988734,216.81276499992236,216.81276499992236,216.81276499992236,216.81276499992236,2,2.4379050000570714,219.30099740019068,223.07510269992054,219.30099740019068,223.07510269992054,219.30099740019068,223.07510269992054,219.30099740019068,223.07510269992054,37.22222222222223,2.614746800158173,space,204.80580009985715,204.80580009985715,205.80775969987735,207.8784944000654,3.7176047996617854,,,,,,,,,,,,,,,,13,001,2024-09-06_11h17.10.351,robot_cogshifting_sign,2022.2.5,59.85790936954056,
"['blue_top_S_0', 'red_top_X_0', 'red_top_T_45', 'red_left_M_0']","{'color': 'blue_top_S_0', 'position': 'red_left_M_0', 'orientation': 'red_top_T_45'}",position,"['color', 'orientation', 'position']",red_left_M_0,3,3,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,13,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,223.07510269992054,223.07510269992054,space,12.295477599836886,235.39930950012058,236.401292799972,245.1685859998688,247.18922349996865,247.18922349996865,247.18922349996865,247.18922349996865,4,2.869377000257373,250.07826340012252,250.07826340012252,250.07826340012252,250.07826340012252,250.07826340012252,250.07826340012252,250.07826340012252,250.07826340012252,None,None,None,,,,,,,,,,,,,,,,,,,,,13,001,2024-09-06_11h17.10.351,robot_cogshifting_sign,2022.2.5,59.85790936954056,
"['blue_top_F_45', 'red_top_V_0', 'red_top_L_45', 'red_right_X_45']","{'color': 'blue_top_F_45', 'position': 'red_right_X_45', 'orientation': 'red_top_V_0'}",color,"['color', 'orientation', 'position']",blue_top_F_45,0,3,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,13,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,250.07826340012252,250.07826340012252,None,,250.07826340012252,251.08021380007267,259.4302079998888,261.4506597002037,261.4506597002037,261.4506597002037,261.4506597002037,2,2.0474312999285758,263.52134920004755,263.52134920004755,263.52134920004755,263.52134920004755,263.52134920004755,263.52134920004755,263.52134920004755,263.52134920004755,None,None,None,250.07826340012252,250.07826340012252,251.08021380007267,253.15096919983625,,,,,,,,,,,,,,,,,13,001,2024-09-06_11h17.10.351,robot_cogshifting_sign,2022.2.5,59.85790936954056,
