sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject
"['blue_bottom_L_45', 'blue_right_C_0', 'red_bottom_H_0', 'blue_bottom_H_0']","{'color': 'red_bottom_H_0', 'position': 'blue_right_C_0', 'orientation': 'blue_bottom_L_45'}",position,['position'],blue_right_C_0,1,1,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,13
"['red_bottom_F_0', 'red_left_S_45', 'blue_bottom_R_45', 'red_bottom_H_45']","{'color': 'blue_bottom_R_45', 'position': 'red_left_S_45', 'orientation': 'red_bottom_F_0'}",orientation,['orientation'],red_bottom_F_0,0,1,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,13
"['blue_top_M_45', 'blue_left_L_45', 'blue_top_Q_0', 'red_top_F_45']","{'color': 'red_top_F_45', 'position': 'blue_left_L_45', 'orientation': 'blue_top_Q_0'}",color,['color'],red_top_F_45,3,1,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,13
"['blue_top_X_45', 'blue_bottom_R_0', 'red_bottom_X_45', 'blue_bottom_J_45']","{'color': 'red_bottom_X_45', 'position': 'blue_top_X_45', 'orientation': 'blue_bottom_R_0'}",color,"['color', 'position']",red_bottom_X_45,2,2,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,13
"['blue_top_H_0', 'blue_right_S_0', 'red_top_F_0', 'blue_top_S_45']","{'color': 'red_top_F_0', 'position': 'blue_right_S_0', 'orientation': 'blue_top_S_45'}",orientation,"['orientation', 'position']",blue_top_S_45,3,2,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,13
"['blue_bottom_C_0', 'blue_top_M_0', 'red_bottom_H_0', 'blue_bottom_V_45']","{'color': 'red_bottom_H_0', 'position': 'blue_top_M_0', 'orientation': 'blue_bottom_V_45'}",position,"['orientation', 'position']",blue_top_M_0,1,2,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,13
"['blue_top_S_0', 'red_top_X_0', 'red_top_T_45', 'red_left_M_0']","{'color': 'blue_top_S_0', 'position': 'red_left_M_0', 'orientation': 'red_top_T_45'}",position,"['color', 'orientation', 'position']",red_left_M_0,3,3,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,13
"['blue_top_F_45', 'red_top_V_0', 'red_top_L_45', 'red_right_X_45']","{'color': 'blue_top_F_45', 'position': 'red_right_X_45', 'orientation': 'red_top_V_0'}",color,"['color', 'orientation', 'position']",blue_top_F_45,0,3,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,13
"['blue_bottom_N_0', 'red_bottom_J_45', 'red_bottom_Q_0', 'red_top_H_0']","{'color': 'blue_bottom_N_0', 'position': 'red_top_H_0', 'orientation': 'red_bottom_J_45'}",orientation,"['color', 'orientation', 'position']",red_bottom_J_45,1,3,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,13
"['R_Arm_Y_Back', 'R_Arm_X_For', 'L_Arm_X_For', 'R_Head_X_Back']","{'laterality': 'L_Arm_X_For', 'localisation': 'R_Head_X_Back', 'movement': 'R_Arm_Y_Back'}",laterality,['laterality'],L_Arm_X_For,2,1,robot,1,True,False,"['robot_stimuli\\R_Arm_Y_Back.mp4', 'robot_stimuli\\R_Arm_X_For.mp4', 'robot_stimuli\\L_Arm_X_For.mp4', 'robot_stimuli\\R_Head_X_Back.mp4']",robot_stimuli\L_Arm_X_For.mp4,13
"['R_Torso_Y_For', 'R_Base_Y_For', 'L_Base_Y_Back', 'R_Base_X_For']","{'laterality': 'L_Base_Y_Back', 'localisation': 'R_Torso_Y_For', 'movement': 'R_Base_X_For'}",movement,['movement'],R_Base_X_For,3,1,robot,1,False,False,"['robot_stimuli\\R_Torso_Y_For.mp4', 'robot_stimuli\\R_Base_Y_For.mp4', 'robot_stimuli\\L_Base_Y_Back.mp4', 'robot_stimuli\\R_Base_X_For.mp4']",robot_stimuli\R_Base_X_For.mp4,13
"['L_Base_Y_Back', 'R_Base_Y_Back', 'L_Head_Y_Back', 'L_Base_Z_For']","{'laterality': 'R_Base_Y_Back', 'localisation': 'L_Head_Y_Back', 'movement': 'L_Base_Z_For'}",localisation,['localisation'],L_Head_Y_Back,2,1,robot,1,False,True,"['robot_stimuli\\L_Base_Y_Back.mp4', 'robot_stimuli\\R_Base_Y_Back.mp4', 'robot_stimuli\\L_Head_Y_Back.mp4', 'robot_stimuli\\L_Base_Z_For.mp4']",robot_stimuli\L_Head_Y_Back.mp4,13
