sequence,is_target,condition,stimuli,block,is_block_beginning,is_block_ending,fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_robot_intro_text.started,training_robot_intro_key.started,training_robot_intro_key.keys,training_robot_intro_key.rt,cross.started,cross.stopped,training_letter.started,training_robot_key.started,training_robot_question.started,training_robot_keys.started,training_letter.stopped,training_robot_key.keys,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_robot_intro_text.stopped,training_robot_intro_key.stopped,training_robot_key.rt,RSME_key.rt,training_robot_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,movie.started,key.started,key.keys,block_intro_text.stopped,block_intro_key.stopped,key.rt,letter.started,letter.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,18.141655599999467,18.141655599999467,f,2.0929492000004757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,001,2024-07-01_14h55.26.674,robot_nback_sign,2022.2.5,59.96879224057771,
,,,,,,,,,,,,,,,,,,,,,,,,,20.292296999999962,20.292296999999962,space,63.16768680000041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,001,2024-07-01_14h55.26.674,robot_nback_sign,2022.2.5,59.96879224057771,
G,False,1,letter,2,True,False,robot_stimuli\\filler.mp4,19,0,0,0,0,0,0,0,0,,,,,,,,,,,,,83.50497369999994,83.50497369999994,space,55.90633820000039,139.4373297000002,140.84814749999987,140.84814749999987,140.84814749999987,140.84814749999987,140.84814749999987,143.1571342999996,None,143.1571342999996,143.1571342999996,143.1571342999996,143.1571342999996,143.1571342999996,143.1571342999996,143.1571342999996,143.1571342999996,None,None,None,,,,,,,,,,,,,,,,,,,,,,,19,001,2024-07-01_14h55.26.674,robot_nback_sign,2022.2.5,59.96879224057771,
G,True,1,letter,2,False,False,robot_stimuli\\filler.mp4,19,0,0,0,0,0,1,1,1,,,,,,,,,,,,,143.1571342999996,143.1571342999996,None,,143.1571342999996,,144.23801009999988,144.23801009999988,144.23801009999988,144.23801009999988,146.26620679999996,n,146.26620679999996,146.26620679999996,146.26620679999996,146.26620679999996,146.26620679999996,146.26620679999996,146.26620679999996,146.26620679999996,None,None,None,143.1571342999996,143.1571342999996,1.8944467999999688,,,,,,,,,,,,,,,,,,,,19,001,2024-07-01_14h55.26.674,robot_nback_sign,2022.2.5,59.96879224057771,
P,False,1,letter,2,False,False,robot_stimuli\\filler.mp4,19,0,0,0,0,0,2,2,2,,,,,,,,,,,,,146.26620679999996,146.26620679999996,None,,146.26620679999996,147.33555999999953,147.33555999999953,147.33555999999953,147.33555999999953,147.33555999999953,149.36318380000012,None,149.36318380000012,149.36318380000012,149.36318380000012,149.36318380000012,149.36318380000012,149.36318380000012,149.36318380000012,149.36318380000012,None,None,None,146.26620679999996,146.26620679999996,,,,,,,,,,,,,,,,,,,,,19,001,2024-07-01_14h55.26.674,robot_nback_sign,2022.2.5,59.96879224057771,
C,False,1,letter,2,False,False,robot_stimuli\\filler.mp4,19,0,0,0,0,0,3,3,3,,,,,,,,,,,,,149.36318380000012,149.36318380000012,None,,149.36318380000012,150.43697950000023,150.43697950000023,150.43697950000023,150.43697950000023,150.43697950000023,152.4677241999998,None,152.4677241999998,152.4677241999998,152.4677241999998,152.4677241999998,152.4677241999998,152.4677241999998,152.4677241999998,152.4677241999998,None,None,None,149.36318380000012,149.36318380000012,,,,,,,,,,,,,,,,,,,,,19,001,2024-07-01_14h55.26.674,robot_nback_sign,2022.2.5,59.96879224057771,
C,True,1,letter,2,False,False,robot_stimuli\\filler.mp4,19,0,0,0,0,0,4,4,4,,,,,,,,,,,,,152.4677241999998,152.4677241999998,None,,152.4677241999998,153.54053199999998,153.54053199999998,153.54053199999998,153.54053199999998,153.54053199999998,155.76676229999975,None,155.76676229999975,155.76676229999975,155.76676229999975,155.76676229999975,155.76676229999975,155.76676229999975,155.76676229999975,155.76676229999975,None,None,None,152.4677241999998,152.4677241999998,,,,,,,,,,,,,,,,,,,,,19,001,2024-07-01_14h55.26.674,robot_nback_sign,2022.2.5,59.96879224057771,
K,False,1,letter,2,False,True,robot_stimuli\\filler.mp4,19,0,0,0,0,0,5,5,5,,,,,,,,,,,,,155.76676229999975,155.76676229999975,None,,155.76676229999975,156.84238579999965,156.84238579999965,156.84238579999965,156.84238579999965,156.84238579999965,158.93029769999976,None,158.93029769999976,175.00820039999962,158.93029769999976,175.00820039999962,158.93029769999976,175.00820039999962,158.93029769999976,175.00820039999962,33.85802469135802,14.76028580000002,space,155.76676229999975,155.76676229999975,,16.024610000000393,,,,,,,,,,,,,,,,,,,19,001,2024-07-01_14h55.26.674,robot_nback_sign,2022.2.5,59.96879224057771,
H,False,2,letter,2,True,False,robot_stimuli\\filler.mp4,19,0,0,0,0,0,6,6,6,,,,,,,,,,,,,175.00820039999962,175.00820039999962,space,3.724003700001049,178.75403769999957,179.82548010000028,179.82548010000028,179.82548010000028,179.82548010000028,179.82548010000028,182.05148000000008,None,182.05148000000008,182.05148000000008,182.05148000000008,182.05148000000008,182.05148000000008,182.05148000000008,182.05148000000008,182.05148000000008,None,None,None,,,,,,,,,,,,,,,,,,,,,,,19,001,2024-07-01_14h55.26.674,robot_nback_sign,2022.2.5,59.96879224057771,
W,False,2,letter,2,False,False,robot_stimuli\\filler.mp4,19,0,0,0,0,0,7,7,7,,,,,,,,,,,,,182.05148000000008,182.05148000000008,None,,182.05148000000008,183.12155600000006,183.12155600000006,183.12155600000006,183.12155600000006,183.12155600000006,185.1509702000003,n,185.1509702000003,185.1509702000003,185.1509702000003,185.1509702000003,185.1509702000003,185.1509702000003,185.1509702000003,185.1509702000003,None,None,None,182.05148000000008,182.05148000000008,1.2498838000001342,,,,,,,,,,,,,,,,,,,,19,001,2024-07-01_14h55.26.674,robot_nback_sign,2022.2.5,59.96879224057771,
