sequence,is_target,condition,stimuli,block,is_block_beginning,is_block_ending,fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_robot_intro_text.started,training_robot_intro_key.started,training_robot_intro_key.keys,training_robot_intro_key.rt,cross.started,cross.stopped,training_letter.started,training_robot_key.started,training_robot_question.started,training_robot_keys.started,training_letter.stopped,training_robot_key.keys,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_robot_intro_text.stopped,training_robot_intro_key.stopped,training_robot_key.rt,RSME_key.rt,training_robot_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,movie.started,key.started,key.keys,block_intro_text.stopped,block_intro_key.stopped,key.rt,letter.started,letter.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,11.669825299999957,11.669825299999957,f,3.5718646000000263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,2024-06-19_08h04.18.089,robot_nback_sign,2022.2.5,59.93382107474965,
,,,,,,,,,,,,,,,,,,,,,,,,,15.300391600000012,15.300391600000012,space,48.37363370000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,2024-06-19_08h04.18.089,robot_nback_sign,2022.2.5,59.93382107474965,
P,False,1,letter,2,True,False,robot_stimuli\\filler.mp4,13,0,0,0,0,0,0,0,0,,,,,,,,,,,,,63.72730939999997,63.72730939999997,space,3.002486200000021,66.74647029999994,68.06363429999999,68.06363429999999,68.06363429999999,68.06363429999999,68.06363429999999,70.37796659999992,None,70.37796659999992,70.37796659999992,70.37796659999992,70.37796659999992,70.37796659999992,70.37796659999992,70.37796659999992,70.37796659999992,None,None,None,,,,,,,,,,,,,,,,,,,,,,,13,001,2024-06-19_08h04.18.089,robot_nback_sign,2022.2.5,59.93382107474965,
X,False,1,letter,2,False,False,robot_stimuli\\filler.mp4,13,0,0,0,0,0,1,1,1,,,,,,,,,,,,,70.37796659999992,70.37796659999992,None,,70.37796659999992,71.4481839,71.4481839,71.4481839,71.4481839,71.4481839,73.68098049999992,None,73.68098049999992,73.68098049999992,73.68098049999992,73.68098049999992,73.68098049999992,73.68098049999992,73.68098049999992,73.68098049999992,None,None,None,70.37796659999992,70.37796659999992,,,,,,,,,,,,,,,,,,,,,13,001,2024-06-19_08h04.18.089,robot_nback_sign,2022.2.5,59.93382107474965,
X,True,1,letter,2,False,False,robot_stimuli\\filler.mp4,13,0,0,0,0,0,2,2,2,,,,,,,,,,,,,73.68098049999992,73.68098049999992,None,,73.68098049999992,,74.7643137,74.7643137,74.7643137,74.7643137,76.99398289999999,c,76.99398289999999,76.99398289999999,76.99398289999999,76.99398289999999,76.99398289999999,76.99398289999999,76.99398289999999,76.99398289999999,None,None,None,73.68098049999992,73.68098049999992,1.2941602000000785,,,,,,,,,,,,,,,,,,,,13,001,2024-06-19_08h04.18.089,robot_nback_sign,2022.2.5,59.93382107474965,
D,False,1,letter,2,False,False,robot_stimuli\\filler.mp4,13,0,0,0,0,0,3,3,3,,,,,,,,,,,,,76.99398289999999,76.99398289999999,None,,76.99398289999999,78.06390779999992,78.06390779999992,78.06390779999992,78.06390779999992,78.06390779999992,80.09514979999994,None,80.09514979999994,80.09514979999994,80.09514979999994,80.09514979999994,80.09514979999994,80.09514979999994,80.09514979999994,80.09514979999994,None,None,None,76.99398289999999,76.99398289999999,,,,,,,,,,,,,,,,,,,,,13,001,2024-06-19_08h04.18.089,robot_nback_sign,2022.2.5,59.93382107474965,
X,False,1,letter,2,False,False,robot_stimuli\\filler.mp4,13,0,0,0,0,0,4,4,4,,,,,,,,,,,,,80.09514979999994,80.09514979999994,None,,80.09514979999994,81.16398749999996,81.16398749999996,81.16398749999996,81.16398749999996,81.16398749999996,83.19523579999998,None,83.19523579999998,83.19523579999998,83.19523579999998,83.19523579999998,83.19523579999998,83.19523579999998,83.19523579999998,83.19523579999998,None,None,None,80.09514979999994,80.09514979999994,,,,,,,,,,,,,,,,,,,,,13,001,2024-06-19_08h04.18.089,robot_nback_sign,2022.2.5,59.93382107474965,
X,True,1,letter,2,False,True,robot_stimuli\\filler.mp4,13,0,0,0,0,0,5,5,5,,,,,,,,,,,,,83.19523579999998,83.19523579999998,None,,83.19523579999998,84.2605519,84.2605519,84.2605519,84.2605519,84.2605519,86.3502469,None,86.3502469,99.45334959999991,86.3502469,99.45334959999991,86.3502469,99.45334959999991,86.3502469,99.45334959999991,57.46913580246914,11.595022699999959,space,83.19523579999998,83.19523579999998,,13.036471500000061,,,,,,,,,,,,,,,,,,,13,001,2024-06-19_08h04.18.089,robot_nback_sign,2022.2.5,59.93382107474965,
J,False,2,letter,2,True,False,robot_stimuli\\filler.mp4,13,0,0,0,0,0,6,6,6,,,,,,,,,,,,,99.45334959999991,99.45334959999991,space,3.4778034000000844,102.9631233,104.0455283,104.0455283,104.0455283,104.0455283,104.0455283,106.06956100000002,None,106.06956100000002,106.06956100000002,106.06956100000002,106.06956100000002,106.06956100000002,106.06956100000002,106.06956100000002,106.06956100000002,None,None,None,,,,,,,,,,,,,,,,,,,,,,,13,001,2024-06-19_08h04.18.089,robot_nback_sign,2022.2.5,59.93382107474965,
T,False,2,letter,2,False,False,robot_stimuli\\filler.mp4,13,0,0,0,0,0,7,7,7,,,,,,,,,,,,,106.06956100000002,106.06956100000002,None,,106.06956100000002,107.14781749999997,107.14781749999997,107.14781749999997,107.14781749999997,107.14781749999997,109.379185,None,109.379185,109.379185,109.379185,109.379185,109.379185,109.379185,109.379185,109.379185,None,None,None,106.06956100000002,106.06956100000002,,,,,,,,,,,,,,,,,,,,,13,001,2024-06-19_08h04.18.089,robot_nback_sign,2022.2.5,59.93382107474965,
