sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject
"['blue_left_Z_0', 'blue_bottom_W_0', 'red_bottom_J_0', 'blue_bottom_F_45']","{'color': 'red_bottom_J_0', 'position': 'blue_left_Z_0', 'orientation': 'blue_bottom_F_45'}",position,['position'],blue_left_Z_0,0,1,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,10
"['red_top_Z_45', 'red_left_X_0', 'blue_top_T_0', 'red_top_N_0']","{'color': 'blue_top_T_0', 'position': 'red_left_X_0', 'orientation': 'red_top_Z_45'}",orientation,['orientation'],red_top_Z_45,0,1,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,10
"['blue_right_D_45', 'blue_left_D_0', 'red_right_W_0', 'blue_right_T_0']","{'color': 'red_right_W_0', 'position': 'blue_left_D_0', 'orientation': 'blue_right_D_45'}",color,['color'],red_right_W_0,2,1,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,10
"['red_bottom_D_45', 'red_right_J_45', 'red_right_D_0', 'blue_right_S_45']","{'color': 'blue_right_S_45', 'position': 'red_bottom_D_45', 'orientation': 'red_right_D_0'}",orientation,"['color', 'orientation']",red_right_D_0,2,2,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,10
"['blue_bottom_G_45', 'blue_right_T_45', 'red_right_H_45', 'blue_right_B_0']","{'color': 'red_right_H_45', 'position': 'blue_bottom_G_45', 'orientation': 'blue_right_B_0'}",position,"['orientation', 'position']",blue_bottom_G_45,0,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,10
"['blue_left_X_0', 'red_top_B_0', 'blue_top_B_0', 'blue_top_T_45']","{'color': 'red_top_B_0', 'position': 'blue_left_X_0', 'orientation': 'blue_top_T_45'}",color,"['color', 'orientation']",red_top_B_0,1,2,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,10
"['red_left_L_0', 'blue_top_H_0', 'blue_left_V_0', 'blue_left_X_45']","{'color': 'red_left_L_0', 'position': 'blue_top_H_0', 'orientation': 'blue_left_X_45'}",orientation,"['color', 'orientation', 'position']",blue_left_X_45,3,3,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,10
"['red_left_B_0', 'blue_left_X_45', 'blue_left_P_0', 'blue_right_D_0']","{'color': 'red_left_B_0', 'position': 'blue_right_D_0', 'orientation': 'blue_left_X_45'}",color,"['color', 'orientation', 'position']",red_left_B_0,0,3,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,10
"['blue_top_Q_0', 'blue_right_J_0', 'blue_top_V_45', 'red_top_P_0']","{'color': 'red_top_P_0', 'position': 'blue_right_J_0', 'orientation': 'blue_top_V_45'}",position,"['color', 'orientation', 'position']",blue_right_J_0,1,3,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,10
"['L_Base_Y_For', 'R_Arm_Y_Back', 'R_Base_Z_For', 'R_Base_Y_Back']","{'laterality': 'L_Base_Y_For', 'localisation': 'R_Arm_Y_Back', 'movement': 'R_Base_Z_For'}",movement,['movement'],R_Base_Z_For,2,1,robot,2,True,False,"['robot_stimuli\\L_Base_Y_For.mp4', 'robot_stimuli\\R_Arm_Y_Back.mp4', 'robot_stimuli\\R_Base_Z_For.mp4', 'robot_stimuli\\R_Base_Y_Back.mp4']",robot_stimuli\R_Base_Z_For.mp4,10
