sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,polygon.stopped,cue_before_text.started,cue_before_text.stopped,training_presentation_letter.started,training_presentation_letter.stopped,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,RSME_key.rt,training_presentation_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_letter.started,presentation_letter.stopped,block_intro_text.stopped,block_intro_key.stopped,presentation_movie.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.92153799999869,10.92153799999869,f,1.6736046000005445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2024-07-29_16h03.51.019,robot_cogshifting_sign,2022.2.5,59.880669801428404,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.65914100000009,12.65914100000009,space,134.52763210000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2024-07-29_16h03.51.019,robot_cogshifting_sign,2022.2.5,59.880669801428404,
"['blue_left_Z_0', 'blue_bottom_W_0', 'red_bottom_J_0', 'blue_bottom_F_45']","{'color': 'red_bottom_J_0', 'position': 'blue_left_Z_0', 'orientation': 'blue_bottom_F_45'}",position,['position'],blue_left_Z_0,0,1,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,10,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,147.21764039999834,147.21764039999834,space,3.657355400000597,150.9037286999992,151.90364389999922,151.90364389999922,154.2475727000001,160.9487922999997,162.98608179999974,162.98608179999974,162.98608179999974,162.98608179999974,1,3.760220500000287,166.84931519999918,166.84931519999918,166.84931519999918,166.84931519999918,166.84931519999918,166.84931519999918,166.84931519999918,166.84931519999918,None,None,None,,,,,,,,,,,,,,,,,,,10,001,2024-07-29_16h03.51.019,robot_cogshifting_sign,2022.2.5,59.880669801428404,
"['red_top_Z_45', 'red_left_X_0', 'blue_top_T_0', 'red_top_N_0']","{'color': 'blue_top_T_0', 'position': 'red_left_X_0', 'orientation': 'red_top_Z_45'}",orientation,['orientation'],red_top_Z_45,0,1,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,10,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,166.84931519999918,166.84931519999918,None,,166.84931519999918,,167.85340469999937,,176.62415509999846,178.84012819999953,178.84012819999953,178.84012819999953,178.84012819999953,1,10.266188699999475,189.13687189999837,189.13687189999837,189.13687189999837,189.13687189999837,189.13687189999837,189.13687189999837,189.13687189999837,189.13687189999837,None,None,None,166.84931519999918,166.84931519999918,,,,,,,,,,,,,,,,,10,001,2024-07-29_16h03.51.019,robot_cogshifting_sign,2022.2.5,59.880669801428404,
"['blue_right_D_45', 'blue_left_D_0', 'red_right_W_0', 'blue_right_T_0']","{'color': 'red_right_W_0', 'position': 'blue_left_D_0', 'orientation': 'blue_right_D_45'}",color,['color'],red_right_W_0,2,1,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,10,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,189.13687189999837,189.13687189999837,None,,189.13687189999837,190.13699199999974,190.13699199999974,192.2109838999986,198.72379439999895,200.9440799999993,200.9440799999993,200.9440799999993,200.9440799999993,3,5.067546599999332,206.0925675999988,327.44744719999835,206.0925675999988,327.44744719999835,206.0925675999988,327.44744719999835,206.0925675999988,327.44744719999835,10.246913580246913,3.452993900000365,space,189.13687189999837,189.13687189999837,121.2865927999992,,,,,,,,,,,,,,,,10,001,2024-07-29_16h03.51.019,robot_cogshifting_sign,2022.2.5,59.880669801428404,
"['red_bottom_D_45', 'red_right_J_45', 'red_right_D_0', 'blue_right_S_45']","{'color': 'blue_right_S_45', 'position': 'red_bottom_D_45', 'orientation': 'red_right_D_0'}",orientation,"['color', 'orientation']",red_right_D_0,2,2,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,10,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,327.44744719999835,327.44744719999835,space,2.8674013999989256,330.3367989999988,331.33683839999867,331.33683839999867,333.4111353999997,339.91576480000003,341.94794059999913,341.94794059999913,341.94794059999913,341.94794059999913,3,6.367757600000914,348.3371066999989,348.3371066999989,348.3371066999989,348.3371066999989,348.3371066999989,348.3371066999989,348.3371066999989,348.3371066999989,None,None,None,,,,,,,,,,,,,,,,,,,10,001,2024-07-29_16h03.51.019,robot_cogshifting_sign,2022.2.5,59.880669801428404,
"['blue_bottom_G_45', 'blue_right_T_45', 'red_right_H_45', 'blue_right_B_0']","{'color': 'red_right_H_45', 'position': 'blue_bottom_G_45', 'orientation': 'blue_right_B_0'}",position,"['orientation', 'position']",blue_bottom_G_45,0,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,10,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,348.3371066999989,348.3371066999989,None,,348.3371066999989,349.3369359999997,349.3369359999997,351.4089408999989,358.1284779999987,360.15344059999916,360.15344059999916,360.15344059999916,360.15344059999916,1,3.226047300000573,363.40350989999934,363.40350989999934,363.40350989999934,363.40350989999934,363.40350989999934,363.40350989999934,363.40350989999934,363.40350989999934,None,None,None,348.3371066999989,348.3371066999989,,,,,,,,,,,,,,,,,10,001,2024-07-29_16h03.51.019,robot_cogshifting_sign,2022.2.5,59.880669801428404,
"['blue_left_X_0', 'red_top_B_0', 'blue_top_B_0', 'blue_top_T_45']","{'color': 'red_top_B_0', 'position': 'blue_left_X_0', 'orientation': 'blue_top_T_45'}",color,"['color', 'orientation']",red_top_B_0,1,2,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,10,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,363.40350989999934,363.40350989999934,None,,363.40350989999934,364.40368059999855,364.40368059999855,366.4761654999984,373.17438330000004,375.39770489999864,375.39770489999864,375.39770489999864,375.39770489999864,2,1.7010953999997582,377.1456621999987,381.5967363,377.1456621999987,381.5967363,377.1456621999987,381.5967363,377.1456621999987,381.5967363,26.450617283950614,2.815306899999996,space,363.40350989999934,363.40350989999934,4.401994300000297,,,,,,,,,,,,,,,,10,001,2024-07-29_16h03.51.019,robot_cogshifting_sign,2022.2.5,59.880669801428404,
"['red_left_L_0', 'blue_top_H_0', 'blue_left_V_0', 'blue_left_X_45']","{'color': 'red_left_L_0', 'position': 'blue_top_H_0', 'orientation': 'blue_left_X_45'}",orientation,"['color', 'orientation', 'position']",blue_left_X_45,3,3,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,10,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,381.5967363,381.5967363,space,2.950265600000421,384.5702848000001,385.57046589999845,385.57046589999845,387.6442105999995,394.14308249999885,396.3655450999995,396.3655450999995,396.3655450999995,396.3655450999995,4,3.206014999999752,399.6037308999985,399.6037308999985,399.6037308999985,399.6037308999985,399.6037308999985,399.6037308999985,399.6037308999985,399.6037308999985,None,None,None,,,,,,,,,,,,,,,,,,,10,001,2024-07-29_16h03.51.019,robot_cogshifting_sign,2022.2.5,59.880669801428404,
"['red_left_B_0', 'blue_left_X_45', 'blue_left_P_0', 'blue_right_D_0']","{'color': 'red_left_B_0', 'position': 'blue_right_D_0', 'orientation': 'blue_left_X_45'}",color,"['color', 'orientation', 'position']",red_left_B_0,0,3,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,10,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,399.6037308999985,399.6037308999985,None,,399.6037308999985,400.6037773999997,400.6037773999997,402.67566609999994,409.371448599999,411.5982211999999,411.5982211999999,411.5982211999999,411.5982211999999,1,2.90803219999907,414.5369271999989,414.5369271999989,414.5369271999989,414.5369271999989,414.5369271999989,414.5369271999989,414.5369271999989,414.5369271999989,None,None,None,399.6037308999985,399.6037308999985,,,,,,,,,,,,,,,,,10,001,2024-07-29_16h03.51.019,robot_cogshifting_sign,2022.2.5,59.880669801428404,
