sequence,is_target,condition,stimuli,block,is_block_beginning,is_block_ending,fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_robot_intro_text.started,training_robot_intro_key.started,training_robot_intro_key.keys,training_robot_intro_key.rt,cross.started,cross.stopped,training_letter.started,training_robot_key.started,training_robot_question.started,training_robot_keys.started,training_letter.stopped,training_robot_key.keys,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_robot_intro_text.stopped,training_robot_intro_key.stopped,training_robot_key.rt,RSME_key.rt,training_robot_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,letter.started,key.started,letter.stopped,key.keys,block_intro_text.stopped,block_intro_key.stopped,key.rt,movie.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,23.466118299999835,23.466118299999835,f,746.9460035999991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2024-06-13_14h42.35.897,robot_nback_sign,2022.2.5,59.83634758934138,
,,,,,,,,,,,,,,,,,,,,,,,,,770.4817091000004,770.4817091000004,space,83.8917137999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2024-06-13_14h42.35.897,robot_nback_sign,2022.2.5,59.83634758934138,
C,False,1,letter,1,True,False,robot_stimuli\\filler.mp4,8,0,0,0,0,0,0,0,0,,,,,,,,,,,,,854.4126023999997,854.4126023999997,space,57.01603319999958,911.4607235000003,912.8063124,912.8063124,912.8063124,912.8063124,912.8063124,915.1136471,None,915.1136471,915.1136471,915.1136471,915.1136471,915.1136471,915.1136471,915.1136471,915.1136471,None,None,None,,,,,,,,,,,,,,,,,,,,,,,8,001,2024-06-13_14h42.35.897,robot_nback_sign,2022.2.5,59.83634758934138,
Q,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,8,0,0,0,0,0,1,1,1,,,,,,,,,,,,,915.1136471,915.1136471,None,,915.1136471,,916.1951467999997,916.1951467999997,916.1951467999997,916.1951467999997,918.2242064000002,n,918.2242064000002,918.2242064000002,918.2242064000002,918.2242064000002,918.2242064000002,918.2242064000002,918.2242064000002,918.2242064000002,None,None,None,915.1136471,915.1136471,1.314585199999783,,,,,,,,,,,,,,,,,,,,8,001,2024-06-13_14h42.35.897,robot_nback_sign,2022.2.5,59.83634758934138,
W,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,8,0,0,0,0,0,2,2,2,,,,,,,,,,,,,918.2242064000002,918.2242064000002,None,,918.2242064000002,919.2951297999998,919.2951297999998,919.2951297999998,919.2951297999998,919.2951297999998,921.3265627999999,n,921.3265627999999,921.3265627999999,921.3265627999999,921.3265627999999,921.3265627999999,921.3265627999999,921.3265627999999,921.3265627999999,None,None,None,918.2242064000002,918.2242064000002,1.0617769999998927,,,,,,,,,,,,,,,,,,,,8,001,2024-06-13_14h42.35.897,robot_nback_sign,2022.2.5,59.83634758934138,
W,True,1,letter,1,False,False,robot_stimuli\\filler.mp4,8,0,0,0,0,0,3,3,3,,,,,,,,,,,,,921.3265627999999,921.3265627999999,None,,921.3265627999999,922.3958284999999,922.3958284999999,922.3958284999999,922.3958284999999,922.3958284999999,924.6253445000002,c,924.6253445000002,924.6253445000002,924.6253445000002,924.6253445000002,924.6253445000002,924.6253445000002,924.6253445000002,924.6253445000002,None,None,None,921.3265627999999,921.3265627999999,0.8246164999991379,,,,,,,,,,,,,,,,,,,,8,001,2024-06-13_14h42.35.897,robot_nback_sign,2022.2.5,59.83634758934138,
C,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,8,0,0,0,0,0,4,4,4,,,,,,,,,,,,,924.6253445000002,924.6253445000002,None,,924.6253445000002,925.6987176000002,925.6987176000002,925.6987176000002,925.6987176000002,925.6987176000002,927.9292633000005,n,927.9292633000005,927.9292633000005,927.9292633000005,927.9292633000005,927.9292633000005,927.9292633000005,927.9292633000005,927.9292633000005,None,None,None,924.6253445000002,924.6253445000002,0.8973529999993843,,,,,,,,,,,,,,,,,,,,8,001,2024-06-13_14h42.35.897,robot_nback_sign,2022.2.5,59.83634758934138,
C,True,1,letter,1,False,True,robot_stimuli\\filler.mp4,8,0,0,0,0,0,5,5,5,,,,,,,,,,,,,927.9292633000005,927.9292633000005,None,,927.9292633000005,,929.0073365999997,929.0073365999997,929.0073365999997,929.0073365999997,931.1052577,c,931.1052577,947.2421580999999,931.1052577,947.2421580999999,931.1052577,947.2421580999999,931.1052577,947.2421580999999,10.09259259259259,9.720593299999564,space,927.9292633000005,927.9292633000005,0.8854334999996354,16.091197499999907,,,,,,,,,,,,,,,,,,,8,001,2024-06-13_14h42.35.897,robot_nback_sign,2022.2.5,59.83634758934138,
D,False,2,letter,1,True,False,robot_stimuli\\filler.mp4,8,0,0,0,0,0,6,6,6,,,,,,,,,,,,,947.2421580999999,947.2421580999999,space,6.00374599999941,953.2775147000002,954.3538569000002,954.3538569000002,954.3538569000002,954.3538569000002,954.3538569000002,956.3766856000002,n,956.3766856000002,956.3766856000002,956.3766856000002,956.3766856000002,956.3766856000002,956.3766856000002,956.3766856000002,956.3766856000002,None,None,None,,,1.8033316000000923,,,,,,,,,,,,,,,,,,,,8,001,2024-06-13_14h42.35.897,robot_nback_sign,2022.2.5,59.83634758934138,
X,False,2,letter,1,False,False,robot_stimuli\\filler.mp4,8,0,0,0,0,0,7,7,7,,,,,,,,,,,,,956.3766856000002,956.3766856000002,None,,956.3766856000002,957.4494722,957.4494722,957.4494722,957.4494722,957.4494722,959.6774252000005,n,959.6774252000005,959.6774252000005,959.6774252000005,959.6774252000005,959.6774252000005,959.6774252000005,959.6774252000005,959.6774252000005,None,None,None,956.3766856000002,956.3766856000002,0.7148054999997839,,,,,,,,,,,,,,,,,,,,8,001,2024-06-13_14h42.35.897,robot_nback_sign,2022.2.5,59.83634758934138,
